title,team,location,city,state,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,worker_type,schedule_type,company_name,education,country,experience_level,application_deadline,url,description_short,description,vacancies,requirements
Jefe Ventas PT 18hrs - Antofagasta,Otra Área,"Antofagasta, Antofagasta",Antofagasta,Antofagasta,2026-07-15,6102167,abc,2026-07-17,2026-07-21,0.3364,Jefe Área/Sección/Depto./Local,Part Time,abc,Técnico profesional superior,Chile,2 años,2026-09-13,https://abcdin.trabajando.cl/trabajo-empleo/jefe-ventas-pt-18hrs-antofagasta/trabajo/6102167,"Somos abc , empresa de retail con presencia...","Somos abc, empresa de retail con presencia a nivel nacional. Nos destacamos por entregar una atención cercana, eficiente y de calidad, buscando siempre brindar la mejor experiencia a nuestros clientes.
Actualmente nos encontramos en búsqueda de un/a Jefe/a de Ventas PT 18hrs (sábados, domingos y festivos) para nuestra tienda ubicada en Antofagasta. Buscamos una persona con orientación comercial, liderazgo y motivación por formar parte de un equipo dinámico y comprometido.
Sus principales responsabilidades incluyen:
Liderar y supervisar al equipo de ventas, orientando su gestión al cumplimiento de metas comerciales.
Analizar indicadores e informes comerciales, identificando avances, brechas y oportunidades de mejora.
Velar por el cumplimiento de políticas, procedimientos y estándares definidos por la empresa.
Supervisar la correcta exhibición de productos, campañas comerciales, promociones y cambios de precio en sala de ventas.
Mantener informado, coordinado y motivado al equipo a cargo.
Evaluar el desempeño de los vendedores, entregando retroalimentación según resultados y cumplimiento de objetivos.
Jornada: sábados, domingos y festivos.
Renta ofrecida: $350.000.- aprox según cumplimiento de metas.
Requisitos:
Formación técnico-profesional o universitaria, idealmente en áreas relacionadas al cargo (deseable).
Al menos 2 año de experiencia en posiciones similares.
Experiencia previa en roles de liderazgo, supervisión o manejo de equipos.
¡Sé parte de nuestro equipo y postula con nosotros!",1,"Requisitos:
Formación técnico-profesional o universitaria, idealmente en áreas relacionadas al cargo (deseable).
Al menos 2 año de experiencia en posiciones similares.
Experiencia previa en roles de liderazgo, supervisión o manejo de equipos."
Experto en Prevención de Riesgos,Otra Área,"Maipú, Metropolitana de Santiago",Maipú,Metropolitana de Santiago,2026-07-10,6100517,abc,2026-07-17,2026-07-21,0.4386,Encargado,Jornada Completa,abc,Técnico profesional superior,Chile,1 años,2026-08-09,https://abcdin.trabajando.cl/trabajo-empleo/experto-en-prevencion-de-riesgos/trabajo/6100517,"Somos ABC , empresa de Retail a nivel...","Somos ABC, empresa de Retail a nivel nacional, buscamos ser especialistas excepcionales y brindar un excelente servicio a nuestros clientes. Nos encontramos en búsqueda de un Experto/a en Prevención de Riesgos para asesorar nuestras sucursales en Maipú, San Bernardo, Gran Avenida, Puente Centro y Quilín., ¡Sé parte de nuestro gran equipo y postula!
El cargo tiene como propósito ejecutar las actividades asociadas a los programas de Prevención de Riesgos, contribuyendo al cumplimiento de la normativa legal vigente, tanto interna como externa.
Las principales funciones son:
Realizar la revisión y llevar un control de la documentación normativa que debe tener el centro de trabajo.
Realizar y controlar solicitud/envío de material de prevención de riesgos a tienda.
Supervisar en terreno el cumplimiento de normas y procedimientos generales y específicos propios del área.
Archivar documentación de respaldo del área.
Controlar las gestiones pertinentes para mantener activos y asesorar a los comités paritarios, dando cumplimiento a los temas administrativos relativos a ellos.
Participar del equipo y dictar las charlas técnicas, capacitaciones y de inducción a funcionarios de la Compañía.
Elaborar informes técnicos relacionados a sus funciones.
Controlar la documentación de empresas contratistas y subcontratistas que ingresan a sus centros de trabajo.
Detalles:
Jornada de lunes a viernes.
Perfil deseado
Técnico en Prevención de Riesgos
Conocimiento de Ley 64.744 y sus decretos
Conocimiento de Lay 20.123 y sus decretos
Conocimiento de protocolos dictados por el MINSAL y Superintendencia de Seguridad Social
Conocimiento en combate de incendios y primeros auxilios
Carnet de Seremi al día
Esta oferta laboral se rige bajo la Ley N°21.015, que incentiva la inclusión de personas con discapacidad al mundo laboral, y en ABC estamos comprometidos con ello, por lo que en caso de que requieras alguna modificación o requerimiento especial durante el proceso de selección, te pedimos avisarnos, pues queremos asegurar una excelente experiencia en tu proceso de postulación junto a nosotros",1,"Técnico en Prevención de Riesgos
Conocimiento de Ley 64.744 y sus decretos
Conocimiento de Lay 20.123 y sus decretos
Conocimiento de protocolos dictados por el MINSAL y Superintendencia de Seguridad Social
Conocimiento en combate de incendios y primeros auxilios
Carnet de Seremi al día"
Jefe de Ventas Pt 18hrs - Casablanca,Otra Área,"Casablanca, Valparaíso",Casablanca,Valparaíso,2026-07-08,6099519,abc,2026-07-17,2026-07-21,0.3387,Jefe Área/Sección/Depto./Local,Part Time,abc,Técnico profesional superior,Chile,2 años,2026-06-09,https://abcdin.trabajando.cl/trabajo-empleo/jefe-de-ventas-pt-18hrs-casablanca/trabajo/6099519,"En abc , empresa de retail con presencia...","En abc, empresa de retail con presencia a nivel nacional, nos destacamos por entregar una atención cercana, eficiente y de calidad, buscando siempre brindar la mejor experiencia a nuestros clientes.
Actualmente nos encontramos en búsqueda de un/a Jefe/a de Ventas PT 18hrs para nuestra tienda ubicada en Casablanca. Buscamos una persona con orientación comercial, liderazgo y motivación por formar parte de un equipo dinámico y comprometido.
Sus principales responsabilidades incluyen:
Liderar y supervisar al equipo de ventas, orientando su gestión al cumplimiento de metas comerciales.
Analizar indicadores e informes comerciales, identificando avances, brechas y oportunidades de mejora.
Velar por el cumplimiento de políticas, procedimientos y estándares definidos por la empresa.
Supervisar la correcta exhibición de productos, campañas comerciales, promociones y cambios de precio en sala de ventas.
Mantener informado, coordinado y motivado al equipo a cargo.
Evaluar el desempeño de los vendedores, entregando retroalimentación según resultados y cumplimiento de objetivos.
Jornada: sábados, domingos y festivos.
Requisitos:
Formación técnico-profesional o universitaria, idealmente en áreas relacionadas al cargo (deseable).
Al menos 2 años de experiencia en ventas o retail.
Experiencia previa en roles de liderazgo, supervisión o manejo de equipos.
¡Sé parte de nuestro equipo y postula con nosotros!",1,"Requisitos:
Formación técnico-profesional o universitaria, idealmente en áreas relacionadas al cargo (deseable).
Al menos 2 años de experiencia en ventas o retail.
Experiencia previa en roles de liderazgo, supervisión o manejo de equipos."
Jefe de Venta (Fines de semana) / 18 hr / Valle Grande,Otra Área,"Lampa, Metropolitana de Santiago",Lampa,Metropolitana de Santiago,2026-07-06,6098285,abc,2026-07-17,2026-07-21,0.3386,Otro Profesional,Part Time,ABC,Técnico profesional superior,Chile,1 años,2026-04-09,https://abcdin.trabajando.cl/trabajo-empleo/jefe-de-venta-fines-de-semana-18-hr-valle-grande/trabajo/6098285,¡En ABC seguimos creciendo y estamos...,"¡En ABC seguimos creciendo y estamos próximos a aperturar en Valle Grande! Somos una empresa de retail a nivel nacional, comprometida con brindar un servicio excepcional y convertirnos en especialistas destacados en nuestro rubro. En el marco de esta apertura, estamos en búsqueda de nuestro/a próximo/a Jefe/a de Ventas para liderar el equipo de nuestra nueva sucursal los fines de semana. Buscamos personas apasionadas por el retail, con habilidades de liderazgo y orientación al cliente, que quieran ser parte de este gran desafío y contribuir al éxito de nuestra expansión. ¡Súmate a nuestro equipo y postula!
Las principales funciones son:
Responsable por mantener o incrementar el volumen de ventas, analizando la eficiencia de canales, la rotación de productos y la estrategia de precios.
Supervisar un grupo de vendedores a los cuales controla, capacita y desarrolla.
Participar en la estimación de las ventas y planifica objetivos en su tienda.
Velar por el cumplimiento de metas e indicadores propuestos por la compañía.
Renta ofrecida: $277.000 - $357.000
Esta oferta laboral se rige bajo la Ley N°21.015, que incentiva la inclusión de personas con discapacidad al mundo laboral, y en ABC estamos comprometidos con ello, por lo que en caso de que requieras alguna modificación o requerimiento especial durante el proceso de selección, te pedimos avisarnos, pues queremos asegurar una excelente experiencia en tu proceso de postulación junto a nosotros.",1,"Requisitos:
Experiencia anterior en tiendas de retail (excluyente)
Formación técnico profesional o universitarias, carreras como administración de empresas, ingeniería comercial o afines (Ideal)
Experiencia en roles de mando y/o supervisión con personal a cargo. (ideal)"
Coordinador/a Visual Merchandising - Valle Grande,Otra Área,"Lampa, Metropolitana de Santiago",Lampa,Metropolitana de Santiago,2026-07-06,6098277,abc,2026-07-17,2026-07-21,0.3552,Coordinador,Jornada Completa,abc,Técnico profesional superior,Chile,1 años,2026-04-09,https://abcdin.trabajando.cl/trabajo-empleo/coordinador-a-visual-merchandising-valle-grande/trabajo/6098277,¡En ABC seguimos creciendo y queremos...,"¡En ABC seguimos creciendo y queremos que seas parte de este desafío! Estamos en la búsqueda de nuestro/a próximo/a Coordinador/a de Visual Merchandising para integrarse a la apertura de nuestra nueva sucursal en Valle Grande. Si te apasiona el mundo del retail, el diseño y la innovación, esta es tu oportunidad para sumarte a un gran equipo en plena expansión. ¡Postula y sé parte de nuestro crecimiento!
Objetivo del cargo
El/la Encargado/a de Visual Merchandising será responsable de planificar, diseñar y supervisar la implementación de exhibiciones y presentaciones visuales en tiendas, asegurando su alineación con los lineamientos de identidad corporativa y los objetivos comerciales de la organización, considerando además el apoyo a la operación del local y el respaldo a la jefatura de tienda.
Principales funciones
-Diseñar y ejecutar estrategias de visual merchandising alineadas a los estándares de marca.
-Coordinar y supervisar la correcta implementación de exhibiciones en los puntos de venta.
-Monitorear la mantención y actualización de la imagen visual en tiendas.
-Colaborar con áreas como marketing, operaciones y comercial para fortalecer la experiencia de compra.
-Analizar el impacto de las acciones visuales en los resultados del negocio, proponiendo mejoras continuas.
-Brindar apoyo en la operación del local, actuando como respaldo de la jefatura cuando sea requerido, participando en procesos de apertura y cierre, gestión de tesorería, recepción y descarga de mercadería, y atención en caja.
Detalles
Jornada: Completa de Lunes a Domingo en turnos rotativos 5x2.
Renta estimada: Entre $620.000 a $730.000",1,"Requisitos del perfil
Formación profesional o técnica en diseño, marketing, arquitectura o carreras afines. (ideal)
Experiencia en funciones de visual merchandising o gestión de exhibiciones, idealmente en el rubro de vestuario. (excluyente)
Alto nivel de creatividad, atención al detalle y capacidad para liderar y coordinar equipos de trabajo.
Manejo de herramientas de diseño y planificación visual.
Habilidad para organizar tareas y gestionar proyectos con eficiencia."
Jefe de Tienda (Retail) - Valle Grande,Otra Área,"Lampa, Metropolitana de Santiago",Lampa,Metropolitana de Santiago,2026-07-06,6098265,abc,2026-07-17,2026-07-21,0.3472,Jefe Área/Sección/Depto./Local,Jornada Completa,abc,Técnico profesional superior,Chile,1 años,2026-04-09,https://abcdin.trabajando.cl/trabajo-empleo/jefe-de-tienda-retail-valle-grande/trabajo/6098265,¡En abc estamos creciendo y queremos...,"¡En abc estamos creciendo y queremos que seas parte de este desafío! Buscamos a nuestro/a próximo/a Jefe/a de Tienda para integrarse a nuestro equipo y asumir un rol clave en la gestión de nuestra apertura en Valle Grande.
Buscamos a un/a profesional con sólida experiencia en retail, liderazgo de equipos y orientación a resultados, que sea capaz de asegurar el correcto funcionamiento de la tienda, el cumplimiento de los objetivos comerciales y la excelencia en la experiencia de nuestros clientes.
¿Cuál será tu principal desafío?
Planificar, dirigir y controlar la operación integral de la tienda, velando por el cumplimiento de las metas comerciales, la correcta administración de los recursos, el cumplimiento de los procedimientos internos y la entrega de un servicio de alta calidad a nuestros clientes.
Principales responsabilidades:
Organizar, dirigir y supervisar al equipo de tienda, asegurando el cumplimiento de las políticas, normas y procedimientos de la compañía.
Velar por el cumplimiento de los indicadores clave del negocio (KPIs), tanto comerciales como financieros y de servicio al cliente.
Administrar y controlar el flujo de caja y los recursos de la tienda, previniendo pérdidas y desviaciones.
Asegurar el correcto cumplimiento de las normativas vigentes y de los protocolos definidos por las áreas centrales.
Resolver situaciones complejas con clientes, garantizando una atención adecuada y alineada a los estándares de la empresa.
Ser responsable del estado de resultados de la tienda, considerando variables de retail, finanzas, calidad de servicio, prevención de pérdidas y gestión de personas.
Velar permanentemente por la correcta imagen de la tienda y de la marca
Esta oferta laboral se rige bajo la Ley N°21.015, que incentiva la inclusión de personas con discapacidad al mundo laboral, y en ABC estamos comprometidos con ello, por lo que en caso de que requieras alguna modificación o requerimiento especial durante el proceso de selección, te pedimos avisarnos, pues queremos asegurar una excelente experiencia en tu proceso de postulación junto a nosotros.",1,"¿Qué buscamos en el/la candidato/a?
Formación profesional completa en Administración de Empresas, Ingeniería Comercial o carrera afín. (excluyente)
Experiencia en retail, idealmente en cargos de jefatura de tienda. (excluyente)
Experiencia liderando equipos de venta y operación.
Conocimientos en gestión comercial, indicadores de retail y control financiero básico.
Si te motiva liderar equipos, gestionar operaciones y contribuir activamente al logro de los objetivos del negocio, te invitamos a postular y ser parte de abc."
Encargado/a Recepción y Despacho - El Bosque,Otra Área,"El Bosque, Metropolitana de Santiago",El Bosque,Metropolitana de Santiago,2026-07-06,6098250,abc,2026-07-17,2026-07-21,0.4557,Otro Profesional,Jornada Completa,abc,Media,Chile,1 años,2026-04-09,https://abcdin.trabajando.cl/trabajo-empleo/encargado-a-recepcion-y-despacho-el-bosque/trabajo/6098250,"En ABC, empresa de Retail con presencia...","En ABC, empresa de Retail con presencia a nivel nacional, buscamos ser especialistas excepcionales y entregar una experiencia de servicio de excelencia a nuestros clientes. Actualmente nos encontramos en búsqueda de un/a Encargado/a de Recepción y Despacho para nuestra tienda ubicada en El Bosque. Si te motiva liderar equipos, coordinar procesos logísticos y desarrollarte profesionalmente dentro de una empresa en constante crecimiento, ¡esta oportunidad es para ti!
Objetivo del Cargo:
Supervisar y coordinar los procesos de recepción, almacenamiento y despacho de mercaderías de la tienda, asegurando el correcto manejo, custodia y flujo de productos hacia las salas de venta y demás dependencias de la compañía. Asimismo, liderar al equipo a cargo para garantizar el cumplimiento de los objetivos operativos del área.
Principales Funciones:
Coordinar y participar en los procesos de recepción, almacenamiento y despacho de mercadería.
Supervisar el correcto resguardo, orden y control de inventario en tienda.
Gestionar la documentación asociada a despachos y movimientos de productos.
Coordinar los despachos a clientes y otras dependencias de la empresa.
Liderar, organizar y supervisar al equipo de trabajo del área.
Velar por el cumplimiento de los procedimientos operativos y de seguridad.
Renta: entre $590.000 y $690.000
Esta oferta laboral se rige bajo la Ley N°21.015, que incentiva la inclusión de personas con discapacidad al mundo laboral, y en ABC estamos comprometidos con ello, por lo que en caso de que requieras alguna modificación o requerimiento especial durante el proceso de selección, te pedimos avisarnos, pues queremos asegurar una excelente experiencia en tu proceso de postulación junto a nosotros",1,"Enseñanza Media Completa.
Experiencia laboral en logística, almacenamiento y control de inventario en tiendas de retail.
Capacidad de organización, liderazgo y orientación al cumplimiento de objetivos."
Jefe de Operaciones y Procesos,Otra Área,"Providencia, Metropolitana de Santiago",Providencia,Metropolitana de Santiago,2026-07-01,6096803,abc,2026-07-17,2026-07-21,0.384,Jefe Área/Sección/Depto./Local,Mixta (Teletrabajo + Presencial),abc,Técnico profesional superior,Chile,2 años,2026-08-30,https://abcdin.trabajando.cl/trabajo-empleo/jefe-de-operaciones-y-procesos/trabajo/6096803,"Somos abc, empresa de Retail a nivel...","Somos abc, empresa de Retail a nivel nacional, buscamos ser especialistas excepcionales y brindar un excelente servicio a nuestros clientes. Nos encontramos en búsqueda de un Jefe de Operaciones y Procesos para integrarse a nuestra Gerencia de Operaciones.
¿Cuál será tu desafío?
Serás responsable de asegurar la continuidad operacional de los procesos y sistemas de la compañía, liderando iniciativas de mejora continua que optimicen la operación y contribuyan al cumplimiento de los objetivos del negocio.
Principales responsabilidades
Asegurar la continuidad operacional de los procesos y sistemas de la empresa.
Identificar e implementar oportunidades de mejora continua.
Liderar la homologación de sistemas y la implementación de proyectos que impacten la operación.
Realizar seguimiento a los principales KPIs del área.
Estandarizar procesos y optimizar la eficiencia operacional.
Liderar la apertura de nuevas tiendas.
Coordinar el trabajo con las áreas de TI, Negocios, Tiendas y Planificación.
¿Qué ofrecemos?
Jornada laboral mixta.
Dos semanas de teletrabajo al año.
Reajuste de remuneraciones según IPC dos veces al año.
Bono de apoyo para gastos, entregado dos veces al año.
Seguro complementario de salud.
Afiliación a Caja de Compensación.
Día libre por cumpleaños.
Jornada: Lunes a jueves de 08:30 a 18:00 hrs. | Viernes de 08:30 a 15:00 hrs.
Ubicación: Providencia, Región Metropolitana.
Esta oferta laboral se rige bajo la Ley N°21.015, que incentiva la inclusión de personas con discapacidad al mundo laboral, y en ABC estamos comprometidos con ello, por lo que en caso de que requieras alguna modificación o requerimiento especial durante el proceso de selección, te pedimos avisarnos, pues queremos asegurar una excelente experiencia en tu proceso de postulación junto a nosotros.",1,"Título profesional de Ingeniería Civil Industrial, Ingeniería Comercial o carrera afín. (excluyente)
Experiencia liderando operaciones, procesos o mejora continua, idealmente en empresas de retail. (excluyente)
Experiencia gestionando proyectos, indicadores (KPIs) y equipos de trabajo.
Perfil analítico, orientado a resultados y con capacidad para liderar iniciativas de mejora."
Coordinador/a Visual Merchandising - Machalí,Otra Área,"Machalí, Lib. Gral. Bdo. O'Higgins",Machalí,Lib. Gral. Bdo. O'Higgins,2026-06-30,6096155,abc,2026-07-17,2026-07-21,0.3902,Coordinador,Jornada Completa,abc,Técnico profesional superior,Chile,1 años,2026-08-29,https://abcdin.trabajando.cl/trabajo-empleo/coordinador-a-visual-merchandising-machali/trabajo/6096155,¡En ABC seguimos creciendo y queremos...,"¡En ABC seguimos creciendo y queremos que seas parte de este desafío! Estamos en la búsqueda de nuestro/a próximo/a Coordinador/a de Visual Merchandising para integrarse a la apertura de nuestra nueva sucursal en Machalí. Si te apasiona el mundo del retail, el diseño y la innovación, esta es tu oportunidad para sumarte a un gran equipo en plena expansión. ¡Postula y sé parte de nuestro crecimiento!
Objetivo del cargo
El/la Encargado/a de Visual Merchandising será responsable de planificar, diseñar y supervisar la implementación de exhibiciones y presentaciones visuales en tiendas, asegurando su alineación con los lineamientos de identidad corporativa y los objetivos comerciales de la organización, considerando además el apoyo a la operación del local y el respaldo a la jefatura de tienda.
Principales funciones
-Diseñar y ejecutar estrategias de visual merchandising alineadas a los estándares de marca.
-Coordinar y supervisar la correcta implementación de exhibiciones en los puntos de venta.
-Monitorear la mantención y actualización de la imagen visual en tiendas.
-Colaborar con áreas como marketing, operaciones y comercial para fortalecer la experiencia de compra.
-Analizar el impacto de las acciones visuales en los resultados del negocio, proponiendo mejoras continuas.
-Brindar apoyo en la operación del local, actuando como respaldo de la jefatura cuando sea requerido, participando en procesos de apertura y cierre, gestión de tesorería, recepción y descarga de mercadería, y atención en caja.",1,"Requisitos del perfil
Formación profesional o técnica en diseño, marketing, arquitectura o carreras afines. (ideal)
Experiencia en funciones de visual merchandising o gestión de exhibiciones, idealmente en el rubro de vestuario. (excluyente)
Alto nivel de creatividad, atención al detalle y capacidad para liderar y coordinar equipos de trabajo.
Manejo de herramientas de diseño y planificación visual.
Habilidad para organizar tareas y gestionar proyectos con eficiencia.
Detalles
Jornada: Completa de Lunes a Domingo en turnos rotativos 5x2.
Renta estimada: Entre $620.000 a $730.000"
Jefe de Tienda (Retail) - Machalí,Otra Área,"Machalí, Lib. Gral. Bdo. O'Higgins",Machalí,Lib. Gral. Bdo. O'Higgins,2026-06-30,6096153,abc,2026-07-17,2026-07-21,0.3338,Jefe Área/Sección/Depto./Local,Jornada Completa,abc,Técnico profesional superior,Chile,1 años,2026-08-29,https://abcdin.trabajando.cl/trabajo-empleo/jefe-de-tienda-retail-machali/trabajo/6096153,¡En abc estamos creciendo y queremos...,"¡En abc estamos creciendo y queremos que seas parte de este desafío! Buscamos a nuestro/a próximo/a Jefe/a de Tienda para integrarse a nuestro equipo y asumir un rol clave en la gestión de nuestra apertura en Machalí.
Buscamos a un/a profesional con sólida experiencia en retail, liderazgo de equipos y orientación a resultados, que sea capaz de asegurar el correcto funcionamiento de la tienda, el cumplimiento de los objetivos comerciales y la excelencia en la experiencia de nuestros clientes.
¿Cuál será tu principal desafío?
Planificar, dirigir y controlar la operación integral de la tienda, velando por el cumplimiento de las metas comerciales, la correcta administración de los recursos, el cumplimiento de los procedimientos internos y la entrega de un servicio de alta calidad a nuestros clientes.
Principales responsabilidades:
Organizar, dirigir y supervisar al equipo de tienda, asegurando el cumplimiento de las políticas, normas y procedimientos de la compañía.
Velar por el cumplimiento de los indicadores clave del negocio (KPIs), tanto comerciales como financieros y de servicio al cliente.
Administrar y controlar el flujo de caja y los recursos de la tienda, previniendo pérdidas y desviaciones.
Asegurar el correcto cumplimiento de las normativas vigentes y de los protocolos definidos por las áreas centrales.
Resolver situaciones complejas con clientes, garantizando una atención adecuada y alineada a los estándares de la empresa.
Ser responsable del estado de resultados de la tienda, considerando variables de retail, finanzas, calidad de servicio, prevención de pérdidas y gestión de personas.
Velar permanentemente por la correcta imagen de la tienda y de la marca
Esta oferta laboral se rige bajo la Ley N°21.015, que incentiva la inclusión de personas con discapacidad al mundo laboral, y en ABC estamos comprometidos con ello, por lo que en caso de que requieras alguna modificación o requerimiento especial durante el proceso de selección, te pedimos avisarnos, pues queremos asegurar una excelente experiencia en tu proceso de postulación junto a nosotros.",1,"¿Qué buscamos en el/la candidato/a?
Formación profesional completa en Administración de Empresas, Ingeniería Comercial o carrera afín. (excluyente)
Experiencia en retail, idealmente en cargos de jefatura de tienda. (excluyente)
Experiencia liderando equipos de venta y operación.
Conocimientos en gestión comercial, indicadores de retail y control financiero básico.
Si te motiva liderar equipos, gestionar operaciones y contribuir activamente al logro de los objetivos del negocio, te invitamos a postular y ser parte de abc."
