title,team,location,city,state,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,worker_type,schedule_type,company_name,education,country,experience_level,application_deadline,url,description_short,description,vacancies,requirements
Administrativo de Expedición,Otra Área,"San Bernardo, Metropolitana de Santiago",San Bernardo,Metropolitana de Santiago,2026-07-22,6104775,carozzi,2026-07-22,2026-07-23,0.3289,Administrativo,Por Turnos,Empresas Carozzi S.A.,Técnico medio/ colegio técnico,Chile,1 años,2026-08-21,https://carozzi.trabajando.cl/trabajo-empleo/administrativo-de-expedicion/trabajo/6104775,En Carozzi nos mueve hacer las cosas...,"En Carozzi nos mueve hacer las cosas bien, para que todos podamos compartir y disfrutar en un mejor entorno, y es por ello que desde hace más de 127 años estamos presentes en el mercado con más de 100 marcas como Costa, Ambrosoli, Vivo, Trattoria, Master Dog, Bresler y Pancho Villa, entre otras.
Somos una Compañía donde vivimos la innovación, la pasión por el trabajo bien hecho y el respeto por las personas, valorando la diversidad e inclusión, porque creemos que nuestras diferencias nos enriquecen como organización.
¡Un nuevo desafío te espera! 🚀😊 Buscamos personas con enseñanza media completa y formación técnica en Administración, Contabilidad o carreras afines, con al menos 1 año de experiencia en cargos similares, para desempeñarse como Administrativo(a) de Expedición en nuestro Centro de Distribución.
¿Cuál será tu misión? 📘🖋Realizar la administración de los pool de pedidos de venta y traslado del Centro de Distribución, contribuyendo a la optimización de los recursos de transporte, la disponibilidad de productos en las sucursales y la correcta facturación a clientes.
¿Qué tendrás que hacer? 📦🚚Gestionar pedidos de abastecimiento para sucursales a través de SAP.
Administrar y tratar los pool de pedidos, ejecutando cargas manuales o mediante Rodnet.
Crear grupos de carga y grupos de referencia WMS para dar inicio a los procesos operativos del sistema.
Emitir y gestionar documentación asociada al proceso de expedición y facturación.
Apoyar el control administrativo de aproximadamente 130 cargas diarias distribuidas en distintos turnos.
Realizar la impresión y entrega de documentación necesaria para el despacho de cargas.
Gestionar y cargar documentación en portales de clientes cuando sea requerido.
Apoyar en la resolución de situaciones excepcionales que puedan afectar la continuidad operacional del área.
Ejecutar tareas administrativas inherentes al cargo y apoyar los distintos procesos del área de expedición.
Tenemos distintos beneficios para ti 🎁🎉Casino.
Buses de acercamiento.
Seguro complementario de salud y seguro de vida.
Descuento en productos.
Gym y canchas deportivas.
Reajuste por IPC.
Estabilidad laboral y excelente ambiente de trabajo.
Entre muchos más que te invitamos a descubrir. 😎",1,"Enseñanza Media Completa.
Deseable formación Técnico Nivel Medio o Superior en Administración, Contabilidad o carreras afines.
Al menos 1 año de experiencia en cargos administrativos similares. (Excluyente)
Conocimientos en procesos de expedición, facturación y documentación logística.
Manejo de SAP. (Deseable)
Manejo de herramientas Office nivel usuario.
Conocimientos de conceptos contables y administrativos."
Ayudante de Cocina - RM,Otra Área,"Las Condes, Metropolitana de Santiago",Las Condes,Metropolitana de Santiago,2026-07-22,6101444,carozzi,2026-07-17,2026-07-23,0.268,Ayudante,Part Time,Le Fournil,Técnico medio/ colegio técnico,Chile,1 años,2026-12-08,https://carozzi.trabajando.cl/trabajo-empleo/ayudante-de-cocina-rm/trabajo/6101444,🌟 ¡Únete a nuestro equipo en Cantabria!...,"🌟 ¡Únete a nuestro equipo en Cantabria! 🌟
En Cantabria trabajamos con marcas que seguro conoces y disfrutas: Bonafide , Palettas 🍡, Emporio La Rosa 🍨, Cory 🍰 y Le Fournil 🥖, entre muchas otras.
Con más de 120 locales en todo Chile y siempre creciendo, somos una empresa líder en el rubro y queremos invitarte a ser parte de nuestro equipo. 💫
Si te apasiona entregar un buen servicio y buscas un lugar donde crecer, ¡te estamos esperando! 🙌 En esta ocasión, buscamos a nuestro próximo/a Ayudante de Cocina.
🍳 Funciones:
Apoyar en la ejecución de recetas, asegurando mise en place ordenado y preparaciones de calidad.
Mantener la limpieza y desinfección de utensilios, equipos y superficies, cumpliendo normas sanitarias.
Colaborar en el almacenamiento y control de insumos, reportando cualquier irregularidad.
🌟 ¿Qué te ofrecemos?
Un equipo comprometido con la calidad y el orden.
Estabilidad laboral y oportunidades de desarrollo.
Un entorno donde tu trabajo es valorado y tu crecimiento es posible.
💬 ¿Listo/a para dar el siguiente paso en tu carrera gastronómica?
¡Postula ahora y sé parte de una cocina que inspira!",3,"Enseñanza media completa o formación en escuelas gastronómicas.
Experiencia previa como ayudante de cocina (cocina caliente, fría o pastelería).
Conocimiento en higiene, manipulación de alimentos y técnicas básicas de cocina.
Disponibilidad para trabajar días de semana y fin de semana."
Monitor de Prevención de Riesgos,Otra Área,"San Bernardo, Metropolitana de Santiago",San Bernardo,Metropolitana de Santiago,2026-07-22,6104299,carozzi,2026-07-22,2026-07-23,0.3428,Administrativo,Jornada Completa,Empresas Carozzi S.A.,Técnico profesional superior,Chile,1 años,2026-08-21,https://carozzi.trabajando.cl/trabajo-empleo/monitor-de-prevencion-de-riesgos/trabajo/6104299,En Carozzi nos mueve hacer las cosas...,"En Carozzi nos mueve hacer las cosas bien, para que todos podamos compartir y disfrutar en un mejor entorno, y es por ello que desde hace más de 127 años estamos presentes en el mercado con más de 100 marcas como Costa, Ambrosoli, Vivo, Trattoria, Master Dog, Bresler y Pancho Villa, entre otras.
Somos una Compañía donde vivimos la innovación, la pasión por el trabajo bien hecho y el respeto por las personas, valorando la diversidad e inclusión, porque creemos que nuestras diferencias nos enriquecen como organización.
¡Un nuevo desafío te espera! 🚀😊 Buscamos a personas con formación profesional de las carreras Técnico en Prevención de Riesgo, con al menos 1 año de experiencia en el área de prevención e idealmente en la industria de producción de alimentos para trabajar en nuestro Centro Industrial de San Bernando.
¿Qué tienes que hacer?📘🖋
Realizar actividades establecidas en el programa de prevención, así como capacitaciones, revisión de equipos de protección personal, inspecciones, observaciones de seguridad en terreno, entre otros.
Realizar la revisión en terreno de actividades preventivas, desarrolladas por empresas Contratistas.
Realizar actividades de apoyo en la investigación de accidentes y desarrollo de inspecciones, como levantamiento de información, en conjunto con la jefatura directa de turno.
Realizar Inspecciones a los sistemas de emergencias (salidas y vías de evacuación, extintores, redes húmedas).
Tenemos distintos beneficios para ti🎁🎉
Casino.
Buses de acercamiento.
Seguro complementario, de vida entre otros
Descuento en productos.
Gym y canchas deportivas.
Reajuste por IPC.
Estabilidad laboral y buen ambiente laboral.
Entre muchos más que te invitamos a descubrir.😎",1,"Estudios Técnico nivel superior en prevención de riesgo.
Al menos 1 año de experiencia en el área de prevención. (excluyente)
Experiencia en la industria de producción de alimentos. (deseable)"
Monitor Prevención de Riesgo - Planta Lontue,Otra Área,"Curicó, Maule",Curicó,Maule,2026-07-22,6104693,carozzi,2026-07-22,2026-07-23,0.3405,Técnico,Jornada Completa,Empresas Carozzi,Técnico profesional superior,Chile,2 años,2026-08-21,https://carozzi.trabajando.cl/trabajo-empleo/monitor-prevencion-de-riesgo-planta-lontue/trabajo/6104693,En Carozzi tenemos como propósito dar...,"En Carozzi tenemos como propósito dar lo mejor de nosotros para que las personas puedan disfrutar más la vida, y es por ello que desde hace más de 126 años estamos presente en el mercado con más de 100 marcas como Costa🍫, Ambrosoli🍬, Vivo🥃, Trattoria🍝, Master Dog🐶, Bresler🍧 y Pancho Villa🌯, entre otras.
Somos una Compañía donde nos mueve la innovación, el respeto por las personas y la pasión por el trabajo bien hecho y queremos invitarte a postular al cargo Monitor Prevención de Riesgo para nuestra Planta ubicada en Lontue.
Misión: Realizar en terreno actividades de apoyo al área de Prevención de Riesgos, con el propósito de contribuir a la seguridad y salud laboral de los colaboradores de la planta.nta.
¿Qué tienes que hacer?
Realizar actividades establecidas en el programa de prevención, así como capacitaciones, revisión de equipos de protección personal, inspecciones, observaciones de seguridad en terreno, entre otros.
Realizar la revisión en terreno de actividades preventivas, desarrolladas por empresas Contratistas.
Realizar actividades de apoyo en la investigación de accidentes y desarrollo de inspecciones, como levantamiento de información, en conjunto con la jefatura directa de turno.
Realizar Inspecciones a los sistemas de emergencias (salidas y vías de evacuación, extintores, redes húmedas).
Tenemos distintos beneficios para ti:
Casino.👩?🍳
Buses de acercamiento🚍.
Descuento en productos.🛒
Gimnasio y canchas deportivas.🤸
Estabilidad laboral y buen ambiente laboral.😄
Entre muchos más que te invitamos a descubrir.😎",1,"Con formación Técnica/Profesional del área Prevención de Riesgos o similar.
Experiencia: mínimo 2 año de experiencia en un cargo similar.
Conocimientos en:
Conocimiento de Legislación y normativa legal vigente de SST"
Maestro de Cocina - RM,Otra Área,"Las Condes, Metropolitana de Santiago",Las Condes,Metropolitana de Santiago,2026-07-22,6101481,carozzi,2026-07-17,2026-07-23,0.2773,Ayudante,Part Time,Le Fournil,Técnico medio/ colegio técnico,Chile,1 años,2026-12-08,https://carozzi.trabajando.cl/trabajo-empleo/maestro-de-cocina-rm/trabajo/6101481,🌟 ¡Únete a nuestro equipo en Cantabria!...,"🌟 ¡Únete a nuestro equipo en Cantabria! 🌟
En Cantabria trabajamos con marcas que seguro conoces y disfrutas: Bonafide , Palettas 🍡, Emporio La Rosa 🍨, Cory 🍰 y Le Fournil 🥖, entre muchas otras.
Con más de 120 locales en todo Chile y siempre creciendo, somos una empresa líder en el rubro y queremos invitarte a ser parte de nuestro equipo. 💫
Si te apasiona entregar un buen servicio y buscas un lugar donde crecer, ¡te estamos esperando! 🙌 En esta ocasión, buscamos a nuestro próximo/a Ayudante de Cocina.
🍳 Funciones:
Apoyar en la ejecución de recetas, asegurando mise en place ordenado y preparaciones de calidad.
Mantener la limpieza y desinfección de utensilios, equipos y superficies, cumpliendo normas sanitarias.
Colaborar en el almacenamiento y control de insumos, reportando cualquier irregularidad.
🌟 ¿Qué te ofrecemos?
Un equipo comprometido con la calidad y el orden.
Estabilidad laboral y oportunidades de desarrollo.
Un entorno donde tu trabajo es valorado y tu crecimiento es posible.
💬 ¿Listo/a para dar el siguiente paso en tu carrera gastronómica?
¡Postula ahora y sé parte de una cocina que inspira!",3,"Enseñanza media completa o formación en escuelas gastronómicas.
Experiencia previa como ayudante de cocina (cocina caliente, fría o pastelería).
Conocimiento en higiene, manipulación de alimentos y técnicas básicas de cocina.
Disponibilidad para trabajar días de semana y fin de semana."
 Analista Inteligencia Comercial - San Bernardo,Otra Área,"San Bernardo, Metropolitana de Santiago",San Bernardo,Metropolitana de Santiago,2026-07-22,6104402,carozzi,2026-07-22,2026-07-23,0.3347,Ingeniero,Mixta (Teletrabajo + Presencial),Empresas Carozzi S.A.,Universitaria,Chile,,2026-08-21,https://carozzi.trabajando.cl/trabajo-empleo/analista-inteligencia-comercial-san-bernardo/trabajo/6104402,En Carozzi nos mueve hacer las cosas...,"En Carozzi nos mueve hacer las cosas bien, para que todos podamos compartir y disfrutar en un mejor entorno, y es por ello que desde hace más de 128 años estamos presentes en el mercado con más de 100 marcas como Costa, Ambrosoli, Vivo, Trattoria, Master Dog, Bresler y Pancho Villa, entre otras.
Somos una Compañía donde vivimos la innovación, la pasión por el trabajo bien hecho y el respeto por las personas, valorando la diversidad e inclusión, porque creemos que nuestras diferencias nos enriquecen como organización.
Un nuevo desafío te espera! 🚀😊 El equipo de Inteligencia Comercial está en busca de su próximo Analista Inteligencia Comercial.
Buscamos a personas con Formación Universitaria de las carreras de Ingeniería Comercial, Ingeniería Civil Industrial y/o carrera afín.
Misión: Analizar, elaborar y coordinar la información comercial, reportes de desempeño por canal y categoría, manteniendo actualizadas las plataformas de indicadores clave de ventas, las actividades relacionadas con datos del punto de venta y las mejoras en sistemas de control, contribuyendo a la toma de decisiones estratégicas y al fortalecimiento del desempeño comercial de la organización.
¿Qué tienes que hacer?
Realizar análisis y reportes de ventas en distintos canales, incluyendo la cobertura por categoría de productos.
Realizar la mantención de plataformas con información sobre precios, servicio en góndolas, participación de mercado, ventas, cabinets y otras variables relacionadas, coordinando con áreas internas, proveedores y clientes.
Elaborar distintos reportes sobre metas, cumplimiento de campañas y resultados de concursos dirigidos a la fuerza de ventas, entre otros.
Evaluar mejoras en los sistemas vinculados al control de gestión de ventas.
Tenemos distintos beneficios para ti:
Casino.
Buses de acercamiento.
Seguro complementario.
Descuentos en productos.
Gym.
Reajuste por IPC.
Estabilidad y buen ambiente laboral.
Entre muchos más que te invitamos a descubrir...
Si te atraen los desafíos, te invitamos a postular y vivir la experiencia Carozzi.",1,"Formación Universitaria de las carreras de Ingeniería Comercial, Ingeniería Civil Industrial y/o carrera afín.
Manejo de Microsoft Office nivel intermedio (excluyente).
Conocimiento en Access/SQL/Python (deseable).
Manejo Power BI nivel intermedio (excluyente).
Manejo en herramientas de IA."
Product Manager - San Bernardo,Otra Área,"San Bernardo, Metropolitana de Santiago",San Bernardo,Metropolitana de Santiago,2026-07-21,6099807,carozzi,2026-07-17,2026-07-23,0.3851,Ingeniero,Mixta (Teletrabajo + Presencial),Empresas Carozzi S.A.,Universitaria,Chile,,2026-07-08,https://carozzi.trabajando.cl/trabajo-empleo/product-manager-san-bernardo/trabajo/6099807,En Carozzi nos mueve hacer las cosas...,"En Carozzi nos mueve hacer las cosas bien, para que todos podamos compartir y disfrutar en un mejor entorno, y es por ello que desde hace más de 128 años estamos presentes en el mercado con más de 100 marcas como Costa, Ambrosoli, Vivo, Trattoria, Master Dog, Bresler y Pancho Villa, entre otras.
Somos una Compañía donde vivimos la innovación, la pasión por el trabajo bien hecho y el respeto por las personas, valorando la diversidad e inclusión, porque creemos que nuestras diferencias nos enriquecen como organización.
Un nuevo desafío te espera! 🚀😊 El equipo de Marketing está en busca de su próximo Product Manager.
Buscamos a personas con Formación Universitaria de las carreras de Ingeniería Comercial, Ingeniería Civil Industrial y/o carrera afín.
Misión: Realizar actividades orientadas al seguimiento y análisis de la marca asignada, con el fin de contribuir al logro del posicionamiento de mercado definido y la rentabilidad buscada, según los objetivos y estrategias definidas por la gerencia.
¿Qué tienes que hacer?
Realizar la identificación de acciones de mejora para la ejecución del Plan de Marketing definido.
Realizar análisis de ventas y precios, entre otros.
Realizar monitoreo y labores de apoyo en el desarrollo de campañas de publicidad para productos y marcas de la compañía.
Realizar análisis de categorías de menor tamaño y/o productos para el desarrollo de innovaciones.
Tenemos distintos beneficios para ti:
Casino.
Buses de acercamiento.
Seguro complementario.
Descuentos en productos.
Gym.
Reajuste por IPC.
Estabilidad y buen ambiente laboral.
Entre muchos más que te invitamos a descubrir...
Si te atraen los desafíos, te invitamos a postular y vivir la experiencia Carozzi.",1,"Formación Universitaria de las carreras de Ingeniería Comercial, Ingeniería Civil Industrial y/o carrera afín.
Manejo de Microsoft Office nivel intermedio (excluyente).
Inglés nivel intermedio (no excluyente).
Manejo Power BI nivel intermedio (deseable).
Manejo en herramientas de IA (deseable)."
Mecánico - Planta Lontue,Otra Área,"Curicó, Maule",Curicó,Maule,2026-07-21,6103836,carozzi,2026-07-21,2026-07-23,0.3405,Técnico,Jornada Completa,Empresas Carozzi,Técnico profesional superior,Chile,2 años,2026-08-20,https://carozzi.trabajando.cl/trabajo-empleo/mecanico-planta-lontue/trabajo/6103836,En Carozzi tenemos como propósito dar...,"En Carozzi tenemos como propósito dar lo mejor de nosotros para que las personas puedan disfrutar más la vida, y es por ello que desde hace más de 126 años estamos presente en el mercado con más de 100 marcas como Costa🍫, Ambrosoli🍬, Vivo🥃, Trattoria🍝, Master Dog🐶, Bresler🍧 y Pancho Villa🌯, entre otras.
Somos una Compañía donde nos mueve la innovación, el respeto por las personas y la pasión por el trabajo bien hecho y queremos invitarte a postular al cargo Mecánico para nuestra Planta ubicada en Lontue.
Misión: Realizar diagnóstico, reparación y acondicionamiento sobre equipos y maquinarias de componentes mecánicos y electromecánicos, con el propósito de contribuir a la operatividad, eficiencia y continuidad productiva de los equipos y maquinarias de la planta.
¿Qué tienes que hacer?
Realizar diagnóstico y reparación de fallas mecánicas en equipos, maquinarias y componentes, participando en los análisis de falla respectivos.
Ejecutar mantenciones preventivas y correctivas a equipos, maquinarias e instalaciones, aplicando técnicas de mantenimiento que permitan dar continuidad a los procesos productivos, considerando confiabilidad, calidad, seguridad y costo global.
Realizar la modificación y/o construcción de componentes mecánicos según se requiera.
Realizar propuestas de medidas para la mejora de los procesos de mantenimiento mecánico.
Tenemos distintos beneficios para ti:
Casino.👩?🍳
Buses de acercamiento🚍.
Descuento en productos.🛒
Gimnasio y canchas deportivas.🤸
Estabilidad laboral y buen ambiente laboral.😄
Entre muchos más que te invitamos a descubrir.😎",1,"Con formación Técnica/Profesional del área Mecánica / mantenimiento industrial o similar.
Experiencia: mínimo 3 año de experiencia en un cargo similar.
Conocimientos en:
Mecánica (nivel avanzado: Hidráulica, Neumática, elementos de control de vapor, etc.).
- Electricidad y electrónica (nivel medio).
- Desarmado y armado de componentes mecánicos complejos.
- Diagnóstico y reparación de fallas mecánicas complejas.
- Desarmado y armado de componentes mecánicos.
- Limpieza de piezas mecánicas.
- Soldadura (arco manual, TIG, MIG).
- Conocimientos de gestión de mantenimiento (KPI &KAI)."
Crew Local Heladería - Concepción,Otra Área,"Concepción, Biobío",Concepción,Biobío,2026-07-20,6096728,carozzi,2026-07-17,2026-07-23,0.2781,Operario,Part Time,Bresler,Técnico profesional superior,Chile,1 años,2026-07-31,https://carozzi.trabajando.cl/trabajo-empleo/crew-local-heladeria-concepcion/trabajo/6096728,🌟 ¡Súmate a nuestro equipo y crece...,"🌟 ¡Súmate a nuestro equipo y crece con nosotros! 🌟
En nuestra reconocida heladería con presencia a nivel nacional buscamos personas responsables, comprometidas y con muchas ganas de aprender.
Si disfrutas trabajar con personas, entregar un servicio de calidad y formar parte de un ambiente dinámico y acogedor ¡esta es tu oportunidad! 🙌🍦
🍨¿Qué harás?
Mantener operativas todas las áreas del local (barra, cocina, bodegas, copería).
Preparar, montar y servir productos siguiendo recetas y normas de higiene.
Atender de manera cordial y resolutiva a los clientes, impulsando productos y cumpliendo metas.
Apoyar en la recepción y almacenamiento de productos.
Realizar tareas de caja (cobros, arqueos y cierres).
Si tienes energía, actitud y ganas de aprender, este es tu lugar. ¡Postula ahora y únete a nuestra familia gastronómica!",1,"Enseñanza media completa (excluyente).
Experiencia en atención al cliente, montar platos, mantener limpieza de espacios y manejo de caja.
Buena disposición, adaptabilidad y trabajo en equipo."
Auxiliar de Producción - San Bernardo,Otra Área,"San Bernardo, Metropolitana de Santiago",San Bernardo,Metropolitana de Santiago,2026-07-20,6103176,carozzi,2026-07-20,2026-07-23,0.3311,Auxiliar,Por Turnos,Empresas Carozzi S.A.,Media,Chile,1 años,2026-08-19,https://carozzi.trabajando.cl/trabajo-empleo/auxiliar-de-produccion-san-bernardo/trabajo/6103176,En Carozzi nos mueve hacer las cosas...,"En Carozzi nos mueve hacer las cosas bien, para que todos podamos compartir y disfrutar en un mejor entorno, y es por ello que desde hace más de 127 años estamos presentes en el mercado con más de 100 marcas como Costa, Ambrosoli, Vivo, Trattoria, Master Dog, Bresler y Pancho Villa, entre otras.
Somos una Compañía donde vivimos la innovación, la pasión por el trabajo bien hecho y el respeto por las personas, valorando la diversidad e inclusión, porque creemos que nuestras diferencias nos enriquecen como organización.
Un nuevo desafío te espera! 🚀😊 El equipo de Planta Galletas está en busca de sus próximos Auxiliares de Producción.",1,"¿Qué tienes que hacer?
Realizar inspección visual a materias primas y productos durante cada etapa del proceso productivo.
Realizar inspección visual a materias primas y productos durante cada etapa del proceso productivo.
Realizar labores de embalaje, envasado, paletizar y separar productos defectuosos y proveer de pallets vacíos y material de envasados a las líneas de producción según requerimientos.
Realizar propuestas de acciones de mejora a su superviso directo y detectar oportunidades de mejora en procesos con fallas o anomalías.
Tenemos distintos beneficios para ti:
Casino.
Buses de acercamiento.
Seguro complementario, de vida, entre otros...
Descuentos en productos.
Gym.
Reajuste por IPC.
Estabilidad y buen ambiente laboral.
Entre muchos más que te invitamos a descubrir."
