title,team,location,city,state,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,worker_type,schedule_type,company_name,education,country,experience_level,application_deadline,url,description_short,description,vacancies,requirements
Subjefe de Tienda - Casaideas Copiapó,Otra Área,"Copiapó, Atacama",Copiapó,Atacama,2026-07-17,6102802,casaideas,2026-07-17,2026-07-17,0.2278,Encargado,Jornada Completa,Casaideas,Media,Chile,2 años,2026-09-15,https://casaideas.trabajando.cl/trabajo-empleo/subjefe-de-tienda-casaideas-copiapo/trabajo/6102802,¡Forma parte de nuestra tienda en Copiapó!...,"¡Forma parte de nuestra tienda en Copiapó!
En Casaideas, compañía líder en diseño e innovación, buscamos a nuestro/a próximo/a Encargado/a de Zona (Subjefe/a de Tienda) para nuestra tienda en Copiapó.
Tendrás como principal misión supervisar la operación diaria de la tienda, entregando una excelente atención al público, administrando el inventario de productos y asegurando el cumplimiento de los estándares de orden, servicio y metas comerciales.
Tus principales funciones serán:
Supervisar y realizar atención directa a los clientes, resolviendo dudas o reclamos de forma oportuna y empática.
Comunicar al equipo las metas de venta y hacer seguimiento diario a su cumplimiento.
Realizar inspecciones periódicas de orden, limpieza y cumplimiento de plantillas a través de checklist diarios y semanales.
Supervisar y administrar el stock de productos, asegurando disponibilidad y reposición eficiente.
Si te sumas a este desafío, serás parte de una experiencia de apertura única, en un entorno de aprendizaje continuo, donde podrás desarrollar tu liderazgo, conocer más sobre diseño y contribuir a una cultura colaborativa y creativa.
¡Te esperamos! 😊
Esta oferta laboral está abierta a personas con discapacidad en el marco de la Ley 21.015. En Casaideas valoramos las individualidades y celebramos las diferencias, por eso creemos en lugares de trabajo inclusivos, donde cada persona es respetada, valorada y atendida.",1,"- Curso de atención a clientes (deseable.)
- Enseñanza media completa.
- Conocimiento sistema SAP, POWER BI.
- 2 años trabajo en retail.
- desde 1 año trabajo con personal a cargo."
Oficial de Seguridad de la Información,Otra Área,"Santiago, Metropolitana de Santiago",Santiago,Metropolitana de Santiago,2026-07-15,6102293,casaideas,2026-07-17,2026-07-17,0.2997,Jefe Área/Sección/Depto./Local,Mixta (Teletrabajo + Presencial),Casaideas,Universitaria,Chile,5 años,2026-09-13,https://casaideas.trabajando.cl/trabajo-empleo/oficial-de-seguridad-de-la-informacion/trabajo/6102293,En Casaideas buscamos a nuestro próximo...,"En Casaideas buscamos a nuestro próximo Oficial de Seguridad de la Información, quien tendrá el desafío de liderar la estrategia de seguridad de la información de la compañía a nivel corporativo, asegurando la protección de nuestros sistemas, datos y procesos en los distintos países donde operamos.
Buscamos a una persona con mirada estratégica, sólida experiencia técnica y capacidad para liderar equipos, gestionar incidentes y relacionarse con distintas áreas del negocio.
¿Cuál será tu principal desafío?
Liderar, implementar y supervisar las políticas, procesos y estándares de seguridad de la información de la organización, promoviendo una cultura preventiva y asegurando que los recursos tecnológicos sean utilizados de acuerdo con los niveles de seguridad definidos por la compañía.
Tus principales responsabilidades serán:
Definir y mantener actualizada la estrategia y las políticas corporativas de seguridad de la información.
Liderar la identificación, evaluación y gestión de riesgos tecnológicos.
Implementar metodologías y controles que permitan prevenir vulnerabilidades e incidentes de seguridad.
Coordinar y liderar la respuesta ante incidentes de ciberseguridad, asegurando una comunicación oportuna con las áreas involucradas.
Supervisar la correcta aplicación de los estándares de seguridad en los distintos países y áreas de la compañía.
Promover auditorías de seguridad y gestionar los planes de acción asociados a sus resultados.
Evaluar e implementar herramientas, soluciones y servicios de seguridad.
Liderar y desarrollar un equipo multidisciplinario de ciberseguridad.
Gestionar proveedores y servicios externos, asegurando el cumplimiento de los acuerdos y niveles de servicio.
Impulsar iniciativas de concientización y formación en seguridad de la información para los equipos de la organización.
Mantener actualizados los protocolos de comunicación, continuidad y respuesta ante amenazas o incidentes.
¿Por qué sumarte a Casaideas?
Porque creemos en equipos diversos, colaborativos y comprometidos con hacer que las cosas pasen. Te invitamos a ser parte de una compañía en constante crecimiento, donde podrás liderar desafíos estratégicos y aportar directamente a la protección y continuidad de nuestro negocio.
¡Ven a crear espacios para vivir mejor junto a nosotros!",1,"Al menos 5 años de experiencia en áreas de seguridad de la información, ciberseguridad u operaciones TI.
Experiencia liderando equipos de ciberseguridad multidisciplinarios.
Experiencia en gestión de incidentes, riesgos, auditorías y proveedores tecnológicos.
Conocimientos en sistemas operativos Windows, Linux y UNIX.
Conocimientos en protocolos de comunicación TCP/IP.
Experiencia en arquitectura SSE y SASE.
Conocimiento y experiencia en norma ISO 27001.
Conocimiento de la Ley 21.719 sobre protección de datos personales.
Experiencia en implementación y operación de proyectos de outsourcing.
Deseable certificación ITIL u otras certificaciones relacionadas con seguridad de la información."
Comprador,Otra Área,"Santiago, Metropolitana de Santiago",Santiago,Metropolitana de Santiago,2026-07-09,6100452,casaideas,2026-07-17,2026-07-17,0.3119,Especialista,Mixta (Teletrabajo + Presencial),Casaideas,Universitaria,Chile,3 años,2026-07-09,https://casaideas.trabajando.cl/trabajo-empleo/comprador/trabajo/6100452,¡Buscamos a quien quiera hacer que...,"¡Buscamos a quien quiera hacer que las cosas pasen!
En nuestro equipo estamos buscando a una persona organizada, resolutiva y con mucha capacidad de coordinación, que disfrute trabajar con múltiples áreas, negociar con proveedores y asegurar que cada proceso fluya de la mejor manera posible.
Queremos sumar a alguien con mirada analítica, sentido de urgencia y foco en los detalles, que pueda acompañar el proceso completo de compras y abastecimiento, aportando eficiencia, orden y mejoras constantes en el camino.
¿Qué tendrás que hacer?
Gestionar negociaciones y acuerdos comerciales con proveedores.
Coordinar órdenes de compra y hacer seguimiento de cada etapa del proceso.
Velar por el cumplimiento de fechas, costos y condiciones acordadas.
Participar activamente en coordinaciones con distintas áreas internas.
Revisar información logística y documentación asociada a embarques y productos.
Buscar oportunidades de mejora que permitan optimizar tiempos y costos.
Hacer seguimiento al desempeño de proveedores y niveles de servicio.
¿Qué esperamos de ti?
Formación profesional afín al cargo.
Experiencia en áreas de compras, procurement o abastecimiento.
Manejo avanzado de Excel.
Inglés escrito avanzado.
Deseable experiencia utilizando SAP u otros ERP.
Capacidad para trabajar con múltiples procesos simultáneamente.
Buenas habilidades de coordinación, negociación y organización.
Nos encantaría encontrar a alguien que:
Sea detallista y muy ordenado/a.
Tenga iniciativa y autonomía.
Disfrute trabajar colaborativamente.
Se adapte bien a entornos dinámicos.
Tenga ganas de proponer mejoras y hacer más eficientes los procesos.
Si te gustan los desafíos, el trabajo en equipo y ser parte de procesos que impactan directamente en la operación, ¡te queremos conocer!",1,"Formación profesional afín al cargo.
Experiencia en áreas de compras, procurement o abastecimiento.
Manejo avanzado de Excel.
Inglés escrito avanzado.
Deseable experiencia utilizando SAP u otros ERP.
Capacidad para trabajar con múltiples procesos simultáneamente.
Buenas habilidades de coordinación, negociación y organización."
Asistente a Clientes Part time- Easton Center,Otra Área,"Quilicura, Metropolitana de Santiago",Quilicura,Metropolitana de Santiago,2026-07-07,6099249,casaideas,2026-07-17,2026-07-17,0.3107,Vendedor,Part Time,Casaideas,Media,Chile,,2026-05-09,https://casaideas.trabajando.cl/trabajo-empleo/asistente-a-clientes-part-time-easton-center/trabajo/6099249,"En Casaideas , compañía líder en diseño...","En Casaideas, compañía líder en diseño e innovación, te invitamos a formar parte de nuestro equipo como Asistente a Clientes Part time. Buscamos personas proactivas, alegres y apasionadas por el diseño, que deseen ofrecer un servicio excepcional y cálido a nuestros clientes en la Tienda de Easton Center😃.
Como Asistente a Clientes, tendrás un papel clave en la creación de una experiencia de compra inolvidable. Serás responsable de brindar atención personalizada y asesoría a nuestros clientes, asegurando que cada visita sea gratificante. Además, tus tareas incluirán mantener tu área de trabajo limpia y ordenada, gestionar los flejes, prevenir quiebres de stock y realizar labores de caja y reposición. Tu objetivo principal será contribuir al logro de nuestras metas de ventas y proporcionar un excelente servicio al cliente.
La modalidad de trabajo es:
Part Time Semanal: Lunes a Domingo en una modalidad rotativa 4x3 (4 días de trabajo, 3 libres) y solo 5 horas de trabajo cumpliendo 20 horas semanales. El horario incluirá turnos rotativos tanto en la mañana como en la tarde.
¡Te esperamos!
Esta oferta laboral está abierta a personas con discapacidad en el marco de la Ley 21.015. En Casaideas valoramos las individualidades y celebramos las diferencias, por eso creemos en lugares de trabajo inclusivos, donde cada persona es respetada, valorada y atendida.",100,"Ser mayor de 18 años a la fecha de inicio
Poseer enseñanza media completa
Tener disponibilidad para trabajar en modalidad part time Lunes a Domingo
¡Muchas ganas de trabajar!"
Jefe Visual Tienda Puerto Varas,Otra Área,"Puerto Varas, Los Lagos",Puerto Varas,Los Lagos,2026-06-24,6087639,casaideas,2026-07-17,2026-07-17,0.2805,Jefe Área/Sección/Depto./Local,Jornada Completa,Casaideas,Universitaria,Chile,1 años,2026-08-23,https://casaideas.trabajando.cl/trabajo-empleo/jefe-visual-tienda-puerto-varas/trabajo/6087639,"En Casaideas , empresa líder en diseño...","En Casaideas, empresa líder en diseño y retail, nos encontramos en búsqueda de nuestro/a próximo/a Jefe de Visual Merchandising para nuestra tienda de Puerto Varas.
La misión del cargo es garantizar que los clientes tengan una experiencia de visita inolvidable a partir del cumplimiento de los estándares corporativos de visual merchandising para la exhibición de los productos y la imagen global en la tienda (Modelo de Autoservicio).
Algunas de las funciones a realizar son:
- Instruir y capacitar permanentemente al personal de sala sobre los estándares visuales, nuevas formas de montaje y colecciones de productos.
- Sugerir, armar e implementar el cambio de Micro layout de cada temporada en su tienda, definido por su Jefatura de acuerdo a los lineamientos de la compañía.
- Coordinar y supervisar directamente el montaje de vitrinas y eventos locales y corporativos.
- Coordinar y supervisar la reposición de productos en los horarios destinados para ello.
- Supervisar la correcta implementación de precios y flejes.
- Mantener a diario el orden y limpieza de productos y de toda la sala de venta.
- Velar por el cumplimiento de los procedimientos de la compañía y las normas de seguridad.
¡Te esperamos!
Esta oferta laboral está abierta a personas con discapacidad en el marco de la Ley 21.015. En Casaideas valoramos las individualidades y celebramos las diferencias, por eso creemos en lugares de trabajo inclusivos, donde cada persona es respetada, valorada y atendida",1,"- Titulo de diseñador o carrera a fin con diseño, experiencia en consumo masivo o retail con procesos.
- desde 1 año de experiencia en el área de visual en sala de ventas.
- Experiencia demostrada en coordinación de equipos.
- Manejo de herramientas de Office.
- Poseer conocimientos de Autocad"
Asistente a Clientes Full Time- Casa Costanera ,Otra Área,"Vitacura, Metropolitana de Santiago",Vitacura,Metropolitana de Santiago,2026-06-24,6086725,casaideas,2026-07-17,2026-07-17,0.3053,Vendedor,Jornada Completa,Casaideas,Media,Chile,,2026-08-23,https://casaideas.trabajando.cl/trabajo-empleo/asistente-a-clientes-full-time-casa-costanera/trabajo/6086725,"En Casaideas , compañía líder en diseño...","En Casaideas, compañía líder en diseño e innovación, te invitamos a formar parte de nuestro equipo como Asistente a Clientes Full Time. Buscamos personas proactivas, alegres y apasionadas por el diseño, que deseen ofrecer un servicio excepcional y cálido a nuestros clientes en la Tienda de Casa Costanera😃.
Como Asistente a Clientes, tendrás un papel clave en la creación de una experiencia de compra inolvidable. Serás responsable de brindar atención personalizada y asesoría a nuestros clientes, asegurando que cada visita sea gratificante. Además, tus tareas incluirán mantener tu área de trabajo limpia y ordenada, gestionar los flejes, prevenir quiebres de stock y realizar labores de caja y reposición. Tu objetivo principal será contribuir al logro de nuestras metas de ventas y proporcionar un excelente servicio al cliente.
La modalidad de trabajo es:
Full Time: 5x2 Lunes a Domingo, turnos rotativos (8 horas diarias), estos turnos pueden ser de apertura o cierre.
¡Te esperamos!
Esta oferta laboral está abierta a personas con discapacidad en el marco de la Ley 21.015. En Casaideas valoramos las individualidades y celebramos las diferencias, por eso creemos en lugares de trabajo inclusivos, donde cada persona es respetada, valorada y atendida.",1,"Ser mayor de 18 años a la fecha de inicio
Poseer enseñanza media completa
Tener disponibilidad para trabajar en modalidad part time Lunes a Domingo
¡Muchas ganas de trabajar!"
Asistente a Clientes Part time- Casa Costanera ,Otra Área,"Vitacura, Metropolitana de Santiago",Vitacura,Metropolitana de Santiago,2026-06-24,6086574,casaideas,2026-07-17,2026-07-17,0.296,Vendedor,Part Time,Casaideas,Media,Chile,,2026-08-23,https://casaideas.trabajando.cl/trabajo-empleo/asistente-a-clientes-part-time-casa-costanera/trabajo/6086574,"En Casaideas , compañía líder en diseño...","En Casaideas, compañía líder en diseño e innovación, te invitamos a formar parte de nuestro equipo como Asistente a Clientes Part time. Buscamos personas proactivas, alegres y apasionadas por el diseño, que deseen ofrecer un servicio excepcional y cálido a nuestros clientes en la Tienda de Casa Costanera😃.
Como Asistente a Clientes, tendrás un papel clave en la creación de una experiencia de compra inolvidable. Serás responsable de brindar atención personalizada y asesoría a nuestros clientes, asegurando que cada visita sea gratificante. Además, tus tareas incluirán mantener tu área de trabajo limpia y ordenada, gestionar los flejes, prevenir quiebres de stock y realizar labores de caja y reposición. Tu objetivo principal será contribuir al logro de nuestras metas de ventas y proporcionar un excelente servicio al cliente.
La modalidad de trabajo es:
Part Time Semanal: Lunes a Domingo en una modalidad rotativa 4x3 (4 días de trabajo, 3 libres) y solo 5 horas de trabajo cumpliendo 20 horas semanales. El horario incluirá turnos rotativos tanto en la mañana como en la tarde.
¡Te esperamos!
Esta oferta laboral está abierta a personas con discapacidad en el marco de la Ley 21.015. En Casaideas valoramos las individualidades y celebramos las diferencias, por eso creemos en lugares de trabajo inclusivos, donde cada persona es respetada, valorada y atendida.",100,"Ser mayor de 18 años a la fecha de inicio
Poseer enseñanza media completa
Tener disponibilidad para trabajar en modalidad part time Lunes a Domingo
¡Muchas ganas de trabajar!"
Jefe Visual Tienda Algarrobo,Otra Área,"Algarrobo, Valparaíso",Algarrobo,Valparaíso,2026-06-22,6085514,casaideas,2026-07-17,2026-07-17,0.2643,Jefe Área/Sección/Depto./Local,Jornada Completa,Casaideas,Universitaria,Chile,1 años,2026-08-21,https://casaideas.trabajando.cl/trabajo-empleo/jefe-visual-tienda-algarrobo/trabajo/6085514,"En Casaideas , empresa líder en diseño...","En Casaideas, empresa líder en diseño y retail, nos encontramos en búsqueda de nuestro/a próximo/a Jefe de Visual Merchandising para nuestra tienda de Algarrobo.
La misión del cargo es garantizar que los clientes tengan una experiencia de visita inolvidable a partir del cumplimiento de los estándares corporativos de visual merchandising para la exhibición de los productos y la imagen global en la tienda (Modelo de Autoservicio).
Algunas de las funciones a realizar son:
- Instruir y capacitar permanentemente al personal de sala sobre los estándares visuales, nuevas formas de montaje y colecciones de productos.
- Sugerir, armar e implementar el cambio de Micro layout de cada temporada en su tienda, definido por su Jefatura de acuerdo a los lineamientos de la compañía.
- Coordinar y supervisar directamente el montaje de vitrinas y eventos locales y corporativos.
- Coordinar y supervisar la reposición de productos en los horarios destinados para ello.
- Supervisar la correcta implementación de precios y flejes.
- Mantener a diario el orden y limpieza de productos y de toda la sala de venta.
- Velar por el cumplimiento de los procedimientos de la compañía y las normas de seguridad.
¡Te esperamos!
Esta oferta laboral está abierta a personas con discapacidad en el marco de la Ley 21.015. En Casaideas valoramos las individualidades y celebramos las diferencias, por eso creemos en lugares de trabajo inclusivos, donde cada persona es respetada, valorada y atendida",1,"- Titulo de diseñador o carrera a fin con diseño, experiencia en consumo masivo o retail con procesos.
- desde 1 año de experiencia en el área de visual en sala de ventas.
- Experiencia demostrada en coordinación de equipos.
- Manejo de herramientas de Office.
- Poseer conocimientos de Autocad"
Productor Visual Merchandising,Otra Área,"Santiago, Metropolitana de Santiago",Santiago,Metropolitana de Santiago,2026-06-18,6084115,casaideas,2026-07-17,2026-07-17,0.2832,Asistente,Mixta (Teletrabajo + Presencial),Casaideas,Universitaria,Chile,1 años,2026-08-17,https://casaideas.trabajando.cl/trabajo-empleo/productor-visual-merchandising/trabajo/6084115,En Casaideas buscamos a una persona...,"En Casaideas buscamos a una persona creativa, organizada y detallista para sumarse a nuestro equipo como Productor de Visual Merchandising.
El principal objetivo del cargo será apoyar el desarrollo de la estrategia de visual Merchandising a nivel matriz, contribuyendo a la estandarización, orden y correcta implementación visual en nuestras tiendas.
Si te apasiona el diseño, disfrutas trabajar en equipo y te motiva transformar ideas en experiencias visuales, ¡queremos conocerte!
¿Qué harás en este rol?
Apoyar en el desarrollo de material gráfico para manuales, capacitaciones y presentaciones del área.
Preparar y organizar información para el desarrollo de catálogos de plantillas por temporada.
Realizar bases gráficas y adaptación de productos para distintos formatos y muebles.
Editar y corregir material gráfico según lineamientos del área.
Recopilar información técnica y traspasarla a formatos visuales para catálogos y manuales.
Participar en visitas a tiendas para revisar implementaciones y detectar oportunidades de mejora.
Apoyar en montajes y proyectos asociados a visual merchandising.
¿Qué buscamos?
Formación en Diseño de Ambientes, Diseño Gráfico o Diseño Industrial.
Manejo de Illustrator e Indesign (excluyente).
Manejo de Autocad.(excluyente).
Manejo básico de Excel.
Interés por el visual merchandising, diseño y retail.
Personas organizadas, proactivas, resolutivas y con ganas de aprender.
Capacidad para trabajar en equipo y bajo presión.
Algunos desafíos del cargo
Cumplir con los tiempos y calendarios definidos para cada temporada.
Coordinar y recopilar información de distintas áreas.
Participar activamente en proyectos de implementación y mejora continua.
Si te interesa ser parte de un equipo creativo, dinámico y colaborativo, ¡te invitamos a postular!😀",1,"Formación en Diseño de Ambientes, Diseño Gráfico o Diseño Industrial.
Manejo de Illustrator e Indesign (excluyente).
Manejo de Autocad (excluyente).
Manejo básico de Excel.
Interés por el visual merchandising, diseño y retail.
Personas organizadas, proactivas, resolutivas y con ganas de aprender.
Capacidad para trabajar en equipo y bajo presión."
Category Manager Sourcing,Otra Área,"Santiago, Metropolitana de Santiago",Santiago,Metropolitana de Santiago,2026-06-18,6084118,casaideas,2026-07-17,2026-07-17,0.3905,Comercial,Mixta (Teletrabajo + Presencial),Casaideas,Universitaria,Chile,2 años,2026-08-17,https://casaideas.trabajando.cl/trabajo-empleo/category-manager-sourcing/trabajo/6084118,En Casa ideas desarrollamos productos...,"En Casa ideas desarrollamos productos con sentido, cuidando el diseño, la funcionalidad y la accesibilidad. Buscamos un Category Manager Sourcing que quiera ser parte del desarrollo de nuestras categorías, conectando proveedores, costos, diseño y rentabilidad, con foco en sourcing estratégico.
🎯 ¿Cuál será tu propósito?
Gestionar el sourcing y desarrollo de proveedores de una o más categorías de producto, asegurando costos competitivos, calidad y viabilidad productiva, participando activamente en el desarrollo del portafolio y la rentabilidad de la categoría asignada.
🧩 ¿Qué harás en el día a día?
Buscar, evaluar y desarrollar proveedores nacionales e internacionales para las categorías a cargo.
Analizar y optimizar costos, revisando estructuras de costos y variables económicas relevantes.
Participar junto a las áreas de Diseño y Compras en el desarrollo de productos, aportando alternativas de proveedores alineadas a objetivos de costo y calidad.
Gestionar procesos de cotización y recotización de productos, permanentemente.
Analizar la factibilidad productiva en distintos mercados.
Apoyar la definición del mix de proveedores, buscando eficiencias productivas y mayor poder de negociación.
Realizar análisis comparativos y reportes asociados a costos, proveedores y categoría.
👤 ¿Qué buscamos?
Formación profesional en Ingeniería Comercial, Ingeniería Civil Industrial, Comercio Exterior, Negocios Internacionales o carrera afín.
Experiencia inicial (1 a 3 años) en sourcing, compras, planificación o gestión de categorías.
Capacidad analítica para comprender estructuras de costos y variables económicas.
Manejo de Excel a nivel avanzado.
Interés por el desarrollo de producto y negociación con proveedores.
Perfil ordenado, curioso, proactivo y con buena capacidad de trabajo transversal.
Inglés avanzado.
¿Qué ofrecemos?
Integrarte a una empresa creativa, cercana y con fuerte foco en desarrollo de producto.
Exposición a proveedores y mercados internacionales.
Aprendizaje continuo en gestión de categorías y sourcing.
Proyección de desarrollo profesional.
Si te motiva ser parte de un equipo dinámico, ¡te estamos buscando! 💛",1,"Formación profesional en Ingeniería Comercial, Ingeniería Civil Industrial, Comercio Exterior, Negocios Internacionales o carrera afín.
Experiencia inicial (1 a 3 años) en sourcing, compras, planificación o gestión de categorías.
Capacidad analítica para comprender estructuras de costos y variables económicas.
Manejo de Excel a nivel avanzado.
Interés por el desarrollo de producto y negociación con proveedores.
Perfil ordenado, curioso, proactivo y con buena capacidad de trabajo transversal.
Inglés avanzado."
