title,team,location,city,state,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,job_category,worker_type,schedule_type,company_name,education,country,experience_level,application_deadline,url,description_short,description,requirements
Operador de Suministros - Renca,Otra Área,"Renca, Metropolitana de Santiago, Chile",Renca,Metropolitana de Santiago,2026-07-15,6102339,ccu,2026-07-16,2026-07-17,0.4091,Operario,,Por Turnos,CCU,Técnico profesional superior,Chile,1,2026-09-13,https://www.trabajaenccu.cl/trabajo/6102339-operador-de-suministros-renca,,"¡En CCU nos apasiona crear experiencias para compartir juntos un mejor vivir!
Con una amplia gama de marcas de bebestibles y experiencias, mejoramos y acompañamos distintos momentos de la vida, guiados por nuestros principios, en beneficio de las personas con las que nos relacionamos y el cuidado del medio ambiente.
Actualmente nos encontramos en búsqueda de un Operador de Suministros para desempeñarse en nuestra planta ubicada en Renca.
Principales funciones:
Procesos Suministros: Operar técnicamente los procesos y máquinas del área de suministros auxiliares (combustibles, energía, agua, CO2, entre otros), garantizando la confiabilidad y eficiencia de los servicios entregados.
Realizar y registrar análisis químicos y físicos a los productos (aguas, aire, vapor, CO2, refrigeración, N2), manteniendo evidencias registrables para la continuidad del proceso.
Mantención: Planificar y ejecutar las mantenciones a los equipos de procesos auxiliares y redes, diagnosticando defectos o fallas y generando planes e inspecciones preventivas.
Cumplir los procedimientos de calidad, realizando controles y registros del producto y del proceso productivo (First Time Right, retenciones, rechazos y reclamos).
Coordinar suministros, cortes y otros aspectos del proceso con las demás áreas para optimizar la entrega en calidad, cantidad y tiempo requerido.
TPM: Contribuir activamente a la resolución de problemas mediante 5S, Análisis 5PQ, Kaizen, Mejora Enfocada, Mantenimiento Autónomo y Control de Activos.
Seguridad: Cumplir el Reglamento Interno de Higiene y Seguridad, liderando mejoras (miniproyectos, buenas prácticas) en riesgos críticos del área.
Requisitos:
Técnico Superior en Mecánica, Electrónica, Electricidad, Automatización o carrera afín.
Desde 1 año de experiencia.
Conocimientos de BPM, TPM, cumplimiento legal ambiental y Office.
Certificado de operación de caldera DS10 (excluyente).
Nuestro SER CCU nos inspira a trabajar con aceptación y respeto a las diferencias de las personas, promoviendo un entorno diverso e integrador, para así contribuir a un mejor vivir. Por esto, te agradecemos que nos compartas si necesitas adaptación en alguna etapa del proceso de postulación.
¡Te invitamos a SER CCU!","Requisitos:
Formación: Técnico Superior en Mecánica, Electrónica, Electricidad, Automatización o carrera afín.
Experiencia: Desde 1 año de experiencia.
Conocimientos: BPM, TPM, cumplimiento legal ambiental y Office.
Otros: Certificado de operación de caldera DS10 (excluyente)."
Práctica en Operaciones y Mejora Continua (Envasado) - Renca,Otra Área,"Renca, Metropolitana de Santiago, Chile",Renca,Metropolitana de Santiago,2026-07-14,6102030,ccu,2026-07-16,2026-07-17,0.485,Práctica,,Práctica,CCU,Universitaria,Chile,0,2026-09-12,https://www.trabajaenccu.cl/trabajo/6102030-practica-en-operaciones-y-mejora-continua-envasado-renca,,"¡En CCU nos apasiona crear experiencias para compartir juntos un mejor vivir! 
Nos encontramos en búsqueda de un/una estudiante de Ingeniería Industrial, mecánica, eléctrica, electrónica o química para realizar su práctica en nuestra planta de Renca. 
Funciones: 
Participar en iniciativas de mejora continua del área de Envasado.
Realizar recorridos en terreno y apoyar el seguimiento de procesos.
Preparar documentación y reportes operacionales.
Apoyar a operadores y equipos en actividades del proceso productivo.
Colaborar en tareas administrativas del área.
Requisitos: 
Manejo de excel intermedio
Seguro escolar vigente
Duración de 3 meses
Disponibilidad para iniciar en agosto
Nuestro SER CCU nos inspira a trabajar con aceptación y respeto a las diferencias de las personas, promoviendo un entorno diverso e integrador, para así contribuir a un mejor vivir. Por esto, te agradecemos que nos compartas si necesitas adaptación en alguna etapa del proceso de postulación. 
¡Te invitamos a SER CCU!","Manejo de excel intermedio
Seguro escolar vigente
Duración de 3 meses
Disponibilidad para iniciar en agosto"
Jefe de Planificación Logística - Las Condes,Otra Área,"Las Condes, Metropolitana de Santiago, Chile",Las Condes,Metropolitana de Santiago,2026-07-14,6101802,ccu,2026-07-16,2026-07-17,0.4691,Jefe Área/Sección/Depto./Local,,Jornada Completa,CCU,Universitaria,Chile,3,2026-09-12,https://www.trabajaenccu.cl/trabajo/6101802-jefe-de-planificacion-logistica-las-condes,,"¡En CCU nos apasiona crear experiencias para compartir juntos un mejor vivir!
Nos encontramos en búsqueda de un Jefe de Planificación Logística, para desempeñarse en nuestras oficinas ubicadas en Las Condes.
Principales Funciones:
Liderar el equipo de Planificación Logística de las unidades de Cerveza, CPCh y VSPT, promoviendo una gestión colaborativa, proactiva y orientada a la mejora continua.
Planificación de Productos Terminados: Asegurar el correcto flujo de productos desde las plantas productoras para abastecer eficientemente a los Centros de Distribución de todo Chile.
Gestión de S&OP y S&OE: Participar activa y colaborativamente en los ciclos de S&OP y S&OE de la compañía, asegurando la correcta alineación entre los planes de mediano plazo y la ejecución operativa del día a día.
Optimización de Inventarios: Controlar y asegurar el cumplimiento de las políticas de inventario de la compañía mediante la gestión operativa y el seguimiento de indicadores clave.
Coordinación Transversal: Anticipar riesgos, resolver problemas operativos y coordinar transversalmente con las distintas áreas de la cadena de suministro..
Requisitos:
Titulo profesional en Ingeniería Comercial o Ingeniería Civil.
Experiencia mínima de 3 años en en áreas de planificación, abastecimiento, operaciones o supply chain.
Experiencia mínima de 3 años en cargos de jefatura o liderazgo de equipos, áreas de planificación, abastecimiento o gestión de la cadena de suministro.
Manejo avanzado de Microsoft Office, conocimiento herramientas de análisis de datos (Power BI, SQL u otras similares).
Deseable: Manejo de SAP IBP, manejo de SAP S/4HANA. 
Nuestro SER CCU nos inspira a trabajar con aceptación y respeto a las diferencias de las personas, promoviendo un entorno diverso e integrador, para así contribuir a un mejor vivir. Por esto, te agradecemos que nos compartas si necesitas adaptación en alguna etapa del proceso de postulación.
¡Te invitamos a SER CCU!","Titulo profesional en Ingeniería Comercial o Ingeniería Civil.
Experiencia mínima de 3 años en en áreas de planificación, abastecimiento, operaciones o supply chain.
Experiencia mínima de 3 años en cargos de jefatura o liderazgo de equipos, áreas de planificación, abastecimiento o gestión de la cadena de suministro.
Manejo avanzado de Microsoft Office, conocimiento herramientas de análisis de datos (Power BI, SQL u otras similares).
Deseable: Manejo de SAP IBP, manejo de SAP S/4HANA."
"Práctica Área Ventas - La Pirámide, Pedro Aguirre Cerda",Otra Área,"Pedro Aguirre Cerda, Metropolitana de Santiago, Chile",Pedro Aguirre Cerda,Metropolitana de Santiago,2026-07-14,6101828,ccu,2026-07-16,2026-07-17,0.4344,Práctica,,Práctica,CCU,Universitaria,Chile,0,2026-09-12,https://www.trabajaenccu.cl/trabajo/6101828-practica-area-ventas-la-piramide-pedro-aguirre-cerda,,"¡En CCU nos apasiona crear experiencias para compartir juntos un mejor vivir!
Nos encontramos en búsqueda de un/a estudiante de Ingeniería Comercial, Ingeniería Civil, Ingeniería Administración de empresas o Ingeniería en Marketing, para realizar su práctica profesional en el área de Subgerencia Ventas en nuestra oficina comercial, ubicada en La Pirámide - Pedro Aguirre Cerda.
Funciones:
Análisis de Datos y Toma de Decisiones.
Trabajo en Equipo.
Comunicación Efectiva.
Análisis de Eficiencia y Optimización.
Requisitos:
Office Intermedio/ Avanzado (Excel/Power Point)
Manejo básico/intermedio en SQL (no excluyente).
Manejo básico/intermedio en Power BI o Looker (no excluyente).
Capacidad en Análisis de Datos.
Disponibilidad para realizar la práctica 6 meses
Seguro Escolar Vigente
Nuestro SER CCU nos inspira a trabajar con aceptación y respeto a las diferencias de las personas, promoviendo un entorno diverso e integrador, para así contribuir a un mejor vivir. Por esto, te agradecemos que nos compartas si necesitas adaptación en alguna etapa del proceso de postulación.
¡Te invitamos a SER CCU!","Office Intermedio/ Avanzado (Excel/Power Point)
Manejo básico/intermedio en SQL (no excluyente).
Manejo básico/intermedio en Power BI o Looker (no excluyente).
Capacidad en Análisis de Datos.
Disponibilidad para realizar la práctica 6 meses
Seguro Escolar Vigente"
Práctica en Optimización y Análisis de Procesos - Quilicura,Otra Área,"Quilicura, Metropolitana de Santiago, Chile",Quilicura,Metropolitana de Santiago,2026-07-14,6102007,ccu,2026-07-16,2026-07-17,0.4799,Práctica,,Práctica,CCU,Universitaria,Chile,0,2026-09-12,https://www.trabajaenccu.cl/trabajo/6102007-practica-en-optimizacion-y-analisis-de-procesos-quilicura,,"¡En CCU nos apasiona crear experiencias para compartir juntos un mejor vivir!
Nos encontramos en búsqueda de estudiantes de Ingeniería Civil Industrial, Química, Biotecnológica, Biología, o carrera afín, en nuestra planta Cervecera en Quilicura.
Funciones:
Seguimiento de Ensayos: Monitoreo en terreno y recopilación de variables críticas durante las pruebas industriales.
Análisis de Datos: Procesamiento de bases de datos para identificar desviaciones, tendencias y comportamientos del proceso.
Visualización de Resultados: Creación de gráficos dinámicos y paneles de control que faciliten la interpretación de los ensayos.
Reportabilidad: Elaboración de presentaciones ejecutivas con conclusiones técnicas y recomendaciones de mejora basadas en la evidencia
recolectada.
Requisitos:
Disponibilidad para iniciar en agosto.
Contar con seguro escolar.
Duración de 3 meses.
Nuestro SER CCU nos inspira a trabajar con aceptación y respeto a las diferencias de las personas, promoviendo un entorno diverso e integrador, para así contribuir a un mejor vivir. Por esto, te agradecemos que nos compartas si necesitas adaptación en alguna etapa del proceso de postulación.
¡Te invitamos a SER CCU!","Disponibilidad para iniciar en agosto.
Contar con seguro escolar.
Duración de 3 meses."
Práctica Procesos Logísticos y Análisis Operacional - Quilicura,Otra Área,"Quilicura, Metropolitana de Santiago, Chile",Quilicura,Metropolitana de Santiago,2026-07-14,6102018,ccu,2026-07-16,2026-07-17,0.495,Práctica,,Práctica,CCU,Universitaria,Chile,0,2026-09-12,https://www.trabajaenccu.cl/trabajo/6102018-practica-procesos-logisticos-y-analisis-operacional-quilicura,,"¡En CCU nos apasiona crear experiencias para compartir juntos un mejor vivir!
Nos encontramos en búsqueda de estudiantes de Ingeniería Civil Industrial, Ingeniería Civil Mecánica o Ingeniería Civil Informática, para el área de Interplanta Cervecera en nuestra planta en Quilicura.
Funciones:
Analizar y optimizar procesos operacionales del Centro Logístico.
Monitorear indicadores clave (KPI) para apoyar la toma de decisiones.
Desarrollar reportes y dashboards con Power BI, Google Sheets y otras herramientas digitales.
Participar en proyectos de mejora continua, digitalización e Inteligencia Artificial.
Detectar oportunidades de mejora mediante análisis de datos y levantamiento de información en terreno.
Requisitos:
Manejo de Excel intermedio
Manejo de herramientas de IA para automatización
Manejo deseable de Power Bi o Locker Studio
Disponibilidad para iniciar en agosto.
Contar con seguro escolar.
Duración de 6 meses.
Nuestro SER CCU nos inspira a trabajar con aceptación y respeto a las diferencias de las personas, promoviendo un entorno diverso e integrador, para así contribuir a un mejor vivir. Por esto, te agradecemos que nos compartas si necesitas adaptación en alguna etapa del proceso de postulación.
¡Te invitamos a SER CCU!","Manejo de Excel intermedio
Manejo de herramientas de IA para automatización
Manejo deseable de Power Bi o Locker Studio
Disponibilidad para iniciar en agosto.
Contar con seguro escolar.
Duración de 6 meses."
Práctica mejora continua (TPM) - Renca,Otra Área,"Renca, Metropolitana de Santiago, Chile",Renca,Metropolitana de Santiago,2026-07-14,6102103,ccu,2026-07-16,2026-07-17,0.5024,Práctica,,Práctica,CCU,Universitaria,Chile,0,2026-09-12,https://www.trabajaenccu.cl/trabajo/6102103-practica-mejora-continua-tpm-renca,,"¡En CCU nos apasiona crear experiencias para compartir juntos un mejor vivir! 
Nos encontramos en búsqueda de un/una estudiante de Ingeniería Civil Industrial, Ingeniería Civil Química, Ingeniería Ejecución Industrial, Ingeniería Ejecución Química para realizar su práctica en el área de TPM en nuestro/a planta de Renca. 
Funciones: 
Generar instructivos y procedimientos.
Realizar levantamiento de información del proceso.
Apoyo avance metodología 5S en planta.
Apoyo en estandarización, visualización y control de sistemas de mejora continua y sus herramientas.
Requisitos: 
Manejo de herramientas de visualización de datos (Power Bi, Looker Studio)
Manejo de excel intermedio
Seguro escolar vigente
Duración de 3 meses
Disponibilidad para iniciar en agosto
Nuestro SER CCU nos inspira a trabajar con aceptación y respeto a las diferencias de las personas, promoviendo un entorno diverso e integrador, para así contribuir a un mejor vivir. Por esto, te agradecemos que nos compartas si necesitas adaptación en alguna etapa del proceso de postulación. 
¡Te invitamos a SER CCU!","Manejo de herramientas de visualización de datos (Power Bi, Looker Studio)
Manejo de excel intermedio
Seguro escolar vigente
Duración de 3 meses
Disponibilidad para iniciar en agosto"
Práctica Gestión de Personas - Renca,Otra Área,"Renca, Metropolitana de Santiago, Chile",Renca,Metropolitana de Santiago,2026-07-14,6102048,ccu,2026-07-16,2026-07-17,0.4964,Práctica,,Práctica,CCU,Universitaria,Chile,0,2026-09-12,https://www.trabajaenccu.cl/trabajo/6102048-practica-gestion-de-personas-renca,,"¡En CCU nos apasiona crear experiencias para compartir juntos un mejor vivir! 
Nos encontramos en búsqueda de un/una estudiante de Psicología, Ingeniería Comercial o Administración de Empresas para realizar su práctica en el área de Master Plan de Capacidades en nuestro/a planta de Renca. 
Funciones: 
Apoyar el proceso de inducción de colaboradores de planta.
Coordinar y organizar levantamientos de información de trabajadores.
Gestionar registros de asistencia y control de información.
Apoyar el seguimiento y control de horas extraordinarias.
Brindar apoyo administrativo en los procesos del área de Recursos Humanos.
Requisitos: 
Manejo de Excel intermedio
Seguro escolar vigente
Duración de 4 meses
Disponibilidad para iniciar en agosto
Nuestro SER CCU nos inspira a trabajar con aceptación y respeto a las diferencias de las personas, promoviendo un entorno diverso e integrador, para así contribuir a un mejor vivir. Por esto, te agradecemos que nos compartas si necesitas adaptación en alguna etapa del proceso de postulación. 
¡Te invitamos a SER CCU!","Manejo de Excel intermedio
Seguro escolar vigente
Duración de 4 meses
Disponibilidad para iniciar en agosto"
Práctica en Administración de Laboratorio   Planta Porvenir,Otra Área,"Casablanca, Valparaíso, Chile",Casablanca,Valparaíso,2026-07-14,6102084,ccu,2026-07-16,2026-07-17,0.483,Práctica,,Práctica,CCU,Universitaria,Chile,0,2026-09-12,https://www.trabajaenccu.cl/trabajo/6102084-practica-en-administracion-de-laboratorio-planta-porvenir,,"¡En CCU nos apasiona crear experiencias para compartir juntos un mejor vivir! 
Nos encontramos en búsqueda de un/una estudiante de Administración, control de calidad o microbiólogia para realizar su práctica en el área de Laboratorio Calidad en nuestro/a planta de Porvenir. 
Funciones: 
Verificar y organizar la documentación del laboratorio.
Digitalizar registros y controles de procesos.
Apoyar la gestión administrativa del área.
Requisitos: 
Manejo de Excel intermedio
Seguro escolar vigente
Duración de 4 meses
Disponibilidad para iniciar en agosto
Nuestro SER CCU nos inspira a trabajar con aceptación y respeto a las diferencias de las personas, promoviendo un entorno diverso e integrador, para así contribuir a un mejor vivir. Por esto, te agradecemos que nos compartas si necesitas adaptación en alguna etapa del proceso de postulación. 
¡Te invitamos a SER CCU!","Manejo de Excel intermedio
Seguro escolar vigente
Duración de 4 meses
Disponibilidad para iniciar en agosto"
Ingeniero/a Control de Gestión - Las Condes,Otra Área,"Las Condes, Metropolitana de Santiago, Chile",Las Condes,Metropolitana de Santiago,2026-07-14,6102086,ccu,2026-07-16,2026-07-17,0.4165,Ingeniero,,Jornada Completa,CCU,Universitaria,Chile,0,2026-09-12,https://www.trabajaenccu.cl/trabajo/6102086-ingeniero-a-control-de-gestion-las-condes,,"¡En CCU nos apasiona crear experiencias para compartir juntos un mejor vivir!
Estamos buscando a nuestro/a próximo/a Ingeniero/a Control de Gestión para desempeñarse en la Compañía Pisquera de Chile (CPCh) ubicada en nuestro Edificio Corporativo de Las Condes.
Principales funciones:
Monitorear, analizar y controlar las desviaciones de los gastos mensuales, trimestrales y anuales (OPEX), asegurando la correcta imputación contable y la eficiencia en el uso de los recursos del área.
Colaborar activamente en la elaboración, consolidación y control del presupuesto anual del área, trabajando en conjunto con las jefaturas para proyectar gastos y optimizar desvíos.
Apoyar en el análisis detallado de costos y gastos operacionales del área industrial, con especial foco en el control y reportería de los procesos críticos de la temporada de vendimia.
Coordinar y ejecutar el proceso de pago a proveedores, asegurando el cumplimiento de las políticas internas de la compañía, los flujos de aprobación y las fechas de pago acordadas.
Elaborar informes de gestión financiera y preparar presentaciones ejecutivas para la Gerencia, traduciendo datos en información clara para la toma de decisiones.
Requisitos:
Título de Ingeniería Civil o Ingeniería Comercial.
0 a 6 meses de experiencia.
Manejo de Microsoft Office.
Excel nivel intermedio-avanzado.
Disponibilidad para trabajar 100% presencial en Las Condes.
Nuestro SER CCU nos inspira a trabajar con aceptación y respeto a las diferencias de las personas, promoviendo un entorno diverso e integrador, para así contribuir a un mejor vivir. Por esto, te agradecemos que nos compartas si necesitas adaptación en alguna etapa del proceso de postulación.
¡Te invitamos a SER CCU!","Título de Ingeniería Civil o Ingeniería Comercial.
0 a 6 meses de experiencia.
Manejo de Microsoft Office.
Excel nivel intermedio-avanzado.
Disponibilidad para trabajar 100% presencial en Las Condes."
