title,location,city,state,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,country,url,description_short,description
"Operador de despachos Full Time, Jumbo Linares","Talca, REGIÓN DEL MAULE, CL",Talca,REGIÓN DEL MAULE,2026-07-22,14611,cencosud,2026-07-22,2026-07-22,0.2777,CL,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14611?c=cencosud,,"¡Únete a Jumbo como Operador/a de Despacho Full Time! En Jumbo estamos en búsqueda de un/a Operador/a de Despacho Full Time, quien será responsable de asegurar que los productos sean despachados correctamente, garantizando la calidad, cantidad y confiabilidad de cada envío hacia nuestras salas de venta. Principales funciones: Verificar que la cantidad, calidad y tipo de productos correspondan a lo indicado en la guía de despacho antes de su salida. Controlar la carga de los diferentes camiones, asegurando que los productos sean despachados de acuerdo con la guía y velando por la confiabilidad de la información del proceso. Revisar las condiciones generales de los vehículos de transporte, informando cualquier anomalía a la jefatura directa. Asegurar que las unidades logísticas sean despachadas en óptimas condiciones hacia las distintas salas de venta de la cadena de supermercados. Mantener una comunicación constante con la jefatura, informando oportunidades de mejora que contribuyan a optimizar el proceso de auditoría y despacho. Si buscas desarrollarte en una empresa líder y formar parte de un equipo comprometido con la excelencia operacional, ¡postula y súmate a Jumbo!"
"Encargado Aseguramiento Calidad Full Time, Jumbo Linares","Talca, REGIÓN DEL MAULE, CL",Talca,REGIÓN DEL MAULE,2026-07-22,14609,cencosud,2026-07-22,2026-07-22,0.4282,CL,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14609?c=cencosud,,"¿Te apasiona garantizar que los productos que llegan a nuestros clientes sean de la más alta calidad? ¿Te gusta liderar mejoras continuas y trabajar con equipos multidisciplinarios? 🔍 ¡Esta es tu oportunidad para marcar la diferencia en uno de los retailers más grandes de la región! ¿Qué harás en este rol? Supervisar la calidad: Revisarás informes de control y pruebas de laboratorio para asegurar que nuestros productos cumplan con todas las especificaciones y normativas necesarias. Mejora continua: Liderarás la mejora del sistema de gestión de calidad, asegurando que todo el proceso, desde la documentación hasta la implementación de normas, esté optimizado y actualizado. Coordinación con laboratorios y organismos regulatorios: Serás el enlace clave con laboratorios y entes reguladores para garantizar que nuestros productos cumplan con las normativas locales e internacionales. Análisis y toma de decisiones: Analizarás resultados de pruebas y gestionarás reclamos de calidad para identificar oportunidades de mejora en los productos y procesos. Auditoría y seguimiento: Coordinarás auditorías de calidad en fábricas y puntos de venta para asegurar que se cumplan los más altos estándares. ¿Por qué unirte a Cencosud? En Cencosud, somos líderes en el retail de América Latina y estamos comprometidos con ofrecer productos de la más alta calidad. Trabajarás en un entorno dinámico, colaborando con equipos en toda la región y siendo parte de iniciativas clave que mejoran la experiencia de nuestros clientes."
"Encargado de Inventarios Full Time, Jumbo Linares","Talca, REGIÓN DEL MAULE, CL",Talca,REGIÓN DEL MAULE,2026-07-22,14607,cencosud,2026-07-22,2026-07-22,0.3117,CL,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14607?c=cencosud,,"¡Jumbo Linares busca a su próximo/a Encargado/a de Inventarios! En Jumbo estamos en búsqueda de un/a Encargado/a de Inventarios para nuestro local de Linares, quien será responsable de asegurar la correcta gestión y control de los inventarios, contribuyendo a la continuidad operacional y a una experiencia de compra de excelencia para nuestros clientes. Principales funciones: Analizar y gestionar problemas de Stock Out (stock negativo) en el sistema Orión, identificando su causa de origen. Elaborar informes diarios con el detalle de las incidencias detectadas y reportarlas al Departamento de Inventarios Central. Coordinar inventarios físicos selectivos junto a los Jefes de Sección. Apoyar la gestión del Departamento de Inventarios Central en terreno. Participar en la preparación, ejecución, control y análisis de los Inventarios Generales. Centralizar y realizar seguimiento a los problemas de inventario de las distintas secciones del local. Canalizar las planillas de conteo hacia los Jefes de Sección. Verificar en terreno atributos, códigos y cantidades físicas de los productos, apoyando la gestión comercial y la calidad de la información. ¿Qué buscamos? Personas organizadas, analíticas y orientadas al detalle. Capacidad para trabajar de manera colaborativa con distintas áreas. Habilidad para resolver problemas y proponer mejoras en los procesos. Manejo de herramientas computacionales y deseable experiencia en control de inventarios o logística. Si te motiva trabajar en una empresa líder, aportar a la excelencia operacional y desarrollarte profesionalmente, ¡te estamos esperando! ¡Postula y sé parte del equipo Jumbo Linares!"
Reponedor Full Time NonFood - Jumbo Linares,"Talca, REGIÓN DEL MAULE, CL",Talca,REGIÓN DEL MAULE,2026-07-22,14605,cencosud,2026-07-22,2026-07-22,0.2948,CL,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14605?c=cencosud,,"¡Únete a Jumbo Linares!🐘💚 ¿Quieres ser parte de un gran equipo y trabajar en un ambiente dinámico? En Jumbo Linares estamos en búsqueda de un Reponedor Full Time - NonFood responsable y motivado. ¿Qué harás? - Reposición constante de productos en sala de ventas. - Revisar las condiciones de la mercadería al momento de su ingreso a la sección. - Traslado y distribución de productos desde bodega a sala. - Mantener el orden y correcta exhibición de los productos. - Realizar cambio y verificación de flejes y precios. - Velar por la limpieza y cuidado de los productos y del espacio de trabajo. - Apoyar en el control de stock y reposición oportuna. Requisitos del cargo - Formación: Enseñanza Media completa - Experiencia: No se requiere experiencia previa. Habilidades: - Rapidez y agilidad para ejecutar tareas operativas. - Alto nivel de orden y atención al detalle. - Responsabilidad y compromiso con sus funciones. - Capacidad de trabajo en equipo. ¡Súmate a nuestro equipo y crece con nosotros! 🌈Promovemos un ambiente de trabajo respetuoso, inclusivo y libre de discriminación. Estamos convencidos de que la diversidad en nuestros equipos impulsa la creatividad y la innovación, elementos esenciales para cumplir nuestro propósito: servir de forma extraordinaria en cada momento 🌈 Si necesitas algún ajuste razonable o requisito de accesibilidad para participar en el proceso, por favor indícalo en tu postulación. Queremos que cada persona viva una experiencia transparente, cómoda y accesible. Esta oferta laboral se rige por la Ley N.º 21.015 , que incentiva la inclusión de personas con discapacidad en el mundo laboral. ¡Te esperamos para ser parte del equipo Jumbo Linares!"
Reponedor Part Time NonFood - Jumbo Linares,"Talca, REGIÓN DEL MAULE, CL",Talca,REGIÓN DEL MAULE,2026-07-22,14604,cencosud,2026-07-22,2026-07-22,0.3008,CL,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14604?c=cencosud,,"¡Únete a Jumbo Linares!🐘💚 ¿Quieres ser parte de un gran equipo y trabajar en un ambiente dinámico? En Jumbo Linares estamos en búsqueda de un Reponedor Part Time - NonFood responsable y motivado. ¿Qué harás? - Reposición constante de productos en sala de ventas. - Revisar las condiciones de la mercadería al momento de su ingreso a la sección. - Traslado y distribución de productos desde bodega a sala. - Mantener el orden y correcta exhibición de los productos. - Realizar cambio y verificación de flejes y precios. - Velar por la limpieza y cuidado de los productos y del espacio de trabajo. - Apoyar en el control de stock y reposición oportuna. Requisitos del cargo - Formación: Enseñanza Media completa - Experiencia: No se requiere experiencia previa. Habilidades: - Rapidez y agilidad para ejecutar tareas operativas. - Alto nivel de orden y atención al detalle. - Responsabilidad y compromiso con sus funciones. - Capacidad de trabajo en equipo. ¡Súmate a nuestro equipo y crece con nosotros! 🌈Promovemos un ambiente de trabajo respetuoso, inclusivo y libre de discriminación. Estamos convencidos de que la diversidad en nuestros equipos impulsa la creatividad y la innovación, elementos esenciales para cumplir nuestro propósito: servir de forma extraordinaria en cada momento 🌈 Si necesitas algún ajuste razonable o requisito de accesibilidad para participar en el proceso, por favor indícalo en tu postulación. Queremos que cada persona viva una experiencia transparente, cómoda y accesible. Esta oferta laboral se rige por la Ley N.º 21.015 , que incentiva la inclusión de personas con discapacidad en el mundo laboral. ¡Te esperamos para ser parte del equipo Jumbo Linares!"
Auxiliar de Cocina - Part Time (Turno Noche) - Rincón Jumbo Costanera,"Santiago, REGIÓN METROPOLITANA, CL",Santiago,REGIÓN METROPOLITANA,2026-07-22,14601,cencosud,2026-07-22,2026-07-22,0.1927,CL,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14601?c=cencosud,,"🌙 Auxiliar de Cocina Turno Noche Part Time | Rincón Jumbo Costanera ¿Te apasiona la cocina y buscas una oportunidad para trabajar en horario nocturno? En Rincón Jumbo Costanera estamos en busca de un/a Auxiliar de Cocina Turno Noche Part Time , comprometido/a, responsable y con ganas de ser parte de un equipo que se destaca por su calidad y buena energía. 🍽️ Tu misión será: - Apoyar en la preparación, montaje y despacho de alimentos, asegurando cumplimiento de los estándares de calidad e inocuidad. - Colaborar en la limpieza y orden del área de cocina durante y al finalizar el turno. - Asistir a los maestros y ayudantes de cocina en las diferentes etapas de producción. - Resguardar el correcto uso de los implementos y equipos de cocina. - Garantizar un flujo eficiente de trabajo en un entorno seguro y colaborativo. ✅ Requisitos excluyentes: - Experiencia previa como Auxiliar de Cocina. - Enseñanza Media Completa. - Ser mayor de 18 años. - Disponibilidad para trabajar en turno noche, en modalidad Part Time y presencial. 🎁 Te ofrecemos: - Alimentación en el local. - Uniforme completo. - Contrato inicial por 60 días, con renovación y posibilidad de pasar a indefinido. - Oportunidades de desarrollo y crecimiento dentro de la compañía. 🌈 Promovemos un ambiente de trabajo respetuoso, inclusivo y libre de discriminación. Estamos convencidos de que la diversidad en nuestros equipos impulsa la creatividad y la innovación, elementos esenciales para cumplir nuestro propósito: servir de forma extraordinaria en cada momento. 🌈 Si necesitas algún ajuste razonable o requisito de accesibilidad para participar en el proceso, por favor indícalo en tu postulación. Queremos que cada persona viva una experiencia transparente, cómoda y accesible. Esta oferta laboral se rige por la Ley N.º 21.015, que incentiva la inclusión de personas con discapacidad en el mundo laboral. 🌙 ¡Súmate a Rincón Jumbo y vive la experiencia de trabajar en un ambiente dinámico, colaborativo y lleno de sabor, incluso de noche!"
Auxiliar de cocina - Part Time - Rincón Jumbo Costanera,"Santiago, REGIÓN METROPOLITANA, CL",Santiago,REGIÓN METROPOLITANA,2026-07-22,14600,cencosud,2026-07-22,2026-07-22,0.3104,CL,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14600?c=cencosud,,"Auxiliar de Cocina Part Time | Rincón Jumbo Costanera ¿Quieres ser parte de un equipo que trabaja con compromiso y calidad día a día? En Rincón Jumbo buscamos un/a Auxiliar de Cocina Part Time para nuestro local en Costanera, quien apoyará en la preparación de alimentos y en el cumplimiento de los estándares de la compañía. ¿Cuál será tu misión? -Apoyar la labor de ayudantes, aspirantes y maestros de cocina. -Atender eventos especiales según lo determine la gerencia. -Cumplir con las operaciones de aseguramiento de calidad para garantizar un producto inocuo. -Preparar los productos solicitados de acuerdo con el menú semanal. -Velar por el buen funcionamiento y la productividad del local, asegurando el cumplimiento de los estándares establecidos. Requisitos excluyentes: - Enseñanza Media Completa (para todos los cargos que no sean jefaturas o encargados) - Contar con 18 años o más. - Disponibilidad para trabajo presencial - Disponibilidad para jornada Part Time y turnos rotativos - Contrato inicial por 60 días, con renovación por otros 60 días, con posibilidad de pasar a plazo indefinido. ¿Qué ofrecemos? - Alimentación en el Local - Uniforme - Oportunidad de desarrollo de carrera - Bus de acercamiento en turno de tarde (salida del turno). Llegan a Plaza Maipú y Pudahuel Promovemos un ambiente de trabajo respetuoso, inclusivo y libre de discriminación. Estamos convencidos de que la diversidad en nuestros equipos impulsa la creatividad y la innovación, elementos esenciales para cumplir nuestro propósito: servir de forma extraordinaria en cada momento. Si necesitas algún ajuste razonable o requisito de accesibilidad para participar en el proceso, por favor indícalo en tu postulación. Queremos que cada persona viva una experiencia transparente, cómoda y accesible. Esta oferta laboral se rige por la Ley N.º 21.015, que incentiva la inclusión de personas con discapacidad en el mundo laboral. ¡Únete a nuestro equipo y crece con nosotros!"
"Operador de despachos Part Time, Jumbo Linares","Talca, REGIÓN DEL MAULE, CL",Talca,REGIÓN DEL MAULE,2026-07-22,14610,cencosud,2026-07-22,2026-07-22,0.2829,CL,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14610?c=cencosud,,"¡Únete a Jumbo como Operador/a de Despacho Part Time! En Jumbo estamos en búsqueda de un/a Operador/a de Despacho Part Time, quien será responsable de asegurar que los productos sean despachados correctamente, garantizando la calidad, cantidad y confiabilidad de cada envío hacia nuestras salas de venta. Principales funciones: Verificar que la cantidad, calidad y tipo de productos correspondan a lo indicado en la guía de despacho antes de su salida. Controlar la carga de los diferentes camiones, asegurando que los productos sean despachados de acuerdo con la guía y velando por la confiabilidad de la información del proceso. Revisar las condiciones generales de los vehículos de transporte, informando cualquier anomalía a la jefatura directa. Asegurar que las unidades logísticas sean despachadas en óptimas condiciones hacia las distintas salas de venta de la cadena de supermercados. Mantener una comunicación constante con la jefatura, informando oportunidades de mejora que contribuyan a optimizar el proceso de auditoría y despacho. Si buscas desarrollarte en una empresa líder y formar parte de un equipo comprometido con la excelencia operacional, ¡postula y súmate a Jumbo!"
Panadero Full Time - Jumbo Linares,"Linares, MAULE, CL",Linares,MAULE,2026-07-21,14570,cencosud,2026-07-21,2026-07-22,0.2369,CL,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14570?c=cencosud,,"Panadero Full Time | Jumbo Linares ¿Te apasiona el aroma del pan recién horneado y quieres ser parte de un equipo que hace la diferencia cada día? En Jumbo estamos buscando un/a Panadero – Hornero Full Time, quien será clave para asegurar que nuestros clientes encuentren siempre productos frescos, de calidad y recién salidos del horno. 🥖 ¿Cuál será tu misión? Mantener y controlar el abastecimiento de pan en la sala de ventas, asegurando una producción constante, fresca y de calidad durante toda la jornada. 🔥 ¿Qué harás en tu día a día? Poner, cocer y retirar el pan de los hornos. Vaciar y manejar adecuadamente el pan recién horneado. Organizar el pan en canastos y carros de traslado. Llevar los productos al punto de venta de forma oportuna. Mantener el orden y la limpieza de tu lugar de trabajo. Cumplir con las normas de seguridad, priorizando la prevención de accidentes. ✅ Requisitos Enseñanza Media Completa. Al menos 1 año de experiencia como panadero u hornero. Disponibilidad para trabajo presencial y turnos rotativos. 💡 ¿Qué buscamos en ti? Energía y proactividad para un trabajo dinámico. Buenas relaciones interpersonales y trabajo en equipo. Compromiso con la seguridad y el orden en el trabajo. Responsabilidad y enfoque en la calidad del producto. 🎁 ¿Qué te ofrecemos? Estabilidad laboral y oportunidades de crecimiento. Alimentación en el local. Uniforme. Ser parte de un equipo comprometido con la excelencia. Aprendizaje constante en un entorno dinámico. En Jumbo, promovemos un ambiente laboral inclusivo, respetuoso y diverso, donde cada persona aporta con su talento y esencia. Creemos que el trabajo en equipo y la pasión por lo que hacemos son la clave para entregar una experiencia excepcional a nuestros clientes. Si necesitas algún ajuste razonable para participar en el proceso, no dudes en indicarlo en tu postulación. Esta oferta se rige por la Ley N.º 21.015, que fomenta la inclusión laboral de personas con discapacidad. ✨ Súmate a Jumbo y sé parte de la magia de crear momentos únicos!"
Jefe de Sección- Jumbo,"Talca, REGIÓN DEL MAULE, CL",Talca,REGIÓN DEL MAULE,2026-07-21,14569,cencosud,2026-07-21,2026-07-22,0.3165,CL,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14569?c=cencosud,,"¡Únete a Jumbo Linares!🐘💚 ¿Quieres ser parte de un gran equipo y trabajar en un ambiente dinámico? En Jumbo Linares estamos en búsqueda de un Jefe de Sección formato Full Time, responsable y motivado. ¿Qué harás? - Controlar los alimentos y productos a la venta, trabajando conjuntamente con el departamento de aseguramiento de calidad. - Brindar la debida atención a las quejas, consultas y sugerencias de clientes. - Organizar los turnos de su personal. - Realizar las compras a los proveedores con el objeto de abastecer de productos a su sección. - Revisar la presentación personal de la gente y también las mercaderías a la venta. - Controlar la toma de existencia de los productos de su sección y administrar las medidas necesarias para minimizar las mermas. - Atender vendedores de empresas proveedoras. - Orientar y ayudar a solucionar los problemas de su personal. - Capacitar a su gente en prevención de Riesgos. - Responder por resultados de sus ventas al Administrador del área. - Materializar las campañas de Marketing en que participe su sección. - Supervisar la estiba de los productos cámara, rotación de estos. - Supervisar el trabajo de los reponedores externos asignados. Requisitos del cargo -Formación: Enseñanza Media completa -Experiencia: Al menos 1 año en restaurantes o atención a clientes, con manejo de personal. Habilidades: -Proactividad y flexibilidad para enfrentar cambios. -Capacidad analítica y resolución de problemas. -Manejo de situaciones conflictivas. -Liderazgo y capacidad para delegar. ¡Súmate a nuestro equipo y crece con nosotros! 🌈Promovemos un ambiente de trabajo respetuoso, inclusivo y libre de discriminación. Estamos convencidos de que la diversidad en nuestros equipos impulsa la creatividad y la innovación, elementos esenciales para cumplir nuestro propósito: servir de forma extraordinaria en cada momento 🌈 Si necesitas algún ajuste razonable o requisito de accesibilidad para participar en el proceso, por favor indícalo en tu postulación. Queremos que cada persona viva una experiencia transparente, cómoda y accesible. Esta oferta laboral se rige por la Ley N.º 21.015, que incentiva la inclusión de personas con discapacidad en el mundo laboral."
