title,team,location,city,state,posted_date,job_id,requisition_id,source,first_seen_date,last_seen_date,semantic_similarity,job_category,job_family,worker_type,schedule_type,company_name,education,country,url,description_short,description,company_code,requisition_company,requisition_company_code,job_function,job_location_type,search_type,tags,handicap_allowed,requirements,benefits,process
Asesor/a de Cliente Especialista Full Time Lunes a Viernes 42 hrs semanales/ Americanino Juvenil Damas/ Falabella Plaza Tobalaba,Venta y Post Venta -  Personas (B2C),"Puente Alto, Metropolitana, Chile",Puente Alto,Metropolitana,2026-09-05,619501,4502033,falabella,2026-09-06,2026-09-06,0.3996,Venta y Post Venta -  Personas (B2C),Técnico/Vendedor (FCARG037) - Junior,Temporal (Plazo Fijo),Full Time,Falabella Retail,,Chile,https://falabella.airavirtual.com/postula/xytBgUbaEJFtBpxB4W8q?logged_action=apply&register=true,,"¡Hoy nuestra Tienda de Tobalaba está incompleta y buscamos a nuestro próximo/a Asesor/a de Clientes! Especialista
Así que si estás en búsqueda de nuevas oportunidades laborales, sigue leyendo, porque esto podría ser para ti.
¿Te sumas al desafío?
Tus funciones serán:
· Otorgar una experiencia de compra memorable dentro de la tienda en todo momento al cliente.
· Saludar y orientar a los clientes, dándoles la bienvenida y aclarando sus dudas para otorgarles una experiencia excepcional dentro de la tienda.
· Ayudar a los clientes a encontrar productos cuando sea solicitado.
· Ordenar y reponer constantemente los productos que lleguen al piso de venta.
· Vender intangibles (Garantías extendidas, Planes, etc.).
· Informar a jefatura sobre productos con mayor nivel de rotación, con el fin de evitar quiebres de stock.
· Empujar la venta del área asignada, promoviendo iniciativas y estrategias que apunten a aumentar la misma.
¿Qué te parece hasta ahora?
Postular es simple, solo debes:
· Tener certificado de Enseñanza Media Completa
· Experiencia previa en Atención a Público
· En caso de ser extranjero debes contar con Residencia Definitiva, Temporaria Vigente o Temporaria con Certificado de Respaldo de Tramitación de Visa Definitiva.
· Deseable experiencia previa en manejo de caja y ventas
· ¡Suma puntos a tu postulación si tienes experiencia en Retail y en cargos similares! (Cajero/a, Asesor de Compras, Vendedor/a etc.)
· Te consideras una persona muy orientada al cliente, capaz de entregarle un buen servicio y experiencia de compra.
¿No logramos convencerte? ¡No te preocupes! Te mostramos algunos de nuestros muchos beneficios (al pasar a contrato indefinido*):
· Seguro Complementario de Salud
· Descuento en compras con Tarjeta CMR Institucional
· Convenio con gimnasios y centros de entretenimiento
· Descuento en clínicas dentales, oftalmológicas, entre otros.
· Descuentos en centros educacionales
· ¡Oportunidades de crecimiento dentro de la empresa!
¿Qué esperas? Postula aquí y tendrás la oportunidad de ser él o la protagonista de grandes transformaciones.
Se parte del cambio ¡Te esperamos!
Esta oferta laboral se rige bajo la Ley N° 21.015, que incentiva la inclusión de personas con discapacidad al mundo laboral. En caso de que necesites algún ajuste razonable, por favor no dejes de aclararlo en tu postulación.",falabella_retail_chile,Falabella Retail Chile,falabella_retail_chile,Otros (FUN_13 ),tiendas,Mixta,,1,"-Experiencia en Retail
-Enseñanza Media Completa
-Mayor de 18 años
-Experiencia en Atención al Cliente",,"El proceso de selección se realiza a través de AIRA plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.
 Para postular solo necesitas:
 1. Postular a la oferta
 2. Revisar tu email
 3. Ingresar a AIRA y contestar las preguntas y/o pruebas solicitadas
Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por correo (a través de AIRA) para coordinar una entrevista con nuestro equipo de Atracción de Talento."
"SUPERVISOR/A DE CAJAS, FT, HC SAN BERNARDO",Venta y Post Venta -  Personas (B2C),"San Bernardo, Metropolitana, Chile",San Bernardo,Metropolitana,2026-09-05,619172,4501827,falabella,2026-09-06,2026-09-06,0.3466,Venta y Post Venta -  Personas (B2C),Administrativo (FCARG038) - Apoyo Administrativo (SCARG027),Permanente (Indefinido),Full Time,Sodimac,,Chile,https://falabella.airavirtual.com/postula/PMaMzwHy5LAHzWTzNuPH?logged_action=apply&register=true,,"SUPERVISOR DE CAJAS 
TIENDA / JORNADA
En Sodimac estamos en búsqueda de un/a nuevo/a integrante para nuestra Casa. Buscamos a alguien motivado, comprometido y con mucha energía para sumarse al equipo de nuestra tienda [TIENDA], asesorando a nuestros clientes en sus compras y proyectos.
Misión:
Supervisar y controlar el correcto funcionamiento del área de cajas y tesorería, acorde a los procedimientos y estándares de calidad establecidos por la compañía, con el objetivo de velar por eficiencia del flujo en caja y tesorerías, garantizar una atención de calidad de cara a nuestros clientes, minimizar los riesgos de pérdida, asegurar el correcto uso y cumplimiento de documentos, resguardando los valores de la compañía y Tienda.
¿Cuáles serán tus principales funciones? 
•Supervisar y controlar el área de cajas y tesorería en su totalidad, revisando de forma constante el funcionamiento de los equipos, sistemas que las componen, documentos, materiales que se utilizan y la infraestructura de estas áreas.
•Adminis",sodimac_chile,Sodimac Chile,sodimac_chile,Logística (FUN_09 ),SODIMAC,Interna,,1,"-Tec. Nivel superior - Titulado
-Deseable Estudios en Administración, Contabilidad u otros afines
-Curso de Cajas y de Supervisores aprobado","Podrás encontrarte con algunos de estos beneficios una vez que estés con contrato indefinido 
Modalidad de Trabajo: 
-Hasta 5 Días libres (año calendario). 
- Día de cumpleaños libre. 
- Día de Navidad o Año Nuevo libre. 
- Permiso especial de hasta 3 meses sin goce de sueldo. 
 
Otros Beneficios: 
- Descuento en compras tiendas Sodimac. 
 -Descuento costo cero más IVA. 
- Becas de Estudio dentro y fuera de Chile. 
- Almuerzo (modalidad presencial). 
- Aguinaldo de Fiestas Patrias. 
- Aguinaldo de Navidad. 
- Bono de Vacaciones. 
- Bono de Matrimonio o Acuerdo de Unión Civil. 
- Bono de Natalidad o Adopción. 
- Caja de Navidad. 
- Bono Excelencia Académica para trabajadores y sus hijos. 
- Bono Escolar (para colaborador y cargas legales). 
- Seguro Complementario de Salud, Dental y Catastrófico (costo compartido con Empresa). 
- Seguro de Vida (costo compartido con Empresa). 
- Aporte y permiso por fallecimiento.","El proceso de selección se realiza a través de AIRA - plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación. 
 
 Para postular solo necesitas: 
 1. Postular a la oferta 
 2. Revisar tu mail 
 3. Ingresar a AIRA y contestar las preguntas y/o pruebas solicitadas 
 
 Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por mail (a través de AIRA) para seguir a la etapa presencial."
Administrador/a de Contrato,Legal,"Antofagasta, Antofagasta, Chile",Antofagasta,Antofagasta,2026-09-05,617510,4501753,falabella,2026-09-06,2026-09-06,0.3542,Legal,Especialista/Profesional - Tradicional (FCARG035) - Senior (SCARG013),Permanente (Indefinido),Full Time,Mallplaza,Derecho Laboral,Chile,https://falabella.airavirtual.com/postula/Md4iuFcavBHAR9LM1brB?logged_action=apply&register=true,,"En Mallplaza, no esperamos el futuro, salimos a construirlo. Formamos parte del Grupo Falabella y somos los líderes en transformar centros urbanos en motores de experiencias únicas en la región.
Con 35 años de trayectoria, hoy evolucionamos con agilidad, soñamos en grande e invitamos a las personas a salir a vivir momentos únicos para construir nuevas historias. Buscamos talentos con ADN ganador: profesionales que se atrevan a desafiar lo conocido y a proponer soluciones que impacten la vida de millones. Si estás listo para dejar tu huella y vivir nuestra causa de ""Salir es Vivir"", esta posición es para ti.
¡Nos encontramos en búsqueda de un/a Administrador/a de Contratos para la Gerencia de Operaciones!
¿Cuál es su misión?
Administrar integralmente el contrato de concesión con Puerto Antofagasta, asegurando el cumplimiento normativo y contractual, resguardando la continuidad operativa del centro comercial y fortaleciendo la relación con autoridades y organismos reguladores.
Responsabilidades:
- Administrar contratos y concesiones, asegurando el cumplimiento de obligaciones, hitos y normativas.
- Gestionar la relación con organismos públicos, autoridades fiscalizadoras y entidades concesionarias.
- Elaborar y controlar reportes e informes de cumplimiento contractual, legal y operativo.
- Identificar riesgos, gestionar contingencias y apoyar la toma de decisiones a través de información ejecutiva.
- Redactar, revisar y negociar contratos, convenios y adendas con actores internos y externos.
- Brindar soporte contractual y legal a las distintas áreas del negocio.",mall_plaza_chile,Mallplaza Chile,mall_plaza_chile,Legal (FUN_08),Sucursal,Externa,,1,"-Título de Abogado(a)
-Mínimo 3 años de experiencia comprobable administrando contratos complejos y concesiones.
-Experiencia liderando relaciones con organismos públicos y autoridades fiscalizadoras
-Experiencia liderando relaciones con organismos públicos y autoridades fiscalizadoras",,"El proceso de selección se realiza a través de Aira - plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.
 Para postular solo necesitas:
 1. Postular a la oferta
 2. Revisar tu email
 3. Ingresar a Aira y contestar las preguntas y/o pruebas solicitadas
 Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por email (a través de Aira) para seguir a la etapa presencial."
"Ejecutivo Venta Empresa, FT, Sodimac Chicureo",Venta y Post Venta - Empresas (B2B),"Colina, Metropolitana, Chile",Colina,Metropolitana,2026-09-05,612286,4501782,falabella,2026-07-23,2026-09-06,0.3437,Venta y Post Venta - Empresas (B2B),,Temporal (Plazo Fijo),Full Time,Sodimac,,Chile,https://falabella.airavirtual.com/postula/Uim9g6eExkAaSGNoq5VG?logged_action=apply&register=true,,"Vender y promocionar todos los productos y servicios comercializados por la compañía, además de identificar, registrar y desarrollar las oportunidades de negocio que detecte en el grupo de clientes asignados en su cartera; con el fin de contribuir al cumplimiento de planes de venta definidas, de acuerdo a la política comercial y de precios de la empresa.",sodimac_chile,Sodimac Chile,sodimac_chile,Ventas (FUN_19 ),Tienda,Mixta,,0,"-Requisito excluyente :contar con licencia clase B vigente y movilización propia
-Conocimiento del mercado de la Construcción y de la zona
-Experiencia en Ventas al por mayor y/o venta empresa","- Seguro de vida
- Día de cumpleaños
- Capacitaciones y cursos
- Subsidio escolar para hijos
- Servicio de comedor","El proceso de selección se realiza a través de Aira - plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.
 Para postular solo necesitas:
 1. Postular a la oferta
 2. Revisar tu email
 3. Ingresar a Aira y contestar las preguntas y/o pruebas solicitadas
 Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por email (a través de Aira) para seguir a la etapa presencial."
"Analista de Existencias, PT25 Hrs, Sodimac Chicureo",Administración y Secretarías,"Colina, Metropolitana, Chile",Colina,Metropolitana,2026-09-05,619584,4501801,falabella,2026-09-06,2026-09-06,0.3956,Administración y Secretarías,,Permanente (Indefinido),Part Time,Sodimac,Contabilidad<br>Contabilidad y Auditoría<br>Administración<br>Administración Aduanal<br>Aeronáutica<br>Aviación / Piloto<br>Aviación / Tripulante de Cabina / Azafata(o)<br>Chofer<br>Logística<br>Marina Mercante<br>Naval<br>Transporte<br>Transporte Marítimo,Chile,https://falabella.airavirtual.com/postula/5dDI6IRRDuPtPRm98Z4q?logged_action=apply&register=true,,"En Sodimac buscamos a nuestro/a próximo/a Analista de Existencias Part Time 25 horas para sumarse a la Tienda de Chicureo. 
¿Cuál es el principal objetivo del cargo? 
Controlar la consistencia y coherencia de las operaciones que afectan al cardex para asegurar la calidad del inventario de la Tienda.
¿Qué harás en el día a día? 
-Realizar diariamente inventarios programados de productos y equipos de arriendo.
-Controlar los procesos operacionales que implican movimientos de existencias.
-Ejecutar y analizar diariamente ajustes del Cardex
-Controlar la existencia y transporte de los activos asignados a la Tienda.
-Analizar y controlar la ocurrencia de movimientos sistémicos generados por los distintos canales de venta.
-Auditar en detalle la recepción de productos transportados desde los centros logísticos, proveedores, locales o transferencias entre tiendas cuando la situación lo amerita.
-Asignar placas a máquinas incorporadas a arriendo de equipos.
¿Qué necesitas para postular? 
-Enseñanza media comple",sodimac_chile,Sodimac Chile,sodimac_chile,Administración y Finanzas (FUN_01),Tienda,Mixta,,1,"-Tec. Nivel superior - Titulado
-Deseable conocimiento de manejo de inventario
-Manejo de Office, Word y Excel nivel medio","- Seguro de vida
- Día de cumpleaños
- Capacitaciones y cursos
- Subsidio escolar para hijos
- Actividades wellness
- Bebidas y snacks
- Servicio de comedor","El proceso de selección se realiza a través de AIRA - plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.
 Para postular solo necesitas:
 1. Postular a la oferta
 2. Revisar tu mail
 3. Ingresar a AIRA y contestar las preguntas y/o pruebas solicitadas
 Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por mail (a través de AIRA) para seguir a la etapa presencial."
"Planificador de Operaciones, FT, Sodimac Farfana 214","Logística, Compras y Abastecimiento","Lo Espejo, Metropolitana, Chile",Lo Espejo,Metropolitana,2026-09-05,619582,4501811,falabella,2026-09-06,2026-09-06,0.4136,"Logística, Compras y Abastecimiento",Administrativo (FCARG038) - Asistente Junior (SCARG026),Permanente (Indefinido),Full Time,Sodimac,,Chile,https://falabella.airavirtual.com/postula/WB0UmfI1cqjPtVIn9pDJ?logged_action=apply&register=true,,"Cálculo de la necesidad de producción para los distintos flujos y canales de venta en los Centro de Distribución.
Liderar y consensuar estrategia de ejecución de los planes operacionales y tácticos para los distintos flujos.
Ejecutar las cargas laborales diarias para los distintos flujos en el Centro de Distribución Onmicanal.
Diseñar, implementar y analizar indicadores de gestión operacionales, confeccionando reportería adecuada.
Confección de procedimientos de mejora continua en los flujos operacionales actuales.
Control del takt time.",sodimac_chile,Sodimac Chile,sodimac_chile,Logística (FUN_09 ),Centro Distribución Lo Espejo,Mixta,,0,"-Ingeniero/ técnico Logísticos o carreras afines
-Áreas de planificación de operaciones","- Seguro de vida
- Día de cumpleaños
- Capacitaciones y cursos
- Subsidio escolar para hijos
- Actividades wellness
- Bebidas y snacks
- Servicio de comedor","El proceso de selección se realiza a través de Aira - plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.
 Para postular solo necesitas:
 1. Postular a la oferta
 2. Revisar tu email
 3. Ingresar a Aira y contestar las preguntas y/o pruebas solicitadas
 Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por email (a través de Aira) para seguir a la etapa presencial."
Asesor/a de Clientes SAE/ Media Jornada Tarde 5x2 30 hrs semanales/ Falabella Ovalle,Venta y Post Venta -  Personas (B2C),"Ovalle, Coquimbo, Chile",Ovalle,Coquimbo,2026-09-05,619499,4502025,falabella,2026-09-06,2026-09-06,0.306,Venta y Post Venta -  Personas (B2C),,Temporal (Plazo Fijo),Full Time,Falabella Retail,,Chile,https://falabella.airavirtual.com/postula/pOOtu1V6KJzGO0pPVP9y?logged_action=apply&register=true,,"¡Hoy nuestra Tienda de Falabella Ovalle está incompleta y buscamos a nuestro próximo/a Asesor/a de Clientes! 
Así que si estás en búsqueda de nuevas oportunidades laborales, sigue leyendo, porque esto podría ser para ti.
¿Te sumas al desafío?
Tus funciones serán:
· Otorgar una experiencia de compra memorable dentro de la tienda en todo momento al cliente.
· Saludar y orientar a los clientes, dándoles la bienvenida y aclarando sus dudas para otorgarles una experiencia excepcional dentro de la tienda.
· Ayudar a los clientes a encontrar productos cuando sea solicitado.
· Ordenar y reponer constantemente los productos que lleguen al piso de venta.
· Vender intangibles (Garantías extendidas, Planes, etc.).
· Informar a jefatura sobre productos con mayor nivel de rotación, con el fin de evitar quiebres de stock.
· Empujar la venta del área asignada, promoviendo iniciativas y estrategias que apunten a aumentar la misma.
¿Qué te parece hasta ahora?
Postular es simple, solo debes:
· Tener certificado de Enseñanza Media Completa
· Experiencia previa en Atención a Público
· En caso de ser extranjero debes contar con Residencia Definitiva, Temporaria Vigente o Temporaria con Certificado de Respaldo de Tramitación de Visa Definitiva.
· Deseable experiencia previa en manejo de caja y ventas
· ¡Suma puntos a tu postulación si tienes experiencia en Retail y en cargos similares! (Cajero/a, Asesor de Compras, Vendedor/a etc.)
· Te consideras una persona muy orientada al cliente, capaz de entregarle un buen servicio y experiencia de compra.
¿No logramos convencerte? ¡No te preocupes! Te mostramos algunos de nuestros muchos beneficios (al pasar a contrato indefinido*):
· Seguro Complementario de Salud
· Descuento en compras con Tarjeta CMR Institucional
· Convenio con gimnasios y centros de entretenimiento
· Descuento en clínicas dentales, oftalmológicas, entre otros.
· Descuentos en centros educacionales
· ¡Oportunidades de crecimiento dentro de la empresa!
¿Qué esperas? Postula aquí y tendrás la oportunidad de ser él o la protagonista de grandes transformaciones.
Se parte del cambio ¡Te esperamos!
Esta oferta laboral se rige bajo la Ley N° 21.015, que incentiva la inclusión de personas con discapacidad al mundo laboral. En caso de que necesites algún ajuste razonable, por favor no dejes de aclararlo en tu postulación.",falabella_retail_chile,Falabella Retail Chile,falabella_retail_chile,Operaciones (FUN_12 ),Tiendas,Externa,,1,"-Experiencia en Retail
-Enseñanza Media Completa
-Mayor de 18 años
-Experiencia en Atención al Cliente",,"El proceso de selección se realiza a través de AIRA plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.
 Para postular solo necesitas:
 1. Postular a la oferta
 2. Revisar tu email
 3. Ingresar a AIRA y contestar las preguntas y/o pruebas solicitadas
Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por correo (a través de AIRA) para coordinar una entrevista con nuestro equipo de Atracción de Talento."
Asesor/a de Clientes Media Jornada Tarde 5x2 rotativos 25 hrs semanales/ Falabella Pucón,Venta y Post Venta -  Personas (B2C),"Pucón, Araucanía, Chile",Pucón,Araucanía,2026-09-05,619495,4502017,falabella,2026-09-06,2026-09-06,0.3856,Venta y Post Venta -  Personas (B2C),Administrativo (FCARG038) - Apoyo Administrativo (SCARG027),Temporal (Plazo Fijo),Full Time,Falabella Retail,,Chile,https://falabella.airavirtual.com/postula/M52w7CnvYILIsHZHt5Nc?logged_action=apply&register=true,,"¡Hoy nuestra Tienda de Pucón está incompleta y buscamos a nuestro próximo/a Asesor/a de Clientes! para departamento de calzado.
Así que, si estás en búsqueda de nuevas oportunidades laborales, sigue leyendo, porque esto podría ser para ti.
¿Te sumas al desafío?
Tus funciones serán:
· Otorgar una experiencia de compra memorable dentro de la tienda en todo momento al cliente.
· Saludar y orientar a los clientes, dándoles la bienvenida y aclarando sus dudas para otorgarles una experiencia excepcional dentro de la tienda.
· Ayudar a los clientes a encontrar productos cuando sea solicitado.
· Ordenar y reponer constantemente los productos que lleguen al piso de venta.
· Vender intangibles (Garantías extendidas, Planes, etc.).
· Informar a jefatura sobre productos con mayor nivel de rotación, con el fin de evitar quiebres de stock.
· Empujar la venta del área asignada, promoviendo iniciativas y estrategias que apunten a aumentar la misma.
¿Qué te parece hasta ahora?
Postular es simple, solo debes:
· Tener certificado de Enseñanza Media Completa
· Experiencia previa en Atención a Público
· En caso de ser extranjero debes contar con Residencia Definitiva, Temporaria Vigente o Temporaria con Certificado de Respaldo de Tramitación de Visa Definitiva.
· Deseable experiencia previa en manejo de caja y ventas
· ¡Suma puntos a tu postulación si tienes experiencia en Retail y en cargos similares! (Cajero/a, Asesor de Compras, Vendedor/a etc.)
· Te consideras una persona muy orientada al cliente, capaz de entregarle un buen servicio y experiencia de compra.
¿No logramos convencerte? ¡No te preocupes! Te mostramos algunos de nuestros muchos beneficios (al pasar a contrato indefinido*):
· Seguro Complementario de Salud
· Descuento en compras con Tarjeta CMR Institucional
· Convenio con gimnasios y centros de entretenimiento
· Descuento en clínicas dentales, oftalmológicas, entre otros.
· Descuentos en centros educacionales
· ¡Oportunidades de crecimiento dentro de la empresa!
¿Qué esperas? Postula aquí y tendrás la oportunidad de ser él o la protagonista de grandes transformaciones.
Se parte del cambio ¡Te esperamos!
Esta oferta laboral se rige bajo la Ley N° 21.015, que incentiva la inclusión de personas con discapacidad al mundo laboral. En caso de que necesites algún ajuste razonable, por favor no dejes de aclararlo en tu postulación.",falabella_retail_chile,Falabella Retail Chile,falabella_retail_chile,Administración y Finanzas (FUN_01),Tienda,Externa,,1,"-Experiencia en Retail
-Enseñanza Media Completa
-Mayor de 18 años
-Experiencia en Atención al Cliente",,"El proceso de selección se realiza a través de AIRA plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.
 Para postular solo necesitas:
 1. Postular a la oferta
 2. Revisar tu email
 3. Ingresar a AIRA y contestar las preguntas y/o pruebas solicitadas
Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por correo (a través de AIRA) para coordinar una entrevista con nuestro equipo de Atracción de Talento."
Asesor/a de Ventas/ Part Time Sábados y Domingos 20 hrs semanales/ Americanino Puerto Montt,Venta y Post Venta -  Personas (B2C),"Puerto Montt, Los Lagos, Chile",Puerto Montt,Los Lagos,2026-09-05,619498,4501985,falabella,2026-09-06,2026-09-06,0.4094,Venta y Post Venta -  Personas (B2C),,Temporal (Plazo Fijo),Part Time,Falabella Retail,,Chile,https://falabella.airavirtual.com/postula/NWtpj1F7q26DAg2L5kFX?logged_action=apply&register=true,,"1. Brindar asesoría experta a cada cliente, destacando la especialidad en jenería y moda urbana.
 
2. Asegurar una excelente experiencia de compra, reflejando los valores y estilo Américanino.
 
3. Mantener el orden, reposición y presentación visual de productos según lineamientos de la marca.
 
4. Apoyar en procesos de venta, caja y atención postventa durante sus turnos asignados.
 
5. Contribuir al trabajo en equipo y clima laboral positivo dentro de la tienda.",falabella_retail_chile,Falabella Retail Chile,falabella_retail_chile,Ventas (FUN_19 ),Tienda,Mixta,,1,-Enseñanza Media Completa,,"El proceso de selección se realiza a través de Aira - plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.
 Para postular solo necesitas:
 1. Postular a la oferta
 2. Revisar tu email
 3. Ingresar a Aira y contestar las preguntas y/o pruebas solicitadas
 Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por email (a través de Aira) para seguir a la etapa presencial."
Auxiliar de Abastecimiento/ Jornada Full Time 42 hrs semanales Lunes a Viernes/ Falabella Puente,"Logística, Compras y Abastecimiento","Santiago, Metropolitana, Chile",Santiago,Metropolitana,2026-09-05,619497,4502001,falabella,2026-09-06,2026-09-06,0.3919,"Logística, Compras y Abastecimiento",,Temporal (Plazo Fijo),Full Time,Falabella Retail,,Chile,https://falabella.airavirtual.com/postula/OY8Hgf9l9k7wXoBkLtCE?logged_action=apply&register=true,,"Cuando nos preguntan por qué somos la empresa de retail líder en Chile y Latinoamérica la respuesta es simple, es porque nuestros equipos se componen de personas apasionadas con una misión clara: “Simplificar y disfrutar más la vida”
¡Hoy nuestra Tienda de Puente está incompleta y buscamos a nuestro próximo/a Auxiliar de Abastecimiento! 
Así que si estás en búsqueda de nuevas oportunidades laborales, sigue leyendo, porque esto podría ser para ti.
El objetivo principal de este cargo es realizar labores de descarga y procesamiento de la mercadería que llega a tienda, de acuerdo a los procedimientos establecidos y a las instrucciones de distribución interna.
¿Te sumas al desafío?
Tus funciones serán:
· Realizar apertura de rampas de bodega de abastecimiento de la tienda y descargar mercaderías destinadas a tienda, dentro de los horarios establecidos para ello.
· Hacer reconocimiento de la mercadería vía sensor, verificando la concordancia del número de lotes de productos que llega a la bodega de abastecimiento de la tienda, con el número de productos registrado en la guía de despacho.
· Efectuar el procesamiento de la mercadería, desprendiendo y eliminando embalajes mayores, para enviar finalmente los productos como unidades a tienda o bodegas de trastienda.
· Trasladar al piso de ventas todos los productos recibidos.
· Apoyar en la carga y descarga de las mercaderías destinadas al despacho a domicilio y servicio técnico.
¿Qué te parece hasta ahora?
Postular es simple, solo debes:
· Contar con Certificado de Educación Media Completa.
· Contar con experiencia en área de Abastecimiento y/o Bodega.
· Contar con residencia definitiva o temporaria, o con certificado que acredite tramitación de visa definitiva.
· Suma muchos puntos a tu postulación si tienes experiencia trabajando en Retail y/o Consumo Masivo.
¿No logramos convencerte? ¡No te preocupes! Te mostramos algunos de nuestros muchos beneficios (al pasar a contrato indefinido*):
· Seguro Complementario de Salud
· Descuento en compras con Tarjeta CMR Institucional
· Convenio con gimnasios y centros de entretenimiento
· Descuento en clínicas dentales, oftalmológicas, entre otros.
· Descuentos en centros educacionales
· ¡Oportunidades de crecimiento dentro de la empresa!
¿Qué esperas? Postula aquí y tendrás la oportunidad de ser él o la protagonista de grandes transformaciones.
Se parte del cambio ¡Te esperamos!
Esta oferta laboral se rige bajo la Ley N° 21.015, que incentiva la inclusión de personas con discapacidad al mundo laboral. En caso de que necesites algún ajuste razonable, por favor no dejes de aclararlo en tu postulación.",falabella_retail_chile,Falabella Retail Chile,falabella_retail_chile,Ventas (FUN_19 ),presencial,Mixta,,1,"-Ser mayor de 18 años
-Enseñanza Media Completa
-Experiencia en Abastecimiento, Bodega o Reposición",,"El proceso de selección se realiza a través de AIRA plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.
 Para postular solo necesitas:
 1. Postular a la oferta
 2. Revisar tu email
 3. Ingresar a AIRA y contestar las preguntas y/o pruebas solicitadas
Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por correo (a través de AIRA) para coordinar una entrevista con nuestro equipo de Atracción de Talento."
