title,team,location,city,state,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,worker_type,schedule_type,company_name,education,country,experience_level,application_deadline,url,description_short,description,vacancies,requirements
Coordinador(a) de Ventas y Marketing Digital Norseg,Otra Área,"Las Condes, Metropolitana de Santiago",Las Condes,Metropolitana de Santiago,2026-09-24,6129027,forus,2026-09-24,2026-09-26,0.3462,Comercial,Jornada Completa,Forus S.A.,Universitaria,Chile,2 años,2026-11-23,https://forus.trabajando.cl/trabajo-empleo/coordinador-a-de-ventas-y-marketing-digital-norseg/trabajo/6129027,¡Estamos buscando tu talento! En Forus...,"¡Estamos buscando tu talento!
En Forus buscamos a nuestro(a) próximo(a) Coordinador(a) de Ventas y Marketing Digital Norseg.
Somos una empresa líder de retail omnicanal en Chile, Colombia, Perú y Uruguay, con más de 40 años de trayectoria y un portafolio de marcas internacionales como Columbia, Vans, CAT, Under Armour, Hush Puppies, Norseg y muchas más.
Si te apasiona el mundo digital, el e-commerce y el desarrollo de marcas, y quieres ser parte de una compañía dinámica y con oportunidades de crecimiento, esta puede ser tu próxima oportunidad.
¿Cuál será tu desafío?
Serás responsable de desarrollar, fortalecer y ampliar los canales de venta digital de Norseg, combinando una mirada comercial con marketing digital y creación de contenido.
Buscamos a alguien que disfrute el mundo digital, tenga orientación a la venta y también sensibilidad por el diseño, aportando nuevas ideas para potenciar la presencia y crecimiento de la marca.
Principales responsabilidades
Gestionar y potenciar la venta a través de la página web y marketplace.
Asegurar la correcta publicación de productos, precios, stock, promociones y contenido en los distintos canales digitales.
Monitorear ventas y principales KPI de e-commerce, identificando oportunidades de mejora.
Planificar y gestionar el contenido de las redes sociales de Norseg.
Crear y adaptar piezas gráficas para RRSS y marketing digital.
Coordinar campañas digitales y la relación con la agencia de medios.
Analizar métricas de campañas, tráfico, comunidad y desempeño digital.
Participar en la creación de contenido para lanzamientos, eventos, ferias, reels y videos de producto.
Asegurar la correcta presencia de la marca en los e-commerce de clientes y marketplaces.
Analizar tendencias, competencia y nuevas oportunidades para fortalecer la presencia digital de Norseg.
¿Qué buscamos?
Una persona con interés por la venta y el marketing en canales digitales, que combine una mirada comercial con creatividad y sensibilidad por el diseño. Buscamos un perfil proactivo, analítico, organizado y con ganas de proponer nuevas ideas.
Requisitos
Formación en Ingeniería Comercial, Marketing, Publicidad, Administración o carrera afín.
1 a 2 años de experiencia en funciones relacionadas.
Experiencia en administración de redes sociales y/o venta e-commerce.
Conocimientos para crear y adaptar piezas gráficas para RRSS y marketing digital.
Deseable experiencia trabajando con marketplaces y análisis de KPI digitales.
Interés por la venta, e-commerce y marketing digital.",1,"Requisitos
Formación en Ingeniería Comercial, Marketing, Publicidad, Administración o carrera afín.
1 a 2 años de experiencia en funciones relacionadas.
Experiencia en administración de redes sociales y/o venta e-commerce.
Conocimientos para crear y adaptar piezas gráficas para RRSS y marketing digital.
Deseable experiencia trabajando con marketplaces y análisis de KPI digitales.
Interés por la venta, e-commerce y marketing digital."
Marketing Manager CAT ,Otra Área,"Las Condes, Metropolitana de Santiago",Las Condes,Metropolitana de Santiago,2026-09-24,6128915,forus,2026-09-24,2026-09-26,0.4435,Comercial,Jornada Completa,Forus S.A.,Universitaria,Chile,3 años,2026-10-24,https://forus.trabajando.cl/trabajo-empleo/marketing-manager-cat/trabajo/6128915,Marketing Manager Caterpillar ¿Te apasiona...,"Marketing Manager Caterpillar
¿Te apasiona el marketing y te motiva trabajar con una marca líder a nivel global?
En Forus, estamos buscando a nuestro/a próximo/a Marketing Manager para Caterpillar, quien tendrá el desafío de liderar la estrategia de marketing de la marca en Chile y seguir fortaleciendo su posicionamiento y conexión con sus consumidores.
🚀 ¿Cuál será tu desafío?Serás responsable de desarrollar y ejecutar la estrategia de marketing de Caterpillar, asegurando una comunicación consistente con la identidad global de la marca y, al mismo tiempo, conectada con las necesidades y oportunidades del mercado local. Tendrás un rol estratégico y transversal, trabajando junto a equipos comerciales, retail, e-commerce, visual merchandising y partners externos para transformar la estrategia de marca en iniciativas concretas que generen impacto.
Entre tus principales desafíos estarán:
Diseñar y ejecutar el plan anual de marketing de Caterpillar.
Liderar campañas y activaciones de marca en distintos canales y puntos de contacto.
Desarrollar estrategias que fortalezcan el posicionamiento y reconocimiento de la marca en Chile.
Identificar tendencias, oportunidades de mercado y nuevas formas de conectar con consumidores.
Trabajar colaborativamente con las áreas comerciales, retail y e-commerce para potenciar los resultados del negocio.
Gestionar agencias, proveedores y partners estratégicos.
Asegurar la correcta implementación de los lineamientos globales de Caterpillar.
Analizar resultados y KPIs de marketing, generando insights y propuestas de mejora.
Administrar el presupuesto de marketing y asegurar una correcta asignación de recursos.
Desarrollar iniciativas que permitan fortalecer la experiencia de marca en todos sus puntos de contacto.
🔎 ¿Qué buscamos?Buscamos una persona estratégica, proactiva y orientada a resultados, con capacidad para moverse entre la definición de la estrategia y la ejecución, y que disfrute trabajar en un entorno dinámico y desafiante.
🟡 ¿Por qué ser parte de Forus?Porque tendrás la oportunidad de trabajar con una marca global, reconocida y con una identidad potente, siendo protagonista de su desarrollo en el mercado chileno.
En Forus podrás asumir un desafío donde estrategia, marketing y negocio se encuentran, trabajando junto a equipos multidisciplinarios y aportando directamente al crecimiento de la marca.
Si te motiva construir marcas, transformar ideas en acciones y asumir nuevos desafíos, queremos conocerte.",1,"Idealmente, buscamos:
Formación profesional en Marketing, Publicidad, Ingeniería Comercial o carreras afines.
Experiencia en marketing, brand management o posiciones similares.
Experiencia mínima de 3 años desarrollando estrategias y campañas de marketing 360°.
Experiencia trabajando con agencias y proveedores.
Conocimiento de marketing digital, comunicación y construcción de marca.
Inglés avanzado, idealmente.
Capacidad analítica y orientación a resultados.
Habilidades de planificación, organización y gestión de proyectos.
Alta capacidad de relacionamiento y trabajo colaborativo."
Diseñador/a Gráfica Hush Puppies ,Otra Área,"Las Condes, Metropolitana de Santiago",Las Condes,Metropolitana de Santiago,2026-09-16,6125951,forus,2026-09-16,2026-09-26,0.2704,Diseñador,Jornada Completa,Forus S.A.,Universitaria,Chile,2 años,2026-10-16,https://forus.trabajando.cl/trabajo-empleo/disenador-a-grafica-hush-puppies/trabajo/6125951,"Somos Forus, empresa líder de retail...","Somos Forus, empresa líder de retail omnicanal en Chile, Colombia, Perú y Uruguay. Contamos con más de cuarenta años de historia y un portafolio de más de veinte marcas, tales como CAT, Columbia, Vans, Under Armour, Rockford, Hush Puppies ¡Y muchas más!
Nuestra misión es contribuir a la felicidad de las personas, inspirándolas a vivir de una forma más sana, activa y sustentable, por lo que nos declaramos #consumerfanatic.
Si al igual que nosotros(as) vibras con el mundo de las ventas, marketing, personas e innovación y te entusiasma formar parte de un equipo colaborativo, un entorno laboral dinámico, donde cada día es emocionante y lleno de desafíos, ¡Entonces este es el lugar ideal para ti!
¿Qué harás en el día a día? 🎯
Desarrollar la comunicación gráfica asociada al producto y a las colecciones, asegurando una presentación visual coherente con la identidad de cada marca y facilitando la correcta comprensión de sus atributos, tecnologías, materiales y propuestas comerciales.
El cargo deberá trabajar directamente con el equipo de Diseño y Desarrollo de Producto, adquiriendo conocimiento sobre calzado y participando activamente en el proceso creativo de las colecciones.
FUNCIONES PRINCIPALES
Trabajar de manera coordinada con las diseñadoras de calzado durante las distintas etapas de desarrollo de las colecciones.
Conocer los productos de cada marca, incluyendo sus materiales, tecnologías, atributos diferenciadores, público objetivo, posicionamiento y propuesta comercial.
Participar en reuniones de colección y revisiones de producto, aportando propuestas desde el punto de vista gráfico, visual y creativo.
Investigar tendencias de diseño, moda, calzado, color, materiales y comunicación visual.
Elaborar moodboards, conceptos gráficos, paletas de color y referencias visuales.
Aportar ideas que permitan fortalecer la identidad visual de las marcas y mejorar la presentación de sus productos.
Elaborar dibujos técnicos, colorizaciones, fichas visuales y otros recursos gráficos para comunicar el producto.
Diseñar etiquetas, hang tags, gráficas de plantillas, cajas, packaging y otros elementos gráficos asociados al producto.
Revisar medidas, colores, tipografías, ubicación de logotipos y demás elementos gráficos antes de su aprobación.
Preparar y revisar artes finales para producción.
Interactuar con proveedores nacionales e internacionales para solicitar, revisar y corregir archivos relacionados con el producto.
Desarrollar presentaciones de tendencias, conceptos, tecnologías, estructuras de colección y lanzamientos de producto.
Mantener ordenados y actualizados los archivos y material gráfico de las colecciones.
Apoyar la preparación y ejecución de sesiones fotográficas de producto para e-commerce y campañas.
HABILIDADES REQUERIDAS
Comunicación efectiva.
Trabajo en equipo.
Organización.
Proactividad.
Flexibilidad.
Agudeza visual y atención al detalle.
Creatividad.
Rapidez de ejecución.",1,"REQUISITOS DEL CARGO
Título universitario de Diseñador(a) Gráfico(a) o carrera afín.
Conocimientos en Photoshop, Illustrator, InDesign y After Effects.
Inglés avanzado.
Al menos 1 año de experiencia en áreas similares."
Ejecutivo de Apoyo Operaciones Digitales (Periodo Cyber),Otra Área,"Maipú, Metropolitana de Santiago",Maipú,Metropolitana de Santiago,2026-09-16,6125942,forus,2026-09-16,2026-09-26,0.3763,Administrativo,Jornada Completa,Forus S.A.,Media,Chile,1 años,2026-10-16,https://forus.trabajando.cl/trabajo-empleo/ejecutivo-de-apoyo-operaciones-digitales-periodo-cyber/trabajo/6125942,En Forus nos encontramos en búsqueda...,"En Forus nos encontramos en búsqueda de un Ejecutivo de Apoyo in-house para incorporarse a nuestra Gerencia Digital durante el periodo de cyber de este segundo semestre de 2026.
Funciones principales:
Brindar apoyo directo a la bodega de devoluciones y al equipo de Logística Inversa Digital en el centro de distribución, facilitando la comunicación continua y el flujo del área.
Emitir y validar notas de crédito y documentos electrónicos derivados de las devoluciones del canal e-commerce con precisión.
Apoyar en la revisión, monitoreo y gestión de solicitudes de clientes asociadas a la logística inversa digital.
Ejecutar el seguimiento e ingreso de las devoluciones enviadas por clientes de e-commerce, priorizando la agilidad en el proceso.",1,"Educación media completa.
Experiencia en cargos relacionados con atención al cliente.
Conocimientos básicos de computación: Word y Excel en nivel básico.
Disponibilidad para comenzar el 5 de octubre."
Brand Manager Vans ,Otra Área,"Las Condes, Metropolitana de Santiago",Las Condes,Metropolitana de Santiago,2026-09-15,6125526,forus,2026-09-15,2026-09-26,0.3759,Comercial,Jornada Completa,Forus S.A.,Universitaria,Chile,3 años,2026-11-14,https://forus.trabajando.cl/trabajo-empleo/brand-manager-vans/trabajo/6125526,Brand Manager Vans ¿Te apasiona construir...,"Brand Manager Vans¿Te apasiona construir marcas, entender al consumidor y transformar ideas en experiencias que conecten?
En Forus, estamos buscando a nuestro/a próximo/a Brand Manager de Vans, una persona que quiera asumir el desafío de seguir haciendo crecer una de las marcas más icónicas de lifestyle, street culture y action sports a nivel mundial.
🛹 El desafíoComo Brand Manager Vans, serás responsable de liderar la estrategia y ejecución de la marca en Chile, conectando el mundo global de Vans con nuestra realidad local.
Tendrás la oportunidad de trabajar de manera transversal con distintos equipos y partners para hacer crecer el negocio, fortalecer el posicionamiento de la marca y generar experiencias relevantes para nuestros consumidores.
Buscamos a alguien que no se limite a ejecutar un plan, sino que quiera cuestionar, proponer, experimentar y hacer que las cosas pasen.
🚀 ¿Qué harás?Liderar la estrategia de marca Vans en Chile, asegurando consistencia con los lineamientos globales y relevancia local.
Diseñar y ejecutar el plan anual de marketing y comunicación, desde la estrategia hasta la implementación.
Identificar oportunidades de crecimiento a partir del análisis del consumidor, mercado, tendencias y competencia.
Liderar campañas, lanzamientos, activaciones y experiencias que conecten Vans con sus comunidades.
Trabajar de manera cercana con equipos de Retail, E-commerce, Comercial, Visual Merchandising, Marketing y agencias externas.
Gestionar el presupuesto de marketing y medir el impacto de las iniciativas realizadas.
Desarrollar alianzas y colaboraciones que permitan ampliar el alcance y relevancia de la marca.
Monitorear indicadores de negocio y marca, transformando datos en insights y acciones concretas.
Ser un/a verdadero/a embajador/a de Vans, entendiendo su cultura, consumidor y universo de marca.
🔥 ¿Qué buscamos?Una persona con visión estratégica, curiosidad y mucha energía para llevar las ideas a la acción.
Idealmente:
Formación en Ingeniería Comercial, Marketing, Publicidad o carrera afín.
Experiencia de 3 a 5 años en marketing, brand management o gestión de marcas.
Experiencia trabajando con marcas de consumo, lifestyle, retail, moda, deporte o categorías relacionadas.
Capacidad para combinar visión estratégica con ejecución.
Manejo de indicadores, presupuesto y análisis de resultados.
Inglés avanzado, tanto oral como escrito.
Excelente capacidad para relacionarse y trabajar transversalmente con distintos equipos.
En Forus buscamos personas que...Curiosity | Se hacen preguntas, buscan nuevas perspectivas y nunca dejan de aprender.
Agility | Se adaptan, prueban y encuentran nuevas formas de hacer las cosas.
Speed | Pasan rápidamente de la idea a la acción.
Accountability | Se hacen responsables de sus decisiones y resultados.
Ownership | Ven una oportunidad y se hacen cargo de llevarla adelante.
🖤 ¿Por qué Vans?Porque aquí tendrás la oportunidad de trabajar con una marca que trasciende el producto: una marca con historia, cultura y una comunidad que se expresa a través de la creatividad, el deporte, la música y el estilo.
Si quieres ser parte de un equipo que busca desafiar lo establecido, crear experiencias memorables y llevar una marca icónica al siguiente nivel, queremos conocerte.
Postula y sé parte de Forus.",1,"Título profesional de Ingeniería Comercial, Civil o carrera afín.
3 a 5 años de experiencia en marketing, brand management o gestión de marcas.
Experiencia en marcas de consumo, retail, moda, lifestyle, deporte o categorías relacionadas.
Experiencia en el desarrollo y ejecución de planes de marketing y campañas 360°.
Capacidad para trabajar con agencias creativas, medios, partners y equipos internos.
Manejo de presupuesto de marketing e indicadores de gestión, con orientación a resultados.
Capacidad de análisis para transformar datos, tendencias e insights de consumidor en oportunidades concretas.
Inglés avanzado, oral y escrito.
Manejo de Excel y PowerPoint a nivel intermedio/avanzado.
Excelentes habilidades de comunicación, organización y trabajo colaborativo.
Alta capacidad de autonomía, iniciativa y gestión de múltiples proyectos simultáneamente."
Asistente de Ventas Parfois Parque Arauco,Otra Área,"Las Condes, Metropolitana de Santiago",Las Condes,Metropolitana de Santiago,2026-09-10,6123728,forus,2026-09-10,2026-09-26,0.343,Vendedor,Jornada Completa,Forus S.A.,Media,Chile,1 años,2026-10-10,https://forus.trabajando.cl/trabajo-empleo/asistente-de-ventas-parfois-parque-arauco/trabajo/6123728,En Forus nos encontramos en búsqueda...,"En Forus nos encontramos en búsqueda de personas apasionadas por la moda, las ventas y la atención al cliente, para ser parte de nuestra nueva tienda Parfois.
Parfois es una reconocida marca portuguesa de moda femenina y accesorios, fundada en 1994 en Oporto. Con presencia en más de 70 países y más de 1.000 tiendas alrededor del mundo, la marca destaca por su estilo moderno, femenino y en tendencia, ofreciendo una amplia variedad de productos como bolsos, carteras, joyas, lentes de sol, zapatos, ropa y accesorios lifestyle.
Hoy buscamos personas con fuerte orientación comercial, energía, iniciativa y motivación por entregar una experiencia de excelencia, siendo parte del crecimiento y apertura de esta nueva tienda en Chile.
Actualmente buscamos:
Asistente de Ventas: Modalidad 5x2 (45 horas semanales en turnos rotativos).
¿QUE BUSCÁMOS?
Personas con habilidades de comunicación, orientación al servicio y pasión por la moda, idealmente con experiencia en ventas retail, accesorios, calzado, belleza o marcas con atención personalizada. Valoramos perfiles proactivos, comprometidos y motivados por el cumplimiento de metas comerciales.
PRINCIPALES FUNCIONES:
Entregar una atención personalizada y cercana a los clientes.
Asesorar en productos, tendencias y combinaciones.
Cumplir objetivos de venta individuales y de tienda.
Mantener el orden, limpieza, reposición y visual de la tienda.
Apoyar en la recepción de mercadería y reposición de productos.
Mantener el orden y correcta organización de la bodega, asegurando un adecuado control y almacenamiento del stock.
Velar por el correcto cuidado de productos y apoyo en inventarios.
Apoyar el trabajo colaborativo y el buen ambiente de equipo.
INFORMACIÓN ADICIONAL:
Contrato de trabajo y beneficios asociados. Los bonos y subsidios estatales se mantienen según normativa vigente (más información en la página del Ministerio del Trabajo).",1,"REQUISITOS:
Disponibilidad para trabajar en horario mall.
Enseñanza media completa.
Experiencia en ventas y/o atención al cliente (idealmente en retail o moda).
Extranjeros solo con visa definitiva vigente."
KAM COLUMBIA,Otra Área,"Las Condes, Metropolitana de Santiago",Las Condes,Metropolitana de Santiago,2026-09-02,6120339,forus,2026-09-06,2026-09-10,0.3666,Comercial,Jornada Completa,Columbia,Universitaria,Chile,1 años,2026-09-09,https://forus.trabajando.cl/trabajo-empleo/kam-columbia/trabajo/6120339,¡Estamos buscando tu talento! En Forus...,"¡Estamos buscando tu talento!
En Forus buscamos a nuestro(a) próximo(a) Key Account Manager (KAM) | Columbia.
Acerca de Forus
Somos una empresa líder de retail omnicanal en Chile, Colombia, Perú y Uruguay, con más de 40 años de trayectoria y un portafolio de marcas internacionales como Columbia, Vans, CAT, Under Armour, Hush Puppies y muchas más.
Si te apasiona el retail, los negocios y el desarrollo comercial, y quieres ser parte de una compañía dinámica, desafiante y con oportunidades de crecimiento, esta puede ser tu próxima oportunidad.
¿Cuál será tu desafío?
Serás responsable de liderar la gestión comercial de Columbia en el canal Wholesale, administrando cuentas estratégicas y asegurando el desarrollo del negocio de principio a fin.
Buscamos a una persona con fuerte orientación comercial, capacidad analítica y habilidades para coordinar múltiples procesos de manera simultánea. Que tenga facilidad para construir relaciones de largo plazo, detectar oportunidades de crecimiento y desenvolverse en un entorno dinámico.
Principales responsabilidades
Liderar la gestión comercial de la cartera de clientes del canal Wholesale.
Administrar el presupuesto de ventas, márgenes y gastos, realizando forecast y seguimiento del negocio.
Gestionar ventas, compras e inventarios para asegurar el cumplimiento de los objetivos comerciales.
Analizar el desempeño del negocio e identificar oportunidades de crecimiento.
Desarrollar e implementar acciones comerciales y de marketing junto a clientes estratégicos.
Coordinar permanentemente con equipos de Planning, Marketing, Producto, Logística y Finanzas para asegurar una correcta ejecución.
Desarrollar relaciones de largo plazo con clientes y generar nuevas oportunidades de negocio.
Realizar visitas a clientes y viajes cuando sea necesario.
Nos encantará conocerte si...
Te apasiona el retail, el mundo outdoor y el desarrollo de marcas.
Tienes habilidades para gestionar múltiples proyectos y coordinar distintos equipos.
Tienes una mirada analítica y orientación a resultados.
Buscas generar relaciones de largo plazo con clientes y equipos.
Eres una persona proactiva, con iniciativa y ganas de seguir creciendo profesionalmente.
Si quieres asumir un nuevo desafío y ser parte de una compañía líder en retail, ¡te invitamos a postular!",1,"Título profesional de Ingeniería Comercial, Ingeniería Civil Industrial o carrera afín.
Al menos 1 año de experiencia como KAM o en cargos comerciales similares, idealmente en retail, moda, calzado, deporte o consumo masivo.
Experiencia gestionando cuentas estratégicas y negociaciones comerciales.
Excel intermedio-avanzado.
Deseable manejo de inglés intermedio.
Disponibilidad para viajar.
Afinidad con el ADN de Columbia."
Asistente de Compras y Suministros,Otra Área,"Las Condes, Metropolitana de Santiago",Las Condes,Metropolitana de Santiago,2026-09-01,6119823,forus,2026-09-06,2026-09-26,0.3896,Asistente,Jornada Completa,Forus S.A.,Universitaria,Chile,1 años,2026-01-10,https://forus.trabajando.cl/trabajo-empleo/asistente-de-compras-y-suministros/trabajo/6119823,Únete a FORUS como nuestro próximo/a...,"Únete a FORUS como nuestro próximo/a Asistente de Compras y Suministros
¿Te apasiona el análisis de proveedores, la negociación estratégica y asegurar que la operación nunca se detenga? ¿Disfrutas optimizar recursos, evaluar propuestas y mantener un control riguroso en cada proceso? Entonces esta oportunidad es para ti.
En nuestra compañía buscamos un/a Asistente de Compras y Suministros para integrarse a la Gerencia de Administración y Finanzas. Serás una pieza clave en el ciclo de adquisición de bienes y servicios, asegurando la continuidad operativa, el cumplimiento normativo y la máxima eficiencia en cada negociación.
¿Cuál será tu desafío?
Liderar la gestión estratégica de compras, negociando con proveedores, optimizando presupuestos y garantizando que cada adquisición cumpla con los estándares de calidad, tiempo y compliance requeridos por la organización.
¿Qué harás en este rol?
Liderar cotizaciones y licitaciones: Recepcionar requerimientos internos, buscar proveedores y elaborar cuadros comparativos para adjudicaciones técnico-económicas.
Administrar el calendario de negociación: Monitorear el cronograma de contratos y servicios vigentes para anticipar renovaciones o renegociaciones sin afectar la operación.
Evaluar y desarrollar proveedores: Ampliar la red de suministros y mantener relaciones fluidas para garantizar plazos y calidad.
Ejecutar negociaciones estratégicas: Lograr el equilibrio ideal entre costo, calidad y oportunidad de entrega.
Garantizar el control normativo: Asegurar el cumplimiento de las políticas de compliance, auditoría y presupuesto en cada compra.
¿Por qué sumarte a nuestro equipo?
Ofrecemos un entorno dinámico donde tu rigurosidad y visión analítica impactarán directamente en los resultados del negocio. Trabajarás de forma transversal con distintas áreas, desarrollando tus habilidades de negociación y gestión en un ambiente colaborativo.",1,"¿Qué buscamos?
Título profesional en Administración de Empresas, Ingeniería Comercial, Comercio Exterior o carrera afín.
1 a 2 años de experiencia en compras, abastecimiento o logística.
Manejo de ERP (SAP, Oracle o similares).
Dominio intermedio de Microsoft Excel para análisis de datos.
Nos gustaría que fueras una persona que...
Posee una gran capacidad de planificación, orden y metodología.
Trabaja con rigurosidad y orientación al logro.
Tiene facilidades para comunicarse y construir relaciones sólidas con proveedores y clientes internos."
Product Manager Vestuario Merrell,Otra Área,"Las Condes, Metropolitana de Santiago",Las Condes,Metropolitana de Santiago,2026-08-31,6119161,forus,2026-09-06,2026-09-26,0.3911,Encargado,Jornada Completa,Merrell,Universitaria,Chile,1 años,2026-09-30,https://forus.trabajando.cl/trabajo-empleo/product-manager-vestuario-merrell/trabajo/6119161,¡Estamos buscando tu talento! En Forus...,"¡Estamos buscando tu talento!
En Forus buscamos a nuestro(a) próximo(a) Product Manager de Vestuario para incorporarse a una de nuestras grandes marcas MERRELL.
Acerca de la empresa:
Somos Forus, empresa líder de retail omnicanal en Chile, Colombia, Perú y Uruguay. Contamos con más de cuarenta años de historia y un portafolio de más de veinte marcas, tales como CAT, Columbia, Vans, Under Armour, Rockford, Hush Puppies ¡Y muchas más!
Nuestra misión es contribuir a la felicidad de las personas, inspirándolas a vivir de una forma más sana, activa y sustentable, por lo que nos declaramos #consumerfanatic.
Si al igual que nosotros(as) vibras con el mundo de las ventas, marketing, personas e innovación y te entusiasma formar parte de un equipo colaborativo, un entorno laboral dinámico, donde cada día es emocionante y lleno de desafíos, ¡Entonces este es el lugar ideal para ti!
¿Cuál será tu misión?
Tu principal misión será administrar la marca para aumentar su rentabilidad y su posicionamiento en el mercado, definiendo estrategias, colecciones de productos y realizando presupuesto.
¿Qué harás en el día a día?
Apoyar en la elaboración de presupuesto anual de la marca y estrategias que permitan cumplir con éste.
Efectuar análisis de compra, ventas, rotación e inventario de productos.
Coordinarse con comercio exterior, estableciendo prioridades de ingreso de productos y seguimientos de éstos
Identificar modelos ganadores/perdedores y tomar acciones al respecto.
Coordinarse con distribución y logística para que se cumplan los despachos del mes.
Preparar la colección de productos para cada temporada.
Enviar las ordenes de compra a los proveedores de timing.
Determinar los precios públicos, de manera que se cumpla el margen y la venta.
Representar a la marca y la empresa con los clientes de Wholesale y en las reuniones en el extranjero.
Desarrollar planes de Marketing que estén acorde a los lineamientos de posicionamiento de las marcas.
Entre otras.
Si crees que este cargo es para tí ¡Te invitamos a postular!",1,"Título universitario de Ingeniero Comercial ó Civil Industrial
Inglés avanzado
Excel nivel medio avanzado.
1 año de experiencia en un cargo similar."
Asistente Comercial Norseg ,Otra Área,"Las Condes, Metropolitana de Santiago",Las Condes,Metropolitana de Santiago,2026-08-07,6110871,forus,2026-08-07,2026-09-07,0.3919,Comercial,Jornada Completa,Forus S.A.,Universitaria,Chile,1 años,2026-06-09,https://forus.trabajando.cl/trabajo-empleo/asistente-comercial-norseg/trabajo/6110871,Únete a FORUS como nuestro próximo/a...,"Únete a FORUS como nuestro próximo/a Asistente Comercial División Seguridad Industrial
¿Te apasiona el orden, el análisis y ser una pieza clave para que un negocio funcione de manera eficiente? ¿Disfrutas trabajar con datos, coordinar múltiples procesos y aportar a la mejora continua? Entonces esta oportunidad puede ser para ti.
En FORUS buscamos un/a Asistente Comercial para nuestra División de Seguridad Industrial, quien será un apoyo fundamental para el equipo comercial, asegurando el correcto seguimiento de procesos, la coordinación administrativa y el control de gestión que permiten impulsar el crecimiento del negocio.
¿Cuál será tu desafío?Serás responsable de apoyar la gestión comercial y administrativa de la división, coordinando procesos, administrando información clave y contribuyendo al control de indicadores, presupuestos y compras, trabajando de manera cercana con distintas áreas del negocio.
¿Qué harás en este rol?Apoyar el control de gestión de los procesos de demanda, abastecimiento e importaciones.
Dar seguimiento a procesos de compras y órdenes de compra en el ERP.
Apoyar la administración de acuerdos comerciales con clientes y proveedores.
Coordinar procesos relacionados con certificaciones y control de calidad de productos.
Administrar partidas del presupuesto y realizar seguimiento de gastos del área.
Coordinar viajes, reuniones y eventos internos y externos.
Elaborar, actualizar y optimizar reportes e indicadores en Excel y Google Sheets.
Trabajar colaborativamente con Brand Managers, Product Development Managers y distintos equipos internos para asegurar una gestión eficiente.
¿Por qué FORUS?En FORUS creemos en las personas que hacen que las cosas pasen. Tendrás la oportunidad de desarrollarte en un equipo colaborativo, participar en proyectos desafiantes y contribuir al crecimiento de una división líder en soluciones de seguridad industrial.
Si buscas un rol donde tu organización, análisis y capacidad de coordinación tengan un impacto real en el negocio, ¡queremos conocerte",1,"¿Qué buscamos?Formación técnica o profesional afín al cargo.
Al menos 1 año de experiencia en funciones similares.
Manejo avanzado de Excel y/o Google Sheets.
Conocimientos de control de gestión y contabilidad.
Inglés nivel básico o intermedio.
Nos gustaría que fueras una persona que...Se organiza muy bien y sabe priorizar.
Disfruta trabajar con información y mantener el control de múltiples procesos.
Tiene iniciativa para proponer mejoras.
Se comunica de manera clara y efectiva.
Trabaja bien en equipo y genera buenas relaciones.
Responde de buena forma en entornos dinámicos y de alta exigencia."
