title,team,location,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,url,description,workplace_type
Assistente de Prevenção de Perdas - Mercado Envios.,Shipping,"Sudeste,Brazil",2026-06-24,42598596,mercadolibre,2026-06-25,2026-06-25,0.0964,https://mercadolibre.eightfold.ai/careers/job/42598596,,onsite
Lider de Equipo Transporte,Shipping,"Distrito Federal,Mexico",2026-06-24,42565345,mercadolibre,2026-06-25,2026-06-25,0.1283,https://mercadolibre.eightfold.ai/careers/job/42565345,,onsite
Team Leader | Araçariguama/SP,Shipping,"Sudeste,Brazil; Araçariguama, SP, Brasil; São Paulo, SP, BR",2026-06-24,42593444,mercadolibre,2026-06-25,2026-06-25,0.1062,https://mercadolibre.eightfold.ai/careers/job/42593444,,onsite
Ejecutiva / Ejecutivo Comercial Point Mercado Pago,Fintech,"Monterrey,Mexico",2026-06-24,37886087,mercadolibre,2026-06-25,2026-06-25,0.1537,https://mercadolibre.eightfold.ai/careers/job/37886087,,hybrid
Experto en Transformación Estratégica,Corporate Development,"Buenos Aires,Argentina",2026-06-24,42575245,mercadolibre,2026-06-25,2026-06-25,0.1747,https://mercadolibre.eightfold.ai/careers/job/42575245,,onsite
Analista Senior de Producto - Shipping,Producto,"Buenos Aires,Argentina",2026-06-24,42472635,mercadolibre,2026-06-25,2026-06-25,0.2013,https://mercadolibre.eightfold.ai/careers/job/42472635,,onsite
Software Engineer - IT Fintech,IT,"Buenos Aires,Argentina",2026-06-24,42565386,mercadolibre,2026-06-25,2026-06-25,0.3149,https://mercadolibre.eightfold.ai/careers/job/42565386,,onsite
Analista Pleno de Planejamento de Manutenção - Mercado Envios,Shipping,"Sudeste,Brazil",2026-06-24,41809956,mercadolibre,2026-06-25,2026-06-25,0.1239,https://mercadolibre.eightfold.ai/careers/job/41809956,,onsite
Supervisão de Transportes - Mercado Envios,Shipping,"Sudeste,Brazil",2026-06-24,42599431,mercadolibre,2026-06-25,2026-06-25,0.1186,https://mercadolibre.eightfold.ai/careers/job/42599431,,onsite
Especialista de Comercio Exterior y Compliance Aduanero - Mercado Envíos,Shipping,"Buenos Aires,Argentina",2026-06-24,41974041,mercadolibre,2026-06-25,2026-06-25,0.1281,https://mercadolibre.eightfold.ai/careers/job/41974041,,onsite
Analista Sênior de Recrutamento e Seleção para Mercado Envios,People,"Sudeste,Brazil",2026-06-24,42289316,mercadolibre,2026-06-25,2026-06-25,0.1306,https://mercadolibre.eightfold.ai/careers/job/42289316,,onsite
Líder Sênior de Inventário e Qualidade - Mercado Envios,Shipping,"Sudeste,Brazil",2026-06-24,42547499,mercadolibre,2026-06-25,2026-06-25,0.1756,https://mercadolibre.eightfold.ai/careers/job/42547499,,onsite
Líder de Inventário e Qualidade - Mercado Envios,Shipping,"Sudeste,Brazil",2026-06-24,41978269,mercadolibre,2026-06-25,2026-06-25,0.1611,https://mercadolibre.eightfold.ai/careers/job/41978269,,onsite
Coordinación de Transporte,Shipping,"Distrito Federal,Mexico",2026-06-24,42565383,mercadolibre,2026-06-25,2026-06-25,0.1369,https://mercadolibre.eightfold.ai/careers/job/42565383,,onsite
Líder de Equipo Transporte,Shipping,"Puebla,Mexico",2026-06-24,42559480,mercadolibre,2026-06-25,2026-06-25,0.0877,https://mercadolibre.eightfold.ai/careers/job/42559480,,onsite
Coordinación de Transporte,Shipping,"Guadalajara,Mexico",2026-06-24,42565394,mercadolibre,2026-06-25,2026-06-25,0.1025,https://mercadolibre.eightfold.ai/careers/job/42565394,,onsite
Gerente Regional de Operações Logísticas - Mercado Envios,Shipping,"Sudeste,Brazil; Itajaí - State of Santa Catarina, Brazil; Blumenau, State of Santa Catarina, Brazil; Joinville - State of Santa Catarina, Brazil; Chapecó, State of Santa Catarina, Brazil",2026-06-24,41835004,mercadolibre,2026-06-25,2026-06-25,0.1216,https://mercadolibre.eightfold.ai/careers/job/41835004,,onsite
Analista Senior de Mejora continua- Mercado envíos,Shipping,"Distrito Federal,Mexico",2026-06-24,42586706,mercadolibre,2026-06-25,2026-06-25,0.2008,https://mercadolibre.eightfold.ai/careers/job/42586706,,onsite
Especialista de Producto Instore - Mercado Pago,Producto,"Buenos Aires,Argentina",2026-06-24,42487892,mercadolibre,2026-06-25,2026-06-25,0.1063,https://mercadolibre.eightfold.ai/careers/job/42487892,,onsite
Supervisão de Operação Logística - Mercado Envios,Shipping,"Sudeste,Brazil",2026-06-24,42605622,mercadolibre,2026-06-25,2026-06-25,0.1625,https://mercadolibre.eightfold.ai/careers/job/42605622,,onsite
People Business Partner Manager para Mercado Envios,People,"Sudeste,Brazil",2026-06-24,42602812,mercadolibre,2026-06-25,2026-06-25,0.174,https://mercadolibre.eightfold.ai/careers/job/42602812,,onsite
Account Manager Senior Analyst Cross Border Trade - Marketplace,Marketplace,United States,2026-06-24,42347684,mercadolibre,2026-06-25,2026-06-25,0.3409,https://mercadolibre.eightfold.ai/careers/job/42347684,,onsite
Analista Senior de Space Management - Mercado Envíos,Shipping,"Distrito Federal,Mexico",2026-06-24,42585703,mercadolibre,2026-06-25,2026-06-25,0.2179,https://mercadolibre.eightfold.ai/careers/job/42585703,,onsite
Analista de Investigación - Mercado Envíos,Shipping,"Buenos Aires,Argentina",2026-06-24,42523874,mercadolibre,2026-06-25,2026-06-25,0.1358,https://mercadolibre.eightfold.ai/careers/job/42523874,,onsite
Analista de Control de Monitoreo - Mercado Envíos,Shipping,"Buenos Aires,Argentina",2026-06-24,42523634,mercadolibre,2026-06-25,2026-06-25,0.0994,https://mercadolibre.eightfold.ai/careers/job/42523634,,onsite
Líder de Equipe Logística Sênior  - Mercado Envios,Shipping,"Sudeste,Brazil",2026-06-23,42447971,mercadolibre,2026-06-25,2026-06-25,0.1842,https://mercadolibre.eightfold.ai/careers/job/42447971,,onsite
Lider de equipo senior Metro Full Mexico- Mercado envíos,Shipping,"Monterrey,Mexico",2026-06-23,42575019,mercadolibre,2026-06-25,2026-06-25,0.1305,https://mercadolibre.eightfold.ai/careers/job/42575019,,onsite
Supervisão de Operação Logística - Mercado Envios,Shipping,"Sudeste,Brazil",2026-06-23,42289142,mercadolibre,2026-06-25,2026-06-25,0.1627,https://mercadolibre.eightfold.ai/careers/job/42289142,,onsite
Especialista de Riscos Não Financeiros para Mercado Pago,Risk & Compliance,"Sudeste,Brazil",2026-06-23,42576745,mercadolibre,2026-06-25,2026-06-25,0.1544,https://mercadolibre.eightfold.ai/careers/job/42576745,,onsite
Analista Pleno de Planejamento de Transportes - Mercado Envios,Shipping,"Sudeste,Brazil",2026-06-23,42318404,mercadolibre,2026-06-25,2026-06-25,0.1321,https://mercadolibre.eightfold.ai/careers/job/42318404,,onsite
Especialista de Estratégia e Proposta de Valor - Mercado Envios,Shipping,"Sudeste,Brazil",2026-06-23,42562463,mercadolibre,2026-06-25,2026-06-25,0.1381,https://mercadolibre.eightfold.ai/careers/job/42562463,,onsite
