title,team,location,city,state,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,worker_type,schedule_type,company_name,education,country,experience_level,application_deadline,url,description_short,description,vacancies,requirements
Operario de Servicios Generales - San Bernardo,Logística,"San Bernardo, Metropolitana de Santiago",San Bernardo,Metropolitana de Santiago,2026-09-04,6121477,pf,2026-09-06,2026-09-06,0.4177,Otro Profesional,Jornada Completa,PF Alimentos,Media,Chile,2 años,2026-03-11,https://pf.trabajando.cl/trabajo-empleo/operario-de-servicios-generales-san-bernardo/trabajo/6121477,En PFalimentos nos encontramos en búsqueda...,"En PFalimentos nos encontramos en búsqueda de un Operario de Servicios Generales para nuestras oficinas ubicadas en San Bernardo
Su principal misión es asegurar la limpieza, orden y abastecimiento de insumos en las instalaciones, así como la correcta gestión de uniformes, contribuyendo al funcionamiento eficiente de la organización y velando por la continuidad operacional.
Algunas de sus responsabilidades:
Ejecutar las labores diarias de servicios generales conforme a la programación, procedimientos e instrucciones de la jefatura, asegurando el orden, la limpieza y la continuidad operativa de las instalaciones.
Mantener la limpieza e higiene de todas las dependencias asignadas (oficinas, pasillos, baños y vestuarios), utilizando correctamente herramientas, detergentes y productos químicos, cumpliendo los instructivos de uso y seguridad.
Gestionar el sistema de uniformes del personal, incluyendo entrega según turnos, clasificación, pesaje, recepción, control de estado y coordinación de reparaciones, garantizando su disponibilidad y correcta presentación.
Administrar insumos de higiene y residuos.
Apoyar la operación interna y reportar incidencias.
Lugar de Trabajo: San Bernardo",1,"Formación: Enseñanza Media Completa
Requisitos:
Disponibilidad para trabajar en Turnos Rotativos"
Colaborador Industrial P2,Producción y Manufactura,"Talca, Maule",Talca,Maule,2026-09-04,6121393,pf,2026-09-06,2026-09-06,0.4427,Otro Profesional,Jornada Completa,PF Alimentos,Media,Chile,2 años,2026-03-11,https://pf.trabajando.cl/trabajo-empleo/colaborador-industrial-p2/trabajo/6121393,En PFalimentos estamos en busca de...,"En PFalimentos estamos en busca de Colaboradores Industriales para trabajar en producción industrial en nuestras plantas ubicadas en Talca. .
Su principal labor será llevar a cabo activamente los distintos procesos de producción, velando por la continuidad operarional y el cumplimiento del plan productivo.
Alguna de sus funciones:Garantizar la inocuidad en su trabajo, a través del cumplimiento de procedimientos.
Ejecutar las distintas etapas del proceso de producciòn, en base a las normas y procedimientos establecidos por la compañía.
Velar por la disponibilidad de insumos y materias primas.
Lugar de trabajo: Talca
Sistema de turnos rotativos (mañana-tarde-noche)",1,"Requisitos:
Enseñanza media completa.
Contar con licencia clase D (deseable)
Disponibilidad para turnos rotativos.
Deseable experiencia en producción."
Colaborador Industrial P4,Producción y Manufactura,"Talca, Maule",Talca,Maule,2026-09-04,6121397,pf,2026-09-06,2026-09-06,0.4478,Otro Profesional,Jornada Completa,PF Alimentos,Media,Chile,2 años,2026-03-11,https://pf.trabajando.cl/trabajo-empleo/colaborador-industrial-p4/trabajo/6121397,En PFalimentos estamos en busca de...,"En PFalimentos estamos en busca de Colaboradores Industriales para trabajar en producción industrial en nuestras plantas ubicadas en Talca. .
Su principal labor será llevar a cabo activamente los distintos procesos de producción, velando por la continuidad operarional y el cumplimiento del plan productivo.
Alguna de sus funciones:Garantizar la inocuidad en su trabajo, a través del cumplimiento de procedimientos.
Ejecutar las distintas etapas del proceso de producciòn, en base a las normas y procedimientos establecidos por la compañía.
Velar por la disponibilidad de insumos y materias primas.
Lugar de trabajo: Talca
Sistema de turnos rotativos (mañana-tarde-noche)",1,"Requisitos:
Enseñanza media completa.
Contar con licencia clase D (deseable)
Disponibilidad para turnos rotativos.
Deseable experiencia en producción."
Operario Multifuncional (turno noche) - Renca,Logística,"Renca, Metropolitana de Santiago",Renca,Metropolitana de Santiago,2026-09-02,6115505,pf,2026-09-06,2026-09-06,0.4242,Otro Profesional,Jornada Completa,PF Alimentos,Media,Chile,2 años,2026-01-11,https://pf.trabajando.cl/trabajo-empleo/operario-multifuncional-turno-noche-renca/trabajo/6115505,En PFalimentos nos encontramos en búsqueda...,"En PFalimentos nos encontramos en búsqueda de un Operario Multifuncional para nuestras oficinas ubicadas en Renca.
Su principal misión es la de realizar el ingreso, custodia y salida para distribución de los productos en la cámara; garantizando el funcionamiento de las cámaras para asegurar la preservación de los productos, de acuerdo a los procedimientos de calidad de la empresa, con el fin de satisfacer las necesidades de los clientes.
Lugar de Trabajo: Renca",2,"Formación: Enseñanza Media Completa
Experiencia: 0 a 1 año como operario
Disponibilidad para trabajar en turno noche"
Ayudante de Reparto - Rancagua,Operaciones,"Rancagua, Lib. Gral. Bdo. O'Higgins",Rancagua,Lib. Gral. Bdo. O'Higgins,2026-09-01,6119974,pf,2026-09-06,2026-09-06,0.4412,Otro Profesional,Jornada Completa,PF Alimentos,Media,Chile,2 años,2026-10-31,https://pf.trabajando.cl/trabajo-empleo/ayudante-de-reparto-rancagua/trabajo/6119974,En PF Alimentos nos encontramos en...,"En PF Alimentos nos encontramos en búsqueda de un/a Ayudante de Reparto para trabajar en Rancagua
La misión del cargo es apoyar en la entrega de productos, asegurando el cumplimiento de los estándares de calidad y la correcta gestión de documentación asociada a cada reparto.
Responsabilidades principales:Revisar la mercadería para la estiba de carga y entrega, asegurando que coincida con la documentación asociada.
Apoyar la recepción, carga y orden de productos en el vehículo de reparto según guías/facturas.
Entregar los productos a los clientes cumpliendo los estándares definidos por PF Alimentos.
Rendir y cuadrar la documentación de la operaciósn realizada diariamente.
Mantener un trato cordial con clientes, compañeros y proveedores.
Usar correctamente el uniforme y velar por la imagen corporativa.
Cumplir normas de seguridad, autocuidado e inocuidad alimentaria.
¿Qué ofrecemos?Oportunidad de integrarte a una empresa líder en la industria alimentaria.
Ambiente de trabajo colaborativo.",1,"Educación media completa.
Deseable experiencia en reparto de alimentos.
Disponibilidad para jornada completa lunes a sábado y con horario de ingreso de madrugada. (Art. 22)"
Administrativo de recepción y despacho - Puerto Montt TURNO NOCHE,Logística,"Puerto Montt, Los Lagos",Puerto Montt,Los Lagos,2026-08-31,6119711,pf,2026-09-06,2026-09-06,0.3911,Otro Profesional,Jornada Completa,PF Alimentos,Técnico profesional superior,Chile,2 años,2026-10-30,https://pf.trabajando.cl/trabajo-empleo/administrativo-de-recepcion-y-despacho-puerto-montt-turno-noche/trabajo/6119711,En PFalimentos nos encontramos en búsqueda...,"En PFalimentos nos encontramos en búsqueda de un Administrativo de Recepción y Despacho (Turno Noche) para integrarse al área de Logística en nuestro Centro de Distribución de Puerto Montt.
La persona será responsable de apoyar la operación logística mediante el control documental, la gestión de información, la coordinación de despachos y la generación de reportes, asegurando la correcta trazabilidad de los procesos y el cumplimiento de los estándares de la compañía.
Principales funciones
Generar y gestionar documentación asociada a los procesos de recepción y despacho.
Elaborar planillas de reparto para facilitar la preparación de carga.
Controlar diferencias de mercadería, jabas y pallets recepcionados.
Emitir guías de despacho para vehículos de distribución.
Coordinar información con transportistas y áreas internas.
Apoyar la implementación de mejoras en procesos, sistemas e informes.
Mantener registros actualizados y asegurar la trazabilidad de la información logística.
CondicionesLugar de trabajo: ""Megacentro"" Puerto Montt.
Dirección: KM 1025 ruta 5 Sur Sector Alto Bonito.
Modalidad: Presencial
Horario trabajo: Artículo 38. (1 día libre a la semana según programación operacional)
Jornada: Lunes: 00:00 a 07:00 horas. Martes a Sábado: 22:00 a 07:00 horas.",1,"Enseñanza Media Completa.
Residencia próxima al terminal de distrución (Puerta Sur, Bosque Mar, Mirasol)
Al menos 2 años de experiencia en cargos administrativos, control documental, logística, auditoría o control de procesos.
Deseable experiencia en centros de distribución, transporte o consumo masivo.
Manejo de herramientas computacionales y Excel.
Disponibilidad para trabajar en turno noche fijo."
Brand Manager,Marketing / Mercadeo,"Huechuraba, Metropolitana de Santiago",Huechuraba,Metropolitana de Santiago,2026-08-25,6117370,pf,2026-09-06,2026-09-06,0.3826,Otro Profesional,Jornada Completa,PF Alimentos,Universitaria,Chile,2 años,2026-10-24,https://pf.trabajando.cl/trabajo-empleo/brand-manager/trabajo/6117370,En PFalimentos nos encontramos en búsqueda...,"En PFalimentos nos encontramos en búsqueda de un/a Brand Manager para nuestras oficinas ubicadas en Huechuraba.
Su principal misión será construir y gestionar marcas fuertes, relevantes y rentables para PFalimentos, resguardando su identidad y posicionamiento en el mercado.
Alguna de sus responsabilidades:
Identificar y desarrollar oportunidades de comunicación, innovación y crecimiento de las marcas asignadas, a través de un análisis permanente del mercado, anticipándose a tendencias y comportamientos del consumidor.
Desarrollar, liderar y promover la generación de propuestas innovadoras que permitan extender el alcance de las marcas más allá de los medios tradicionales, generando experiencias memorables para consumidores y clientes.
Gestionar la ejecución de los proyectos del área, coordinando la relación con agencias, stakeholders, equipos internos, proveedores y socios estratégicos.
Maximizar el potencial de auspicios, alianzas y patrocinadores, transformando cada oportunidad en plataformas de comunicación que amplifiquen la visibilidad y el valor de las marcas.
Lugar de trabajo: Huechuraba.
Modalidad / Jornada:Presencial
Lunes a jueves de 8:30 a 18:00
Viernes de 8:30 a 13.30",1,"Formación: Ingeniería Comercial, Ingeniería Civil, Publicidad, carrera afín de Marketing.
Experiencia: De 3 a 5 años como Brand Manager o Product Manager, jefe de marca/producto, experiencia en agencias creativas"
Supervisor de Calidad Industrial (Reemplazo)  - Talca,Calidad,"Talca, Maule",Talca,Maule,2026-08-25,6117327,pf,2026-09-06,2026-09-06,0.4291,Otro Profesional,Jornada Completa,PF Alimentos,Técnico profesional superior,Chile,2 años,2026-10-24,https://pf.trabajando.cl/trabajo-empleo/supervisor-de-calidad-industrial-reemplazo-talca/trabajo/6117327,En PF Alimentos nos encontramos en...,"En PF Alimentos nos encontramos en búsqueda de un/a Supervisor de Calidad Industrial (Reemplazo) para nuestras oficinas ubicadas en Talca
Gestión de Calidad e Inocuidad: Asegurar el cumplimiento de los sistemas de calidad e inocuidad (SGI, HACCP, SSOP, BPM) en planta, identificando desviaciones y gestionando acciones correctivas y preventivas para la mejora continua.
Control y Liberación de Procesos y Productos: Verificar la conformidad de materias primas, procesos y productos terminados mediante controles, análisis y protocolos de liberación, asegurando el cumplimiento de las especificaciones de calidad.
Análisis, Seguimiento y Documentación: Analizar información y registros del sistema de gestión, mantener actualizada la documentación, indicadores, desvíos y no conformidades, proponiendo mejoras para optimizar los procesos.
Capacitación, Auditorías y Relación con Stakeholders: Capacitar al personal interno, participar en auditorías internas y externas (SEREMI, SAG, exportaciones), evaluar proveedores y colaborar en la gestión de reclamos y proyectos del área.
Lugar de trabajo: Talca.
Horario laboral: 40 horas semanales de lunes a sábado. 3 turnos
Turno de noche (cuando se requiera)",1,"- Formación: Técnico en Aseguramiento de Calidad, Alimentos, Profesional de Salud (Humana/Animal)
- Contar con al menos 1 año en industria de Alimentos."
Supervisor de recepción y despacho (turno noche) - Renca,Logística,"Renca, Metropolitana de Santiago",Renca,Metropolitana de Santiago,2026-08-21,6116003,pf,2026-09-06,2026-09-06,0.3689,Otro Profesional,Jornada Completa,PF Alimentos,Técnico profesional superior,Chile,2 años,2026-10-20,https://pf.trabajando.cl/trabajo-empleo/supervisor-de-recepcion-y-despacho-turno-noche-renca/trabajo/6116003,En PFalimentos nos encontramos en búsqueda...,"En PFalimentos nos encontramos en búsqueda de un Supervisor de Recepción y Despacho (turno noche) para nuestras oficinas ubicadas en Renca.
Su principal misión será recepcionar y evaluar tanto físico como documentalmente la mercadería recibida desde plantas, asegurando el correcto almacenamiento en base a lo dispuesto por el sistema.
Algunas de sus responsabilidades:Planificar la operación diaria de acuerdo al tipo de mercadería y la cantidad de kilos que se recepcionarán con el propósito de cumplir con el horario de inicio y término del reparto y/o recepción.
Asegurar la integridad de la mercadería y Soporte Logístico (jabas, pallets, bins u otros) en los proceso de carga, preparación de pedidos y descarga del camión.
Coordinar y recepcionar camiones de congelados y enfriados según los requerimientos de reaprovisionamiento del CDT.
Revisar y validar la documentación recepcionada en relación con las materias primas y productos terminados.
Lugar de trabajo: Renca.
Modalidad: Presencial
Jornada: Art. 38
Turno noche",1,"Experiencia: 3 años de experiencia en cargos similares
Estudios: Técnico Profesional en áreas de Logística o afín."
Operario Multifuncional (turno noche) - San Bernardo,Logística,"San Bernardo, Metropolitana de Santiago",San Bernardo,Metropolitana de Santiago,2026-08-21,6116135,pf,2026-09-06,2026-09-06,0.4082,Otro Profesional,Jornada Completa,PF Alimentos,Media,Chile,2 años,2026-10-20,https://pf.trabajando.cl/trabajo-empleo/operario-multifuncional-turno-noche-san-bernardo/trabajo/6116135,En PFalimentos nos encontramos en búsqueda...,"En PFalimentos nos encontramos en búsqueda de un Operario Multifuncional (turno noche) para nuestras oficinas ubicadas en San Bernardo
Su principal misión es la de realizar el ingreso, custodia y salida para distribución de los productos en la cámara; garantizando el funcionamiento de las cámaras para asegurar la preservación de los productos, de acuerdo a los procedimientos de calidad de la empresa, con el fin de satisfacer las necesidades de los clientes.
Lugar de Trabajo: San Bernardo",2,"Formación: Enseñanza Media Completa
Experiencia: 0 a 1 año como operario de bodega o afín.
Requisitos: Licencia clase D (EN CASO DE REQUERIR CLIENTE)
Disponibilidad para trabajar en turno noche"
