title,team,location,city,state,posted_date,job_id,requisition_id,source,first_seen_date,last_seen_date,semantic_similarity,management_level,job_profile,company_name,country,url,description_short,description,requirements
Analista Marketplace(R),Área Seller Ops & Compliance,Ofi Cerro Colorado 5240 - Internet,,,2026-07-23,22820,114187,ripley,2026-07-23,2026-07-24,0.3616,GGS.-08-BACKOFFICE,Analista Marketplace,Ripley,Chile,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/22820?c=ripley,,Analista Marketplace,
Ejecutivo de Venta Producto Financiero(R),Área Comercial,Tda Quilpue (Gesic) - Nuevos Clientes,,,2026-07-23,23301,114673,ripley,2026-07-24,2026-07-24,0.335,GGS-0-RETAIL,Ejecutivo de Venta Producto Financiero,Ripley,Chile,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/23301?c=ripley,,"En
Banco Ripley Chile
, lo tenemos todo ¡Solo nos falta tu talento! 🤩
Somos un equipo diverso, ágil y colaborativo, enfocado en mejorar la experiencia de nuestros clientes a través de la innovación y una sólida cultura de servicio.
Súmate a una industria ágil y desafiante ¡Postula para ser parte de nuestro equipo!
Estamos en búsqueda de nuestro/a
Ejecutivo de Venta Producto Financiero.
Tu misión 🚀
Tu misión será principalmente la adquisición de nuevos clientes y la venta directa de productos financieros. Su rol es proactivo, trabajando en puntos estratégicos de la tienda para atraer clientes potenciales.
¿Cuáles serán tus principales desafíos? 🚀
Comercialización de Productos Financieros.
Comercialización de Productos y Promociones.
Captación de Nuevos Clientes en Sucursal.
Cumplimiento de Metas de Ventas y Captación de Clientes.
Generación de Oportunidades de Negocio.
Participación en Eventos y Campañas de Marketing.
Atención y Gestión de Consultas de Tarjetas Ripley.
Gestión de Clientes con Deudas y Regularización de Cuentas.
Gestión de Transacciones en Terminales Financieros y Cobranzas.
¿Por qué trabajar en Ripley? ❤️💜
Entendemos y nos amoldamos a tu estilo de vida, promoviendo beneficios que fomenten la flexibilidad en la manera de trabajar.
Gracias a Rworks nos conectamos desde cualquier lugar, y contamos con modernos espacios colaborativos para mantener la cohesión con nuestros equipos.
Tendrás acceso a seguros complementarios de salud, convenios con reconocidas universidades y beneficios preferenciales en Banco Ripley.
Revisa más detalles sobre vida en la empresa en nuestro LinkedIn “Ripley Chile” y ""Banco Ripley Chile"".","Manejo de herramientas ofimáticas (Microsoft Excel, Word y PowerPoint).
Manejo de sistemas CRM para la gestión y seguimiento de clientes.
Captación y fidelización de clientes.
Atención y servicio al cliente con enfoque en la satisfacción del usuario.
Manejo de bases de datos y elaboración de reportes comerciales."
Ejecutivo de Venta Producto Financiero,Área Comercial,Tda La Calera (Gesic) - Sucursales,,,2026-07-23,22620,113972,ripley,2026-07-24,2026-07-24,0.3317,GGS-0-RETAIL,Ejecutivo de Venta Producto Financiero,Ripley,Chile,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/22620?c=ripley,,"En
Banco Ripley Chile
, lo tenemos todo ¡Solo nos falta tu talento! 🤩
Somos un equipo diverso, ágil y colaborativo, enfocado en mejorar la experiencia de nuestros clientes a través de la innovación y una sólida cultura de servicio.
Súmate a una industria ágil y desafiante ¡Postula para ser parte de nuestro equipo!
Estamos en búsqueda de nuestro/a
Ejecutivo de Venta Producto Financiero.
Tu misión 🚀
Tu misión será principalmente la adquisición de nuevos clientes y la venta directa de productos financieros. Su rol es proactivo, trabajando en puntos estratégicos de la tienda para atraer clientes potenciales.
¿Cuáles serán tus principales desafíos? 🚀
Comercialización de Productos Financieros.
Comercialización de Productos y Promociones.
Captación de Nuevos Clientes en Sucursal.
Cumplimiento de Metas de Ventas y Captación de Clientes.
Generación de Oportunidades de Negocio.
Participación en Eventos y Campañas de Marketing.
Atención y Gestión de Consultas de Tarjetas Ripley.
Gestión de Clientes con Deudas y Regularización de Cuentas.
Gestión de Transacciones en Terminales Financieros y Cobranzas.
¿Por qué trabajar en Ripley? ❤️💜
Entendemos y nos amoldamos a tu estilo de vida, promoviendo beneficios que fomenten la flexibilidad en la manera de trabajar.
Gracias a Rworks nos conectamos desde cualquier lugar, y contamos con modernos espacios colaborativos para mantener la cohesión con nuestros equipos.
Tendrás acceso a seguros complementarios de salud, convenios con reconocidas universidades y beneficios preferenciales en Banco Ripley.
Revisa más detalles sobre vida en la empresa en nuestro LinkedIn “Ripley Chile” y ""Banco Ripley Chile"".","Manejo de herramientas ofimáticas (Microsoft Excel, Word y PowerPoint).
Manejo de sistemas CRM para la gestión y seguimiento de clientes.
Captación y fidelización de clientes.
Atención y servicio al cliente con enfoque en la satisfacción del usuario.
Manejo de bases de datos y elaboración de reportes comerciales."
Guardia Nocturno Ripley Osorno,Seguridad,Tda Osorno - SEGURIDAD,,,2026-07-23,23265,114587,ripley,2026-07-23,2026-07-24,0.273,GGS-0-RETAIL,Guardia Nocturno,Ripley,Chile,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/23265?c=ripley,,"En
Ripley
, lo tenemos todo ¡Solo nos falta tu talento!🤩
Somos un equipo diverso, ágil y colaborativo, enfocado en mejorar la experiencia de nuestros clientes a través de la innovación y una sólida cultura de servicio.
Súmate a una industria ágil y desafiante ¡Postula para ser parte de nuestro equipo!
Estamos en búsqueda de nuestro/a nuevo/a
Guardia Nocturno Full Time de Lunes a Viernes o Part Time sábado y domingo.
Tu misión 🚀
Tu misión es velar por el cuidado de los activos y las personas de la compañía.
Verificando en todo momento por el normal flujo de ingreso y salida de personal interno como externos de nuestras instalaciones, los cuales serán controlados según autorización de ingreso de jefaturas responsables, con dirección de circulación de áreas comprometidas y especificadas en documentación de ingreso.
¿Cuáles serán tus principales desafíos? 🚀
Informar novedades, reportando anomalías detectadas en el servicio, siendo registradas en un libro de novedades.
Evitar accidentes, corroborar que funcionarios que ocupen sus elementos de seguridad.
Verificar cierres de acceso y salidas de emergencias.
Mantener plan de enlace actualizado ante posibles emergencias.
¿Por qué trabajar en Ripley? ❤️💜
Entendemos y nos amoldamos a tu estilo de vida, promoviendo beneficios que fomenten la flexibilidad en la manera de trabajar.
Gracias a Rworks nos conectamos desde cualquier lugar, y contamos con modernos espacios colaborativos para mantener la cohesión con nuestros equipos.
Tendrás acceso a seguros complementarios de salud, convenios con reconocidas universidades y beneficios preferenciales en Banco Ripley.
Revisa más detalles sobre vida en la empresa en nuestro LinkedIn “Ripley Chile”.","¿Qué valoraremos en tu postulación?
- Enseñanza Media Completa.
- Contar con curso OS10 de Carabineros vigente
- Disponibilidad para trabajar de noche"
Asistente Servicio al Cliente Ripley Osorno,Centro de Cambios,Tda Osorno - PLATAFORMA DE S,,,2026-07-23,23249,114566,ripley,2026-07-23,2026-07-24,0.3107,GGS-06-RETAIL,Asistente Servicio Al Cliente,Ripley,Chile,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/23249?c=ripley,,"En Ripley Chile, lo tenemos todo ¡Solo nos falta tu talento! 🤩
Somos un equipo diverso, ágil y colaborativo, enfocado en mejorar la experiencia de nuestros clientes a través de la innovación y una sólida cultura de servicio.
Súmate a una industria ágil y desafiante ¡Postula para ser parte de nuestro equipo!
Estamos en búsqueda de nuestro/a Asistente Servicio al Cliente
Jornadas disponibles: Full Time, Jornada Parcial y Part Time.
Tu misión 🚀
Brindar una experiencia de calidad en atención de post venta y asegurar los flujos de omnicanalidad.
¿Cuáles serán tus principales desafíos? 🚀
Atención y Respuesta en Postventa.
Gestión de Reparaciones, Cambios y Devoluciones.
Generar nota de créditos en los casos de anulaciones.
Gestión de Alertas y Picking de Compras Online.
Empaque y Preparación de Productos para Entrega.
Coordinación de Despachos Online.
Gestión de Recepción y Entrega de Marketplace
Entrega de Documentación de Garantía al Cliente
¿Por qué trabajar en Ripley? ❤️💜
Entendemos y nos amoldamos a tu estilo de vida, promoviendo beneficios que fomenten la flexibilidad en la manera de trabajar.
Gracias a Rworks nos conectamos desde cualquier lugar, y contamos con modernos espacios colaborativos para mantener la cohesión con nuestros equipos.
Tendrás acceso a seguros complementarios de salud, convenios con reconocidas universidades y beneficios preferenciales en Banco Ripley.
Revisa más detalles sobre vida en la empresa en nuestro LinkedIn “Ripley Chile”",
Operador de Monitoreo CCTV Ripley Osorno,Seguridad,Tda Osorno - SEGURIDAD,,,2026-07-23,23243,114590,ripley,2026-07-23,2026-07-24,0.2504,GGS-06-RETAIL,Operador de Monitoreo Cctv,Ripley,Chile,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/23243?c=ripley,,"En
Ripley
, lo tenemos todo ¡Solo nos falta tu talento!🤩
Somos un equipo diverso, ágil y colaborativo, enfocado en mejorar la experiencia de nuestros clientes a través de la innovación y una sólida cultura de servicio.
Súmate a una industria ágil y desafiante ¡Postula para ser parte de nuestro equipo!
Estamos en búsqueda de nuestro/a nuevo/a
Operador de Monitoreo CCTV
Jornada de trabajo disponible Full Time y Part Time.
Tu misión 🚀
Tu misión será controlar y reaccionar oportunamente ante situaciones de emergencia, en consecuencia, debe permanecer alerta y concentrado para atender y observar cámaras de vigilancia, y adoptar las medidas de protocolo establecidas, con el objetivo de evitar un eventual delito o cualquier hecho irregular que afecte a los colaboradores, clientes y al patrimonio de la empresa.
¿Cuáles serán tus principales desafíos? 🚀
Monitoreo de central de televigilancia.
Reporte y coordinación de turnos.
Mantener la comunicación con central de radio y equipo de seguridad.
Cumplimiento de protocolos de seguridad.
Realizar controles transaccionales.
Revisión de CCTV y apoyo en Investigaciones.
Apoyo en seguridad y control de incidentes.
Suplencia de jefe de seguridad.
¿Por qué trabajar en Ripley? ❤️💜
Entendemos y nos amoldamos a tu estilo de vida, promoviendo beneficios que fomenten la flexibilidad en la manera de trabajar.
Gracias a Rworks nos conectamos desde cualquier lugar, y contamos con modernos espacios colaborativos para mantener la cohesión con nuestros equipos.
Tendrás acceso a seguros complementarios de salud, convenios con reconocidas universidades y beneficios preferenciales en Banco Ripley.
Revisa más detalles sobre vida en la empresa en nuestro LinkedIn “Ripley Chile”.","¿Qué valoraremos en tu postulación? 🎯
- Enseñanza media completa.
- Capacidad de trabajar bajo presión, por ejemplo ante situaciones de emergencia
- Curso Vigente de Monitoreo de Cámaras."
Guardia de Seguridad Ripley Osorno,Seguridad,Tda Osorno - SEGURIDAD,,,2026-07-23,23202,114580,ripley,2026-07-23,2026-07-24,0.2309,GGS-0-RETAIL,Guardia Interno Tiendas,Ripley,Chile,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/23202?c=ripley,,"En Ripley Chile, lo tenemos todo ¡Solo nos faltas tú!
Estamos en búsqueda de Guardias de Seguridad para nuestra tienda ubicada en Osorno.
Tenemos disponibles turnos rotativos Full Time jornada 4x3 y Part Time sábados y domingo.
¿Por qué trabajar en Ripley?
Porque nos preocupamos por nuestros/as trabajadores/as y velamos por su bienestar y comodidad dentro de nuestra empresa y contamos con los siguientes beneficios:
- Cuenta Vista en Banco Ripley sin costo de mantención y sin tope de dinero, entre otros beneficios bancarios.
- Descuentos en tiendas Ripley.
- Recreación: Descuentos en diferentes centros de servicios, restaurantes y locales comerciales.
- Tiempo libre para que impulses el equilibro entre tu vida laboral y personal.
- Educación: Convenios con Instituciones Educacionales y becas de estudios (sujetas a concurso interno).
- Salud: Seguro Complementario de Salud.
- Otros: Convenio con caja de compensación.
Tu misión será velar por los activos e instalaciones de la Compañía, evitando fraudes y hurtos que vulneren los sistemas existentes, resguardando los procedimientos y protocolos establecidos.
¿Qué valoraremos en tu postulación?
- Enseñanza Media Completa.
- Contar con curso OS10 de Carabineros vigente.",
Administrativo de Tesorería Ripley Osorno,Tesorería,Tda Osorno - TESORERIA,,,2026-07-23,22989,114357,ripley,2026-07-23,2026-07-24,0.3109,GGS-06-RETAIL,Administrativo de Tesorería Sucursal,Ripley,Chile,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/22989?c=ripley,,"En Ripley Chile, lo tenemos todo ¡Solo nos faltas tú!
Estamos en búsqueda de Administrativos/as de Tesorería jornada Full Time para nuestra tienda ubicada en Osorno 🦾
¿Por qué trabajar en Ripley? ❤️💜💛
Porque nos preocupamos por nuestros/as trabajadores/as y velamos por su bienestar y comodidad dentro de nuestra empresa y contamos con los siguientes beneficios:
Cuenta Vista en Banco Ripley sin costo de mantención y sin tope de dinero, entre otros beneficios bancarios.
Descuentos en tiendas Ripley.
Recreación: Descuentos en diferentes centros de servicios, restaurantes y locales comerciales.
Tiempo libre para que impulses el equilibro entre tu vida laboral y personal.
Educación: Convenios con Instituciones Educacionales y becas de estudios (sujetas a concurso interno).
Salud: Seguro Complementario de Salud.
Otros: Convenio con caja de compensación.
Tu misión será colaborar en las distintas actividades operativas del departamento de tesorería, contribuyendo así a la funcionamiento y seguridad de la tienda, de acuerdo con los protocolos, procedimientos y normativa establecidos por Ripley. 🌟
¿Qué valoraremos en tu postulación? 🎯
- Enseñanza Media Completa.
- Deseable experiencia trabajando con valores.
- Facilidad para aprender procesos de tesorería.
- Habilidad para mantener buenas relaciones interpersonales.
- Tener precisión, cuidado e iniciativa en las tareas realizadas.
- Habilidades comunicacionales y de colaboración entre los pares.",
Asistente de Visual Ripley Osorno,Visual,Tda Osorno - VISUAL,,,2026-07-23,22986,114360,ripley,2026-07-23,2026-07-24,0.2224,GGS-06-RETAIL,Asistente de Visual,Ripley,Chile,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/22986?c=ripley,,"En Ripley Chile, lo tenemos todo ¡Solo nos falta tu talento! 🤩
Somos un equipo diverso, ágil y colaborativo, enfocado en mejorar la experiencia de nuestros clientes a través de la innovación y una sólida cultura de servicio.
Súmate a una industria ágil y desafiante ¡Postula para ser parte de nuestro equipo!
Estamos en búsqueda de nuestro/a Asistente de Visual
Tu misión 🚀
Procurar la correcta disposición de las vitrinas y de la exhibición de los distintos artículos en la tienda para incentivar al cliente a que compre en la tienda.
¿Cuáles serán tus principales desafíos? 🚀
Realizar vitrinas correctamente según lo dispuesto en las pautas dadas en la gerencia visual.
Mostrar los artículos disponibles en cada uno de los departamentos de la tienda para que así el cliente los conozca y la vitrina se acomoda a la realidad de cada tienda.
Exhibir o mostrar distintos artículos, según el ordenamiento establecido, en cada uno de los departamentos, que pertenecen a esa área y que inciden directamente en la percepción del público.
Colocar publicidad escrita al interior de la tienda para cada evento, evitando que se exhiba cualquier promoción de un evento anterior.
Limpiar la ambientación, exhibición y decoración en altura que se encuentra de la tienda.
¿Por qué trabajar en Ripley? ❤️💜
Entendemos y nos amoldamos a tu estilo de vida, promoviendo beneficios que fomenten la flexibilidad en la manera de trabajar.
Gracias a Rworks nos conectamos desde cualquier lugar, y contamos con modernos espacios colaborativos para mantener la cohesión con nuestros equipos.
Tendrás acceso a seguros complementarios de salud, convenios con reconocidas universidades y beneficios preferenciales en Banco Ripley.
Revisa más detalles sobre vida en la empresa en nuestro LinkedIn “Ripley Chile”",
Asistente Comercial JP 25,Asistentes Comerciales,Tda Costanera Center (Gesic) - Sucursales,,,2026-07-23,21858,113188,ripley,2026-07-24,2026-07-24,0.3188,GGS-0-RETAIL,Asistente Comercial Jp 25,Ripley,Chile,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/21858?c=ripley,,"En Banco Ripley Chile, lo tenemos todo ¡Solo nos falta tu talento! 🤩
Somos un equipo diverso, ágil y colaborativo, enfocado en mejorar la experiencia de nuestros clientes a través de la innovación y una sólida cultura de servicio.
Súmate a una industria ágil y desafiante ¡Postula para ser parte de nuestro equipo! Estamos en búsqueda de nuestro/a Asistente Comercial.
Tu misión 🚀
Tu misión será, ser responsable de la atención de clientes en el Centro de Servicios y de la venta de los productos financieros, bajo los estándares de calidad y servicios exigidos por la empresa.
¿Cuáles serán tus principales desafíos? 🚀
- Atención al Cliente en requerimientos de servicio referido a la tarjeta ripley (Estado de cuenta, consulta de pagos, entre otros).
- Ofrecer los distintos productos financieros que ofrece el banco.
- Atención de requerimientos en CCSS.
- Gestión comercial y venta de productos financieros.
- Soporte y gestión de información de servicios CCSS.
- Cumplimiento de estándares de presentación personal.
¿Por qué trabajar en Ripley? ❤️💜
Entendemos y nos amoldamos a tu estilo de vida, promoviendo beneficios que fomenten la flexibilidad en la manera de trabajar.
Gracias a Rworks nos conectamos desde cualquier lugar, y contamos con modernos espacios colaborativos para mantener la cohesión con nuestros equipos.
Tendrás acceso a seguros complementarios de salud, convenios con reconocidas universidades y beneficios preferenciales en Banco Ripley.
Revisa más detalles sobre vida en la empresa en nuestro LinkedIn “Ripley Chile” y ""Banco Ripley Chile"".","Manejo de herramientas ofimáticas (Microsoft Excel, Word y PowerPoint).
Manejo de sistemas CRM para la gestión y seguimiento de clientes.
Captación y fidelización de clientes.
Atención y servicio al cliente con enfoque en la satisfacción del usuario.
Manejo de bases de datos y elaboración de reportes comerciales."
