title,team,location,city,state,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,worker_type,schedule_type,company_name,education,country,experience_level,application_deadline,url,description_short,description,vacancies,requirements
Aprendiz Jefe/a de Local - Iquique - $650.000.-,Otra Área,"Iquique, Tarapacá",Iquique,Tarapacá,2026-09-04,6111784,smu,2026-09-06,2026-09-06,0.3905,Otro Profesional,Jornada Completa,SMU,Técnico profesional superior,Chile,,2026-10-10,https://smu.trabajando.cl/trabajo-empleo/aprendiz-jefe-a-de-local-iquique-650-000/trabajo/6111784,🚀 ¡Súmate a SMU y desarrolla tu carrera...,"🚀 ¡Súmate a SMU y desarrolla tu carrera como Jefe/a de Local!
En SMU buscamos personas con motivación por liderar equipos y crecer profesionalmente para participar en nuestro programa de formación Jefe/a de Local , orientado a nuestros distintos formatos de negocio en Iquique.
A través de este programa, recibirás capacitación y entrenamiento práctico para adquirir las herramientas necesarias que te permitirán desempeñarte exitosamente en el cargo.
Al finalizar el proceso, estarás preparado/a para:
Coordinar y supervisar la operación integral del local.
Gestionar estándares de funcionamiento, abastecimiento y control de stock.
Liderar y administrar equipos de trabajo.
Contribuir al cumplimiento de metas operacionales y comerciales.
Velar por la eficiencia operativa y el cumplimiento de normas establecidas.
💡 Si te apasiona el liderazgo, el trabajo en equipo y quieres proyectarte en el rubro supermercadista, esta es tu oportunidad.
¡Postula y sé parte de SMU!",1,"-No requiere experiencia laboral.
-Título Técnico Superior / Profesional en Administración, Área Logística o carrera afín.
-Disponibilidad para trabajo en equipo.
¡¡Te estamos esperando!!"
Aprendiz Jefe/a de Local - Antofagasta - $650.000.-,Otra Área,"Antofagasta, Antofagasta",Antofagasta,Antofagasta,2026-09-04,6111777,smu,2026-09-06,2026-09-06,0.3637,Otro Profesional,Jornada Completa,SMU,Técnico profesional superior,Chile,,2026-10-10,https://smu.trabajando.cl/trabajo-empleo/aprendiz-jefe-a-de-local-antofagasta-650-000/trabajo/6111777,🚀 ¡Súmate a SMU y desarrolla tu carrera...,"🚀 ¡Súmate a SMU y desarrolla tu carrera como Jefe/a de Local!
En SMU buscamos personas con motivación por liderar equipos y crecer profesionalmente para participar en nuestro programa de formación Jefe/a de Local , orientado a nuestros distintos formatos de negocio en Antofagasta.
A través de este programa, recibirás capacitación y entrenamiento práctico para adquirir las herramientas necesarias que te permitirán desempeñarte exitosamente en el cargo.
Al finalizar el proceso, estarás preparado/a para:
Coordinar y supervisar la operación integral del local.
Gestionar estándares de funcionamiento, abastecimiento y control de stock.
Liderar y administrar equipos de trabajo.
Contribuir al cumplimiento de metas operacionales y comerciales.
Velar por la eficiencia operativa y el cumplimiento de normas establecidas.
💡 Si te apasiona el liderazgo, el trabajo en equipo y quieres proyectarte en el rubro supermercadista, esta es tu oportunidad.
¡Postula y sé parte de SMU!",1,"-No requiere experiencia laboral.
-Título Técnico Superior / Profesional en Administración, Área Logística o carrera afín.
-Disponibilidad para trabajo en equipo.
¡¡Te estamos esperando!!"
Aprendiz Jefe/a de Local - Calama - $650.000.-,Otra Área,"Calama, Antofagasta",Calama,Antofagasta,2026-09-04,6111780,smu,2026-09-06,2026-09-06,0.3924,Otro Profesional,Jornada Completa,SMU,Técnico profesional superior,Chile,,2026-10-10,https://smu.trabajando.cl/trabajo-empleo/aprendiz-jefe-a-de-local-calama-650-000/trabajo/6111780,🚀 ¡Súmate a SMU y desarrolla tu carrera...,"🚀 ¡Súmate a SMU y desarrolla tu carrera como Jefe/a de Local!
En SMU buscamos personas con motivación por liderar equipos y crecer profesionalmente para participar en nuestro programa de formación Jefe/a de Local , orientado a nuestros distintos formatos de negocio en Calama.
A través de este programa, recibirás capacitación y entrenamiento práctico para adquirir las herramientas necesarias que te permitirán desempeñarte exitosamente en el cargo.
Al finalizar el proceso, estarás preparado/a para:
Coordinar y supervisar la operación integral del local.
Gestionar estándares de funcionamiento, abastecimiento y control de stock.
Liderar y administrar equipos de trabajo.
Contribuir al cumplimiento de metas operacionales y comerciales.
Velar por la eficiencia operativa y el cumplimiento de normas establecidas.
💡 Si te apasiona el liderazgo, el trabajo en equipo y quieres proyectarte en el rubro supermercadista, esta es tu oportunidad.
¡Postula y sé parte de SMU!",1,"-No requiere experiencia laboral.
-Título Técnico Superior / Profesional en Administración, Área Logística o carrera afín.
-Disponibilidad para trabajo en equipo.
¡¡Te estamos esperando!!"
Aprendiz Jefe/a de Local - Copiapó - $650.000.-,Otra Área,"Copiapó, Atacama",Copiapó,Atacama,2026-09-04,6111775,smu,2026-09-06,2026-09-06,0.3782,Otro Profesional,Jornada Completa,SMU,Técnico profesional superior,Chile,,2026-10-10,https://smu.trabajando.cl/trabajo-empleo/aprendiz-jefe-a-de-local-copiapo-650-000/trabajo/6111775,🚀 ¡Súmate a SMU y desarrolla tu carrera...,"🚀 ¡Súmate a SMU y desarrolla tu carrera como Jefe/a de Local!
En SMU buscamos personas con motivación por liderar equipos y crecer profesionalmente para participar en nuestro programa de formación Jefe/a de Local , orientado a nuestros distintos formatos de negocio en Copiapó.
A través de este programa, recibirás capacitación y entrenamiento práctico para adquirir las herramientas necesarias que te permitirán desempeñarte exitosamente en el cargo.
Al finalizar el proceso, estarás preparado/a para:
Coordinar y supervisar la operación integral del local.
Gestionar estándares de funcionamiento, abastecimiento y control de stock.
Liderar y administrar equipos de trabajo.
Contribuir al cumplimiento de metas operacionales y comerciales.
Velar por la eficiencia operativa y el cumplimiento de normas establecidas.
💡 Si te apasiona el liderazgo, el trabajo en equipo y quieres proyectarte en el rubro supermercadista, esta es tu oportunidad.
¡Postula y sé parte de SMU!",1,"-No requiere experiencia laboral.
-Título Técnico Superior / Profesional en Administración, Área Logística o carrera afín.
-Disponibilidad para trabajo en equipo.
¡¡Te estamos esperando!!"
Supervisor(a) de Cajas Part Time 30 hrs-Unimarc Gran Avenida,Otra Área,"La Cisterna, Metropolitana de Santiago",La Cisterna,Metropolitana de Santiago,2026-09-03,6120954,smu,2026-09-06,2026-09-06,0.3985,Asistente,Jornada Completa,Unimarc,Media,Chile,1 años,2026-03-10,https://smu.trabajando.cl/trabajo-empleo/supervisor-a-de-cajas-part-time-30-hrs-unimarc-gran-avenida/trabajo/6120954,Porque te necesitamos a ti y buscamos...,"Porque te necesitamos a ti y buscamos a los mejores, Supermercado Unimarc, requiere contratar a personas con deseable experiencia, para desempeñarse en el cargo de supervisor de caja Full Time Para nuestro local ubicado en Gran Avenida. Dentro de sus funciones se encuentran las de supervisar el buen funcionamiento del frente de cajas, prestando apoyo a cajeras y entregando soluciones efectivas a los clientes.
Buscamos personas con experiencia desde 1 año en Cajas o supervision, que tengan experiencia en cuadratura de Cajas, Arqueos, etc
Jornada:
Lunes a Domingos turnos rotativos 6x1 o 5x2 con 2 Domingos libres al mes.
Siendo parte de nuestra empresa puedes acceder a grandes beneficios entre los cuales destacamos: - Seguro complementario de salud - Múltiples beneficios en Ópticas, farmacias, educación, etc.",1,"Enseñanza media completa
Buscamos personas con experiencia desde 1 año en Cajas o supervision, que tengan experiencia en cuadratura de Cajas, Arqueos, etc"
Arquitecto(a) Datos y Analítica,Otra Área,"Las Condes, Metropolitana de Santiago",Las Condes,Metropolitana de Santiago,2026-09-03,6120924,smu,2026-09-06,2026-09-06,0.3535,Especialista,Jornada Completa,SMU,Universitaria,Chile,5 años,2026-03-10,https://smu.trabajando.cl/trabajo-empleo/arquitecto-a-datos-y-analitica/trabajo/6120924,¿Quieres formar parte de la red de...,"¿Quieres formar parte de la red de Supermercados más grande de Chile?😃
En SMU queremos que te integres a nuestro equipo de trabajo. Te invitamos a conocernos y unirte a nosotros. Ofrecemos un grato ambiente laboral, donde podrás desarrollarte y crecer de forma permanente, y además un espacio de cercanía y colaboración que distingue a nuestra Compañía.
En esta oportunidad estamos en búsqueda de un/a Arquitecto(a) de Datos y Analítica, quien tendrá la misión de diseñar y supervisar la arquitectura de datos corporativa, asegurando que sea escalable, segura, gobernada y alineada con las necesidades del negocio, para contribuir al desarrollo de una infraestructura de datos moderna que permita el análisis avanzado, la eficiencia operativa y la innovación tecnológica en toda la Organización.
El cargo es parte de la Gerencia Corporativa Tecnología y Digital, participando en el diseño, evolución y supervisión de una arquitectura de datos modular y sostenible que integre distintas fuentes y dominios y habilite el acceso controlado a los datos. Opera en contextos híbridos y cloud (on-premise, cloud, multi-cloud), con foco en habilitar flujos de datos eficientes, gobernados y adaptables a múltiples casos de uso. Es referente técnico para los equipos de Datos y de cara a otros equipos, participando en la definición de lineamientos, procesos de evaluación de nuevas tecnologías y acompañando proyectos clave en materias de su competencia.
Mantiene estrecha relación con equipos de Ingeniería de Datos, BI, Analítica Avanzada, Arquitectura Tecnológica, Ciberseguridad y Gobierno de datos, así como con empresas proveedoras de servicios tecnológicos, plataformas cloud, soluciones de integración, almacenamiento de datos y consultoras especializadas en arquitectura de datos y transformación digital.
Dentro de sus principales funciones, están:
Proyectar la estrategia y el roadmap de la arquitectura de datos, evaluando e incorporando nuevas tecnologías y plataformas cloud (AWS, Azure, GCP).
Diseñar y gobernar la arquitectura de datos end-to-end, incluyendo Data Warehouse, Data Lakes y plataformas Lakehouse.
Implementar y escalar la arquitectura Medallion (Bronze, Silver, Gold) para optimizar la ingesta, el procesamiento y el consumo de datos.
Establecer patrones de integración de datos (ETL/ELT, streaming en tiempo real, APIs) desde múltiples fuentes de origen.
Supervisar el modelado de datos y definir los estándares de Data Governance, calidad de datos (Data Quality) y seguridad de la información.
Habilitar las capacidades de BI y Analítica Avanzada, diseñando la infraestructura necesaria para el consumo de reportes, visualizaciones y modelos de Machine Learning.
Ejercer liderazgo técnico con equipos de ingeniería de datos y colaborar estrechamente con stakeholders del negocio para traducir sus necesidades en soluciones técnicas.
Esperamos tu postulación!!!
En SMU trabajamos por gestionar un ambiente inclusivo y equitativo para todas las personas. Apoyamos y promovemos la Ley N°21.015 de Inclusión Laboral y estamos certificados en la Norma Chilena NCh: 3262, de Gestión de igualdad de género y conciliación de la vida laboral, familiar y personal, por lo que todas nuestras oportunidades laborales están abiertas a la participación universal de personas, indistintamente de su género o condición de discapacidad.",1,"Formación y título profesional en ingeniería Informática o carreras afines
Experiencia de al menos 5 años en:
Herramientas, tecnologías y servicios para analítica, transformación, almacenamiento y consumo de datos en la nube
Experiencia en diseño e implementación de Data Lakes, Data Warehouses y arquitecturas híbridas Lakehouse a gran escala.
Definición e implementación de marcos de Gobierno de Datos, incluyendo gestión de metadatos, linaje de datos y aseguramiento de calidad (Data Quality).
Patrones de integración de datos, desde ETL/ELT batch hasta ingesta en tiempo real (ej. Kafka, Kinesis, Event Hubs).
Capacidad para diseñar la infraestructura que soporta el autoservicio de Business Intelligence (ej. Power BI, Tableau, Looker) y los ciclos de vida de Machine Learning (MLOps), asegurando que los datos estén listos para el consumo analítico avanzado.
Deseable certficación GCP Professional Data Engineer o equivalente"
Analista FinOps,Otra Área,"Las Condes, Metropolitana de Santiago",Las Condes,Metropolitana de Santiago,2026-09-03,6121086,smu,2026-09-06,2026-09-06,0.3813,Analista,Jornada Completa,SMU,Universitaria,Chile,2 años,2026-02-11,https://smu.trabajando.cl/trabajo-empleo/analista-finops/trabajo/6121086,¿Quieres formar parte de la red de...,"¿Quieres formar parte de la red de Supermercados más grande de Chile?😃
En SMU queremos que te integres a nuestro equipo de trabajo. Te invitamos a conocernos y unirte a nosotros. Ofrecemos un grato ambiente laboral, donde podrás desarrollarte y crecer de forma permanente, y además un espacio de cercanía y colaboración que distingue a nuestra Compañía.
En esta oportunidad estamos en búsqueda de un/a Analista FinOps, quien tendrá la misión de Gestionar y optimizar los aspectos financieros de la infraestructura en la nube de la empresa, asegurando la alineación entre las operaciones tecnológicas y los objetivos financieros. Garantizar la eficiencia en los costos, la visibilidad financiera y la planificación estratégica dentro del contexto de las finanzas operativas en la nube.
Dentro de sus principales funciones, están:
Gestión Financiera de la Nube:
Monitorear y analizar el gasto en servicios de la nube Google Cloud, lo que implica la revisión continua de los recursos y servicios utilizados, elaborando y actualizando periódicamente informes de costos y del consumo de la infraestructura en la nube, con el fin de aportar al cumplimiento del presupuesto.
Presentar informes de desempeño financiero de la nube a la gerencia y otros equipos clave. Traducir datos financieros técnicos a informes comprensibles para los stakeholders no técnicos.
Utilizar herramientas de gestión financiera en la nube como CloudHealth, CloudCheckr, AWS Cost Explorer, entre otras, para el monitoreo y análisis de los costos.
Mantenerse al día con las tendencias de la industria y las mejores prácticas de FinOps para optimizar los procesos.
Planificación y Presupuestación:
Colaborar con los equipos de tecnología y operaciones en la creación de presupuestos anuales y estimaciones de costos de la infraestructura en la nube para aportar a que las proyecciones de costos de la nube estén alineadas con las necesidades del negocio.
Establecer y controlar métricas clave de rendimiento (KPIs) para el uso de la nube.
Optimización de Costos:
Proponer estrategias para reducir costos sin comprometer el rendimiento o la seguridad.
Implementar y gestionar iniciativas de ahorro de costos, como la reserva de instancias, la gestión de capacidades o el ajuste de arquitecturas.
Realizar auditorías periódicas para detectar posibles desviaciones en los costos y tomar medidas correctivas.
Cumplimiento y Gobernanza
Elaborar y mantener procedimientos y controles internos para la gestión de los costos en la nube según las políticas financieras y de seguridad en la nube de la Compañía.
Condiciones y beneficios
Modalidad full presencial en sector Oriente de Santiago (hoy estamos en Las Condes, metro Manquehue, pero el próximo año nos mudaremos a oficinas ubicadas en Providencia, metro Pedro de Valdivia)
Seguros de salud
Bono anual
Medidas de conciliación
Descuentos en compras
Entre otros
Esperamos tu postulación!!!
En SMU trabajamos por gestionar un ambiente inclusivo y equitativo para todas las personas. Apoyamos y promovemos la Ley N°21.015 de Inclusión Laboral y estamos certificados en la Norma Chilena NCh: 3262, de Gestión de igualdad de género y conciliación de la vida laboral, familiar y personal, por lo que todas nuestras oportunidades laborales están abiertas a la participación universal de personas, indistintamente de su género o condición de discapacidad.",1,"Título universitario en Finanzas, Contabilidad, Ingeniería Industrial, Sistemas, o carreras afines.
2 a 3 años de experiencia en un rol similar, idealmente en entornos de tecnología y/o infraestructura en la nube (de preferencia Google Cloud).
Conocimiento profundo de plataformas en la nube (de preferencia Google Cloud).
Experiencia con herramientas de gestión financiera en la nube, familiaridad con presupuestación y gestión de costos en entornos de TI.
Habilidades en programación o automatización de procesos (Python, SQL, etc.).
Disponibilidad para trabajo full presencial.
Deseable: Certificación en FinOps o similar."
Operadores (as) de Sala Ventas Alvi Part Time 30 hrs San Ramón,Otra Área,"San Ramón, Metropolitana de Santiago",San Ramón,Metropolitana de Santiago,2026-09-02,6120654,smu,2026-09-06,2026-09-06,0.3883,Asistente,Jornada Completa,Alvi,Media,Chile,,2026-02-10,https://smu.trabajando.cl/trabajo-empleo/operadores-as-de-sala-ventas-alvi-part-time-30-hrs-san-ramon/trabajo/6120654,Porque te necesitamos a ti y buscamos...,"Porque te necesitamos a ti y buscamos a los mejores, Supermercado Mayorista Alvi, requiere contratar personas con deseable experiencia en nuestra sucursal ubicads en la comuna de San Ramón.
Jornada Part Time 30 hrs/ 6x1 o 5x2 Lunes a Domingos turnos rotativos con 2 Domingos libres al mes
Dentro de sus funciones se encuentra Mantener un adecuado stock y orden de productos de calidad en sala y bodega, velando por la seguridad de la mercadería, además de controlar mermas y brecha, con la finalidad de asegurar el mínimo de perdidas.
Siendo parte de nuestra empresa puedes acceder a grandes beneficios entre los cuales destacamos: - Seguro complementario de salud - Múltiples beneficios en Ópticas, farmacias, educación, etc.
¡No te pierdas la oportunidad de pertenecer a una gran empresa!",1,Enseñanza media completa
Planogramador(a),Otra Área,"Providencia, Metropolitana de Santiago",Providencia,Metropolitana de Santiago,2026-09-01,6120092,smu,2026-09-06,2026-09-06,0.3762,Otro Profesional,Jornada Completa,SMU,Técnico profesional superior,Chile,2 años,2026-01-10,https://smu.trabajando.cl/trabajo-empleo/planogramador-a/trabajo/6120092,¿Quieres formar parte de la red de...,"¿Quieres formar parte de la red de Supermercados más grande de Chile? 😀
En SMU queremos que te integres a nuestro equipo de trabajo. Te invitamos a conocernos y unirte a nosotros. Ofrecemos un grato ambiente laboral, donde podrás desarrollarte y crecer de forma permanente, y además un espacio de cercanía y colaboración que distingue a nuestra Compañía. En esta oportunidad estamos en búsqueda de un/a nuevo/a Planogramador(a).
¿De qué es responsable este cargo?
Realizar el proceso de preparación, revisión e implementación de planograma en las salas de venta según las indicaciones recibidas, así también revisar y realizar el reporte de información y datos relacionados con su área (abastecimiento, métricas, revisión de categoría, espacios, ajustes, segmento, proveedores, etc), asegurando la distribución de productos en espacio de exhibición de manera que cumpla con los compromisos y metas fijados por el área, en beneficio de la rentabilidad del negocio y cumpliendo con el estándar de calidad y servicio definido por SMU.
¿En qué consisten sus funciones?
Realizar la confección, mantención y posterior presentación del planograma definido por su Jefatura.
Participar en el proceso de seguimiento, registro y revisión de categoría, mínimos de exhibición, cubicación, indicadores y modulación, así generar una propuesta de aplicación y/o mejoras según disponibilidad de espacio asignado.
Preparar, revisar y ejecutar la entrega de reportes según los datos y elementos solicitados por la jefatura, así también revisar indicadores de confección de planograma, DOH (días de inventario), vencimientos, asignación de porcentaje de marcas propias.
Realizar la revisión y levantamiento de modulaciones sobre la información registrada v/s realizada, así también realizar un ajuste de catalogación en caso de discordancia respecto de sala, a través de la creación de planillas para cambios.
Apoyar al equipo de locales en la orientación y forma de exhibición de productos en góndola u otros.
Requisitos
Título Técnico profesional en áreas de la ingeniería.
Al menos 2 años de experiencia en el cargo.
Conocimiento en herramientas de planogramación.
Deseable experiencia en retail.
Deseable conocimiento en SAP.
Esperamos tu postulación!!!
En SMU S.A. apoyamos y promovemos la Ley N°21.015 de Inclusión Laboral. Además nos encontramos certificados en la Norma Chilena NCh: 3262, de Gestión de igualdad de género y conciliación de la vida laboral, familiar y personal. Por esta razón queremos destacar que todas nuestras oportunidades laborales están abiertas a personas con discapacidad , y sin ningún tipo de distinción ni discriminación por género. En SMU, nos esforzamos por gestionar una ambiente inclusivo y equitativos para todas las personas.",1,"Título Técnico profesional en áreas de la ingeniería.
Al menos 2 años de experiencia en el cargo.
Conocimiento en herramientas de planogramación.
Deseable experiencia en retail.
Deseable conocimiento en SAP."
Ingeniero(a) de Seguridad TI,Otra Área,"Santiago, Metropolitana de Santiago",Santiago,Metropolitana de Santiago,2026-09-01,6119950,smu,2026-09-06,2026-09-06,0.4044,Ingeniero,Jornada Completa,SMU,Universitaria,Chile,4 años,2026-01-10,https://smu.trabajando.cl/trabajo-empleo/ingeniero-a-de-seguridad-ti/trabajo/6119950,"Importante Compañía de consumo masivo,...","Importante Compañía de consumo masivo, coligada de SMU, requiere incorporar a su área de Tecnología a un(a) Ingeniero(a) de Seguridad TI, quien tendrá la misión de preparar y asistir los proyectos de seguridad e incorporar los estándares de ciberseguridad en el diseño de soluciones, gestionando con sus distintos equipos de implementación y operación o sus proveedores, con el propósito de contribuir a la entrega de prácticas y procesos, tanto para el diseño en el mediano y largo plazo de los sistemas de información y herramientas tecnológicas.
Dentro de sus principales funciones estarán:
Diseñar y proponer mejoras continuamente la arquitectura de seguridad informática, minimizando riesgos tecnológicos.
Evaluar y participar en la definición de los requisitos de seguridad de sistemas para nuevas implementaciones.
Diseñar y supervisar la implementación de medidas de seguridad para la protección de los sistemas informáticos, las redes y la información.
Administrar y operar soluciones de seguridad que mitiguen las vulnerabilidades de los sistemas.
Proponer constantemente mejora continua en la explotación de los sistemas de seguridad.
Preparar y registrar los procedimientos y protocolos operativos estándares para aportar a la continuidad y estandarización de las metodologías de trabajo.
Asistir y asesorar en el cumplimiento de procesos y estándares definidos en las soluciones tecnológicas de la Empresa con una visión integral de Seguridad.
Requisitos:
Título profesional de carreras de al menos 8 semestres de duración en áreas TI (excluyente).
Diplomado en seguridad o ciberseguridad o alguna certificación acorde al cargo.
4 años de experiencia liderando Proyectos de Seguridad/Ciberseguridad.
4 años de experiencia en diseño, implementación y/o administración de plataformas TI o redes y sistemas de ciberseguridad.",1,"Requisitos:
Título profesional de carreras de al menos 8 semestres de duración en áreas TI (excluyente).
Diplomado en seguridad o ciberseguridad o alguna certificación acorde al cargo.
4 años de experiencia liderando Proyectos de Seguridad/Ciberseguridad
4 años de experiencia en diseño, implementación y/o administración de plataformas TI o redes y sistemas de ciberseguridad."
