title,team,location,city,state,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,worker_type,schedule_type,company_name,education,country,experience_level,application_deadline,url,description_short,description,vacancies,requirements
Técnico/a Mecánico - San Bernardo - Turnos Rotativos,Mantención,"San Bernardo, Metropolitana de Santiago",San Bernardo,Metropolitana de Santiago,2026-07-24,6105683,soprole,2026-07-24,2026-07-24,0.3188,Otro Profesional,Jornada Completa,Soprole,Técnico medio/ colegio técnico,Chile,2 años,2026-08-23,https://soprole.trabajando.cl/trabajo-empleo/tecnico-a-mecanico-san-bernardo-turnos-rotativos/trabajo/6105683,¡Ven a Nutrir Sonrisas! En Soprole...,"¡Ven a Nutrir Sonrisas!
En Soprole somos apasionados por crear sonrisas con productos ricos y nutritivos para ti 😄🥛.
Buscamos integrar un Técnico de Mantenimiento para el área de Operaciones, quien será responsable de mantener máquinas industriales y equipos en condiciones óptimas, mediante una buena planificación de trabajo, asegurando la disponibilidad continua de la operación de los equipos con altos estándares de seguridad y calidad.
Las funciones principales serán
Revisar posibles anomalías en máquinas productivas
Realizar mantenciones planificadas según cronograma
Realizar chequeos diarios y semanales de los equipos
Mantenimientos preventivos, correctivos y diagnósticos de máquinas
Entre otras labores
Requisitos:
Disponibilidad para realizar turnos rotativos
Tener formación o estudios en mecánica industrial o electromecánica
Conocimiento y experiencia con máquinas industriales
PARA HACER EFECTIVA TU POSTULACIÓN, CONTINÚA EN LA PLATAFORMA GENOMA",2,"Requisitos:
Disponibilidad para realizar turnos rotativos
Tener formación o estudios en mecánica industrial o electromecánica
Conocimiento y experiencia con máquinas industriales
Trabajo en Altura Física"
Auditor de Inventarios - Osorno,Otra Área,"Osorno, Los Lagos",Osorno,Los Lagos,2026-07-22,6104779,soprole,2026-07-22,2026-07-24,0.3142,Auditor,Jornada Completa,Soprole,Universitaria,Chile,1 años,2026-09-20,https://soprole.trabajando.cl/trabajo-empleo/auditor-de-inventarios-osorno/trabajo/6104779,¡Ven a Sonreír! En Soprole somos apasionados...,"¡Ven a Sonreír!
En Soprole somos apasionados por crear sonrisas con productos ricos y nutritivos para ti 😄🥛
Buscamos integrar un/a Auditor de Inventarios para nuestro equipo de Auditoria. Su principal responsabilidad será ejecutar auditorías de inventario físico y de cumplimiento en bodegas, plantas y centros de distribución, utilizando herramientas SAP y WMS HighJump. Deberá validar la existencia, integridad y exactitud de los inventarios, aplicando procedimientos estandarizados definidos por la función de auditoría interna. Asimismo, contribuirá a la detección de pérdidas, el control de stock y la mejora de la trazabilidad de productos.
Las principales funciones del cargo son:
Ejecutar inventarios físicos (generales y cíclicos), levantando y analizando diferencias entre inventario físico y sistémico, con su respectivo respaldo.
Validar y analizar movimientos en sistemas (SAP y WMS), asegurando consistencia entre registros y operación en terreno.
Realizar auditorías operativas en bodegas, verificando cumplimiento de procesos, identificando desviaciones y haciendo seguimiento a planes de acción.
Controlar procesos críticos como sellos de camiones, rechazos y devoluciones.
Elaborar reportes de auditoría, documentando hallazgos, cuantificando impactos y proponiendo mejoras.
Monitorear inventarios, tránsitos y centros de distribución, generando informes periódicos de control y desviaciones.
Desarrollar y hacer seguimiento de indicadores (KPIs) para el control y mejora de los procesos.
Entre otras.
Requisitos
Formación académica: Contabilidad, Contador Auditor, Ingeniero en Logística y carreras afines
Conocimientos claves: Conocimientos en SAP y conocimientos en WMS (deseable)
Experiencia: 1-2 años de experiencia en inventarios
Jornada y lugar de trabajo: Administrativo, Osorno
Si te interesa sumarte a nuestro propósito, ¡Ven a sonreír con nosotros!",1,"·       Formación académica: Contabilidad, Contador Auditor, Ingeniero en Logística y carreras afines
·       Conocimientos claves: Conocimientos en SAP y conocimientos en WMS (deseable)
·       Experiencia: 1-2 años de experiencia en inventarios
·       Jornada y lugar de trabajo: Administrativo, Osorno"
Auditor Interno Senior,Auditoría,"Santiago, Metropolitana de Santiago",Santiago,Metropolitana de Santiago,2026-07-21,6104082,soprole,2026-07-21,2026-07-24,0.3303,Otro Profesional,Jornada Completa,Soprole,Universitaria,Chile,,2026-09-19,https://soprole.trabajando.cl/trabajo-empleo/auditor-interno-senior/trabajo/6104082,¡Ven a Sonreír! En Soprole somos apasionados...,"¡Ven a Sonreír!
En Soprole somos apasionados por crear sonrisas con productos ricos y nutritivos para ti 😄🥛Buscamos integrar un/a Auditor/a Interno Senior para nuestro equipo de Auditoría. Su principal responsabilidad será ejecutar auditorías internas conforme a las normas internacionales del Instituto de Auditores Internos (IIA), evaluando la eficacia de los controles internos, la gestión de riesgos y la eficiencia de los procesos de negocio. Enfocado especialmente en procesos soportados por el ERP SAP, contribuyendo a la mejora continua de la operación, reducción de pérdidas, cumplimiento normativo y prevención de fraudes.
Las principales funciones del cargo son:
1. Planificación y ejecución de auditorías:
- Desarrollar y ejecutar programas de auditoría basados en riesgos, alineados con el Marco Internacional para la Práctica Profesional de Auditoría Interna (IPPF).
- Realizar levantamientos, pruebas de control y pruebas sustantivas de procesos operativos, financieros y de cumplimiento.
- Evaluar el funcionamiento de controles automáticos de SAP
2. Gestión de riesgos:
- Evaluar la eficacia del sistema de gestión de riesgos de la organización.
- Identificar riesgos, controles, y realizar análisis de causa e impacto, analizando brechas en el diseño de los controles y mitigaciones y proponer acciones correctivas concretas.
3. Comunicación de hallazgos:
- Elaborar informes ejecutivos claros, priorizando los hallazgos de mayor impacto económico o de riesgo.
- Presentar resultados ante las áreas auditadas, asegurando comprensión, compromiso y seguimiento de los planes de acción.
4. Mejora continua:
- Participar activamente en capacitaciones y en el plan de mejora continua de auditoría interna.
- Aportar iniciativas de mejora en metodologías de auditoría, uso de tecnologías y automatización de pruebas.
5. Entre otras.
Requisitos:
- Formación académica: Ingeniero Industrial, Contador Auditor, Ingeniero Control de Gestión, carreras afines.
- Experiencia Laboral: 3 a 5 años de experiencia demostrable en Auditoría de Procesos de Negocio soportados por SAP, incluyendo el análisis de datos a través de Tablas.
- Herramientas y conocimientos: Manejo de la metodología MIPP del Instituto de Auditores Internos (IIA); experiencia realizando auditorías bajo el marco de control interno COSO 2013; identificación y evaluación de riesgos utilizando ISO 31000 y/o COSO ERM. Deseable contar con certificación CIA (Certified Internal Auditor) y/o diplomado o certificación en Gestión de Riesgos. Se requiere experiencia en la elaboración y gestión de matrices de riesgo y manejo de SAP.
- Jornada y lugar de trabajo: Administrativo, Vitacura (Av.Vitacura 4465)
Si te interesa sumarte a nuestro propósito, ¡Ven a sonreír con nosotros!",1,"Requisitos:
- Formación académica: Ingeniero Industrial, Contador Auditor, Ingeniero Control de Gestión, carreras afines.
- Experiencia Laboral: 3 a 5 años de experiencia demostrable en Auditoría de Procesos de Negocio soportados por SAP, incluyendo el análisis de datos a través de Tablas.
- Herramientas y conocimientos: Manejo de la metodología MIPP del Instituto de Auditores Internos (IIA); experiencia realizando auditorías bajo el marco de control interno COSO 2013; identificación y evaluación de riesgos utilizando ISO 31000 y/o COSO ERM. Deseable contar con certificación CIA (Certified Internal Auditor) y/o diplomado o certificación en Gestión de Riesgos. Se requiere experiencia en la elaboración y gestión de matrices de riesgo y manejo de SAP.
- Jornada y lugar de trabajo: Administrativo, Vitacura (Av.Vitacura 4465)"
Supervisor/a de Ventas - Temuco,Ventas,"Temuco, La Araucanía",Temuco,La Araucanía,2026-07-15,6102462,soprole,2026-07-17,2026-07-24,0.3587,Otro Profesional,Jornada Completa,Soprole,Técnico profesional superior,Chile,1 años,2026-09-13,https://soprole.trabajando.cl/trabajo-empleo/supervisor-a-de-ventas-temuco/trabajo/6102462,¡Ven a Sonreír! En Soprole somos apasionados...,"¡Ven a Sonreír!
En Soprole somos apasionados por crear sonrisas con productos ricos y nutritivos para ti 😄🥛Buscamos integrar un/a Supervisor/a de Ventas Temuco para nuestro equipo de Ventas Canal Tradicional. Su principal responsabilidad será Establecer relaciones comerciales de largo plazo con clientes de los canales Ruta, Mayorista y Food Service, atendiendo a las necesidades de cada cliente y los objetivos, delineados por la Compañía.
Las principales funciones del cargo son:
- Cumplir con los planes de venta.
- Liderar el equipo de vendedores asignados al canal tradicional.
- Implementar las estrategias y tácticas definidas por la Gerencia para los clientes bajo su supervisión.
- Mantener la cartera de clientes (creación clientes nuevos/ desactivación clientes con cambio de giro ó cerrados)
- Velar por el cumplimiento de estándares de ejecución de clientes en niveles aceptables (sobre 50% KPI).
- Mantener mix de venta de productos adecuados al sector atendido.
- Mantener niveles de concreción de venta diarios sobre 70%.
- Informar en forma clara y oportuna planes mensuales de venta a vendedores y toda la estadística de ventas relacionada con sus funciones.
- Realizar visitas programadas y no programadas a clientes de los distintos sectores.
- Informar en forma permanente a equipo de ventas nuevas disposiciones de la gerencia y focos comerciales de productos.
- Realizar firma de acuerdos comerciales con clientes.
- Liderar y administrar la ejecución de tienda perfecta, con los materiales POP o de apoyo de ventas en cada cliente (ejemplo;cooler, exhibidores, banderas, cenefas)
- Entre otras.
Requisitos:
- Formación académica: Ingeniería Comercial, Ingeniería en Administración de Empresas o carreras afines.
- Elementos: Licencia de conducir clase B vigente, Vehículo propio y documentación al día, Manejo de Excel nivel intermedio/avanzado, Disponibilidad para trabajar en Temuco, Contar con experiencia liderando equipos de personas.
- Jornada y lugar de trabajo: Administrativo
Si te interesa sumarte a nuestro propósito, ¡Ven a sonreír con nosotros!",1,"- Formación académica: Ingeniería Comercial, Ingeniería en Administración de Empresas o carreras afines.
- Elementos: Licencia de conducir clase B vigente, Vehículo propio y documentación al día, Manejo de Excel nivel intermedio/avanzado, Disponibilidad para trabajar en Temuco, Contar con experiencia liderando equipos de personas.
- Jornada y lugar de trabajo: Administrativo"
Instrumentista - Frutillar,Mantención,"Frutillar, Los Lagos",Frutillar,Los Lagos,2026-07-08,6099538,soprole,2026-07-17,2026-07-24,0.3717,Otro Profesional,Por Turnos,Soprole,Técnico profesional superior,Chile,1 años,2026-07-08,https://soprole.trabajando.cl/trabajo-empleo/instrumentista-frutillar/trabajo/6099538,¡Ven a Nutrir Sonrisas! 😄🥛En Soprole...,"¡Ven a Nutrir Sonrisas! 😄🥛En Soprole somos apasionados por crear sonrisas con productos ricos y nutritivos.
Buscamos integrar a un instrumentista, quien será responsable de Operar y mantener el sistema de control, automatización y calibración, velando por la continuidad de la producción.
Principales funciones:
- Identificar, diseñar y proponer mejoras continuas en la automatización de procesos de planta.- Administrar los sistemas de calibración de instrumentos.
- Informar sobre las tareas ejecutadas, mediante generación de órdenes de trabajo SAP, PM o a través de los medios disponibles.
- Conocer y mantener un registro (Base de datos en PC) completo de toda la Instrumentación de la planta en el Sistema de Adm. de Instrumentos, de acuerdo al Programa de Calibración y Certificación.
- Mantener una rutina de inspección visual de todo el parque de instrumentos de la planta y recoger las observaciones de los usuarios.
- Ejecutar y coordinar la reparación, la calibración y certificación de todos los instrumentos de acuerdo al plan preestablecido.
- Velar por la adecuada disponibilidad de repuestos y equipos de reemplazo con propuestas en coordinación con la Jefatura.
- Mantenerse al día con los proveedores del rubro para asesorar a la fábrica en la selección de nuevos instrumentos.
- Ejecutar la mantención correctiva y preventiva de la planta.
- Entre otras.
Requisitos:
- Técnico nivel Superior en Electricidad, Electrónica o Automatización Industrial.
- Experiencia en mantenimiento de sistemas de control y automatización en Industria de Alimentos o en plantas de proceso.
- Disponibilidad para trabajar por turnos en Frutillar.",1,"Requisitos:
- Técnico nivel Superior en Electricidad, Electrónica o Automatización Industrial.
- Experiencia en mantenimiento de sistemas de control y automatización en Industria de Alimentos o en plantas de proceso.
- Disponibilidad para trabajar por turnos en Frutillar."
Analista de Operaciones Comerciales,Ventas,"Santiago, Metropolitana de Santiago",Santiago,Metropolitana de Santiago,2026-06-30,6096405,soprole,2026-07-17,2026-07-24,0.3657,Otro Profesional,Jornada Completa,Soprole,Universitaria,Chile,,2026-08-29,https://soprole.trabajando.cl/trabajo-empleo/analista-de-operaciones-comerciales/trabajo/6096405,¡Ven a Sonreír! En Soprole somos apasionados...,"¡Ven a Sonreír!
En Soprole somos apasionados por crear sonrisas con productos ricos y nutritivos para ti 😄🥛Buscamos integrar un/a Analista de Operaciones Comerciales para nuestro equipo de Ventas Canal Tradicional. Su principal responsabilidad será gestionar la operación comercial de los canales asignados, de acuerdo con las políticas comerciales, procedimientos operacionales y estándares de servicio de Soprole, asegurando la continuidad operacional y el cumplimiento de los compromisos establecidos con clientes y canales.
Las principales funciones del cargo son:
- Administrar la operación comercial de los canales asignados mediante la gestión de pedidos, órdenes de compra y coordinación de despachos, conforme a las políticas comerciales y procedimientos operacionales de Soprole, asegurando la correcta ejecución de los compromisos comerciales y la continuidad operacional del negocio.
- Controlar los niveles de servicio y cumplimiento comercial de clientes y canales mediante el monitoreo de indicadores operacionales, alineado a los estándares de servicio de Soprole, minimizando riesgos operacionales, multas, quiebres de stock y pérdidas de venta.
- Gestionar la información maestra de clientes, productos, precios, promociones y condiciones comerciales en los sistemas corporativos, de acuerdo con los procedimientos internos de gestión de datos, asegurando la disponibilidad, integridad y confiabilidad de la información utilizada en la operación comercial.
- Monitorear la ejecución de los procesos comerciales y operacionales de los canales asignados mediante el seguimiento de indicadores críticos de servicio, conforme a los objetivos estratégicos de Soprole, contribuyendo a la continuidad operacional y al logro de los resultados esperados.
- Desarrollar y mantener reportes operacionales, tableros de seguimiento e indicadores de gestión comercial mediante herramientas de análisis y visualización de datos, alineado a las necesidades del área, facilitando el control de la operación y la toma de decisiones informadas.
- Diseñar e implementar iniciativas de automatización y mejora continua en los procesos comerciales y administrativos, conforme a las estrategias de eficiencia operativa de Soprole, fortaleciendo la eficiencia operativa y mejorando los mecanismos de control y seguimiento del negocio.
- Gestionar incidencias operacionales y desviaciones detectadas en los procesos comerciales de los canales asignados, coordinando acciones con las áreas involucradas, de acuerdo con los protocolos de gestión de no conformidades, asegurando la continuidad operacional y el cumplimiento de los niveles de servicio comprometidos.
- Apoyar la gestión comercial del equipo de ventas y Key Account Managers mediante la generación de análisis y seguimiento de resultados, alineado a los objetivos comerciales de Soprole, contribuyendo al cumplimiento de los objetivos comerciales y operacionales del negocio.
- Ejecutar proyectos e iniciativas de mejora para los canales asignados mediante el levantamiento de oportunidades y coordinación con áreas internas, conforme a la estrategia de crecimiento sostenible de Soprole, logrando la eficiencia operacional y la generación de valor para la compañía.
- Entre otras.
Requisitos:
- Formación académica: Ingeniería Comercial, Ingeniería Civil Industrial, Ingeniería Control de Gestión o carrera afín.
- Experiencia Laboral: Experiencia obtenida mediante práctica profesional, memoria o experiencia laboral inicial en áreas comerciales, operación comercial, control de gestión, customer service o análisis de datos.
- Experiencia en el área: Experiencia inicial en empresas de consumo masivo, retail, distribución o logística comercial
- Herramientas: Excel Intermedio-Avanzado, Deseable conocimientos en Power BI y SAP; herramientas de visualización y automatización de procesos.
- Jornada y lugar de trabajo: Horario Administrativo, en edificio corporativo Vitacura (Av. Vitacura 4465)
Si te interesa sumarte a nuestro propósito, ¡Ven a sonreír con nosotros!",1,"Requisitos:
- Formación académica: Ingeniería Comercial, Ingeniería Civil Industrial, Ingeniería Control de Gestión o carrera afín.
- Experiencia Laboral: Experiencia obtenida mediante práctica profesional, memoria o experiencia laboral inicial en áreas comerciales, operación comercial, control de gestión, customer service o análisis de datos.
- Experiencia en el área: Experiencia inicial en empresas de consumo masivo, retail, distribución o logística comercial
- Herramientas: Excel Intermedio-Avanzado, Deseable conocimientos en Power BI y SAP; herramientas de visualización y automatización de procesos.
- Jornada y lugar de trabajo: Horario Administrativo, en edificio corporativo Vitacura (Av. Vitacura 4465)"
Jefe de Turno - Antofagasta,Logística,"Antofagasta, Antofagasta",Antofagasta,Antofagasta,2026-06-30,6096377,soprole,2026-07-17,2026-07-24,0.3746,Otro Profesional,Por Turnos,Soprole,Técnico profesional superior,Chile,,2026-08-29,https://soprole.trabajando.cl/trabajo-empleo/jefe-de-turno-antofagasta/trabajo/6096377,¡Ven a Sonreír! En Soprole somos apasionados...,"¡Ven a Sonreír!
En Soprole somos apasionados por crear sonrisas con productos ricos y nutritivos para ti 😄🥛Buscamos integrar un/a Jefe de Turno - Antofagasta para nuestro equipo de Cadena Logística. Su principal responsabilidad será asegurar la correcta ejecución de las operaciones del turno, garantizando el cumplimiento del programa de producción y de los estándares de calidad, seguridad y eficiencia, mediante la adecuada coordinación de los procesos, supervisión de los equipos y gestión del personal. Además, contribuir a la mejora continua a través de la retroalimentación sobre procesos y funcionamiento de equipos.
Las principales funciones del cargo son:
- Coordinar los despachos hacia los centros de distribución, asegurando tiempos de entrega y estándares de calidad.
- Supervisar la carga de productos y gestionar la programación de despachos.
- Asignar y administrar el uso de equipos RF para la ejecución de tareas operativas.
- Monitorear el correcto uso de herramientas y sistemas en los procesos de picking y despacho.
- Distribuir tareas y coordinar al equipo durante el turno.
- Fomentar un ambiente de trabajo colaborativo, promoviendo el trabajo en equipo y el cumplimiento de normas de seguridad.
- Detectar y gestionar situaciones o conflictos operacionales durante el turno.
- Reportar incidentes, desviaciones y condiciones de riesgo, asegurando el cumplimiento de protocolos de seguridad.
- Liderar acciones de prevención de riesgos y velar por la seguridad del equipo.
- Entre otras.
Requisitos:
- Formación académica: Estudios nivel Técnico o carreras similares
- Experiencia Laboral: 2 años de experiencia en bodega.
- Conocimientos técnicos: Excel, SAP, conocimientos de WMS (deseable), control de inventario, despacho, picking, logística inversa.
Jornada y lugar de trabajo: Turnos rotativos de lunes a sábado, Antofagasta.
Si te interesa sumarte a nuestro propósito, ¡Ven a sonreír con nosotros!",1,"Formación académica: Estudios nivel Técnico o carreras afínes.
Experiencia Laboral: 2 años de experiencia en bodega.
Conocimientos técnicos: Excel, SAP, conocimientos de WMS (deseable), control de inventario, despacho, picking, logística inversa.
Jornada y lugar de trabajo: Turnos rotativos de lunes a sábado, Antofagasta."
Finance Business Partner Marketing/Corporativo,Finanzas,"Santiago, Metropolitana de Santiago",Santiago,Metropolitana de Santiago,2026-06-30,6096369,soprole,2026-07-17,2026-07-24,0.3713,Otro Profesional,Jornada Completa,Soprole,Universitaria,Chile,,2026-08-29,https://soprole.trabajando.cl/trabajo-empleo/finance-business-partner-marketing-corporativo/trabajo/6096369,¡Ven a Sonreír! En Soprole somos apasionados...,"¡Ven a Sonreír!
En Soprole somos apasionados por crear sonrisas con productos ricos y nutritivos para ti 😄🥛Buscamos integrar un/a Finance Business Partner Marketing/Corporativo para la Gerencia de Administración y Finanzas, cuyo principal desafío será actuar como socio estratégico del negocio, articulando su visión financiera con las distintas divisiones del negocio, entregando soporte financiero, análisis y recomendaciones que permitan impulsar decisiones oportunas y de impacto. El rol tendrá foco en acompañar al área de Marketing y a divisiones corporativas en la gestión financiera de sus iniciativas, presupuestos y proyectos, realizando seguimiento del desempeño económico, priorizando oportunidades, monitoreando los resultados del negocio y entregando insights concretos.
Las principales funciones del cargo son:
- Entregar soporte financiero y presupuestario a divisiones de marketing y corporativas de Soprole (P&O, GSI) , aportando visibilidad, control y análisis para una gestión eficiente de sus recursos.
- Liderar el modelo de optimización de portafolio de productos, contribuyendo a maximizar el valor de las categorías.
- Participar activamente en el comité de innovación, entregando soporte financiero y estratégico para la evaluación y priorización de nuevas iniciativas.
- Rediseñar y liderar el modelo de evaluación financiera de proyectos, asegurando una metodología consistente para la toma de decisiones.
- Conducir el proceso de post evaluaciones de innovaciones y proyectos de capex , generando aprendizajes y visibilidad sobre los resultados obtenidos.
- Gestionar el presupuesto de advertising de Marketing, realizando seguimiento de forecast, cierres y control semanal/mensual de desvíos.
- Liderar la reunión mensual de desempeño de categorías del proceso planificación financiera, movilizando al equipo en torno a oportunidades, riesgos y planes de acción.
- Gestionar y monitorear los KPIs de innovación de la compañía, asegurando visibilidad sobre su avance y contribución al negocio.
- Entre otras.
Requisitos:
Formación académica: Ingeniería Comercial o Ingeniería Civil Industrial. Deseable postgrado o diplomado en finanzas, control de gestión o áreas relacionadas.
Experiencia Laboral: Entre 4 y 5 años de experiencia en roles de control de gestión, FP&A, controller o finanzas con interacción directa con el negocio. Experiencia en análisis financiero, presupuestos, forecast y evaluación de proyecto
Experiencia en el área: Deseable experiencia en empresas de consumo masivo, retail o industrias de alta dinámica comercial.
Jornada y lugar de trabajo: Administrativa, Av. Vitacura 4465
Si te interesa sumarte a nuestro propósito, ¡Ven a sonreír con nosotros!",1,"Formación académica: Ingeniería Comercial o Ingeniería Civil Industrial. Deseable postgrado o diplomado en finanzas, control de gestión o áreas relacionadas.
Experiencia Laboral: Entre 4 y 5 años de experiencia en roles de control de gestión, FP&A, controller o finanzas con interacción directa con el negocio. Experiencia en análisis financiero, presupuestos, forecast y evaluación de proyecto
Experiencia en el área: Deseable experiencia en empresas de consumo masivo, retail o industrias de alta dinámica comercial.
Jornada y lugar de trabajo: Administrativa, Av. Vitacura 4465"
Product Manager Marketing,Marketing / Mercadeo,"Santiago, Metropolitana de Santiago",Santiago,Metropolitana de Santiago,2026-06-25,6095122,soprole,2026-07-17,2026-07-24,0.4568,Asesor,Jornada Completa,Soprole,Universitaria,Chile,,2026-08-24,https://soprole.trabajando.cl/trabajo-empleo/product-manager-marketing/trabajo/6095122,¡Ven a Sonreír! En Soprole somos apasionados...,"¡Ven a Sonreír!
En Soprole somos apasionados por crear sonrisas con productos ricos y nutritivos para ti 😄🥛Buscamos integrar un/a Product Manager para nuestro equipo de Marketing. Su principal responsabilidad será gestionar la rentabilidad y crecimiento de las categorías y marcas asignadas, mediante la planificación e implementación de estrategias de marketing, desarrollo de productos e innovación, alineado con los objetivos estratégicos de la compañía, para optimizar la participación de mercado, fidelizar clientes y potenciar el desempeño financiero del negocio.
Las principales funciones del cargo son:
- Liderar la estrategia comercial de la categoría asignada, asegurando su crecimiento rentable a través del análisis del mercado, estimaciones de demanda y evaluación de oportunidades de negocio.
- Gestionar el ciclo de vida del producto, desde la innovación y desarrollo hasta la optimización del portafolio existente, asegurando alineación con la estrategia de marca y objetivos comerciales.
- Planificar e implementar estrategias de marketing integradas (ATL, BTL y digital) para potenciar la participación de mercado y rentabilidad de la categoría.
- Apoyar al área comercial en la ejecución de planes de venta, garantizando el cumplimiento de objetivos comerciales y la correcta ejecución en los distintos canales de distribución.
- Analizar y gestionar la rentabilidad de la categoría, optimizando precios, costos y márgenes para maximizar la contribución al negocio.
- Desarrollar planes de innovación que permitan fortalecer el portafolio de productos, respondiendo a tendencias de consumo y necesidades del mercado.
- Coordinar el desarrollo de campañas publicitarias y promociones en conjunto con agencias externas y equipos internos, asegurando consistencia y efectividad en la comunicación de marca.
- Administrar el presupuesto de marketing, controlando la inversión en medios, producción y acciones promocionales, alineado con los objetivos financieros de la compañía.
- Gestionar relaciones clave con áreas internas y proveedores externos, incluyendo ventas, planificación, abastecimiento, producción y agencias, para la ejecución efectiva de estrategias.
- Entre otras.
Requisitos:
- Formación académica: Ingeniería Comercial, Ingeniería en Marketing o carrera afín.
- Experiencia laboral: Entre 1 y 2 años de experiencia en marketing o áreas relacionadas, idealmente en empresas de consumo masivo. Se valorará experiencia en procesos de innovación y desarrollo de productos, estrategias de marketing y posicionamiento de marca, ejecución de campañas de comunicación y promociones, además de análisis de mercado y tendencias de consumo.
- Conocimientos y herramientas: Manejo de Excel nivel intermedio/avanzado, conocimientos en Power BI y deseable experiencia en el uso de herramientas de Inteligencia Artificial (IA).
- Jornada y lugar de trabajo: Jornada administrativa, Edificio Corporativo Vitacura (Av. Vitacura 4465).
Si te interesa sumarte a nuestro propósito, ¡Ven a sonreír con nosotros!",1,"-Formación académica: Ingeniería Comercial, Ingeniería en Marketing o carrera afín.
- Experiencia laboral: Entre 1 y 2 años de experiencia en marketing o áreas relacionadas, idealmente en empresas de consumo masivo. Se valorará experiencia en procesos de innovación y desarrollo de productos, estrategias de marketing y posicionamiento de marca, ejecución de campañas de comunicación y promociones, además de análisis de mercado y tendencias de consumo.
-Conocimientos y herramientas: Manejo de Excel nivel intermedio/avanzado, conocimientos en Power BI y deseable experiencia en el uso de herramientas de Inteligencia Artificial (IA).
- Jornada y lugar de trabajo: Jornada administrativa, Edificio Corporativo Vitacura (Av. Vitacura 4465)."
Técnico(a) Eléctrico,Otra Área,"San Bernardo, Metropolitana de Santiago",San Bernardo,Metropolitana de Santiago,2026-06-19,6085090,soprole,2026-07-17,2026-07-20,0.3502,Técnico,Por Turnos,Soprole,Técnico medio/ colegio técnico,Chile,,2026-07-19,https://soprole.trabajando.cl/trabajo-empleo/tecnico-a-electrico/trabajo/6085090,¡Ven a Sonreír! En Soprole somos apasionados...,"¡Ven a Sonreír!
En Soprole somos apasionados por crear sonrisas con productos ricos y nutritivos para ti 😄🥛
Buscamos integrar un Técnico(a) de Mantenimiento para el área de Operaciones, quien será responsable de mantener máquinas industriales y equipos en condiciones óptimas, mediante una buena planificación de trabajo, asegurando la disponibilidad continua de la operación de los equipos con altos estándares de seguridad y calidad.
Sus principales funciones serán:
· Realizar las mantenciones planificadas según cronograma.
· Informar las anomalías en las máquinas, para proceder con su reparación.
· Mantener comunicación fluida con el resto de los especialistas y operadores.
· Solicitar en forma oportuna repuestos para mantenciones.
· Coordinar mejoramientos en máquinas y equipos.
· Realizar chequeos diarios a los equipos.
· Realizar mantenciones preventivas, correctivas y por diagnostico a los equipos de la
planta de servicios.
· Informar a la jefatura de mantención sobre el estado, avances y término de los
trabajos.
· Cumplir con los procedimientos, normas e instructivos de Seguridad y Salud
Ocupacional, informando a su jefatura condiciones de riesgo.
· Cumplir otras funciones en el ámbito de las responsabilidades de su cargo, según
requerimientos de su supervisor y/o jefatura directa.",1,"Estudios Técnicos en Electricidad (Industrial), automatización, robótica o carreras afines.
Disponibilidad de turnos Rotativos
Conocimiento y experiencia con máquinas industriales y circuitos eléctricos"
