title,team,location,city,state,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,worker_type,schedule_type,company_name,education,country,experience_level,application_deadline,url,description_short,description,vacancies,requirements
Coordinado de visual merchandising,Otra Área,"Ñuñoa, Metropolitana de Santiago",Ñuñoa,Metropolitana de Santiago,2026-07-15,6102567,tricot,2026-07-17,2026-07-24,0.3658,Coordinador,Mixta (Teletrabajo + Presencial),Tricot S.A.,Universitaria,Chile,4 años,2026-08-14,https://tricot.trabajando.cl/trabajo-empleo/coordinado-de-visual-merchandising/trabajo/6102567,"En Tricot nos encontramos en búsqueda de un Coordinador de visual merchandising para sumarse a nuestro equipo. Nuestra búsqueda se encuentra orientada a profesionales con experiencia en visual merchandising, coordinación y creación de instructivos para retail de vestuario....","En Tricot nos encontramos en búsqueda de un Coordinador de visual merchandising para sumarse a nuestro equipo. Nuestra búsqueda se encuentra orientada a profesionales con experiencia en visual merchandising, coordinación y creación de instructivos para retail de vestuario.
Funciones:
Mantener correcto canal de comunicación entre los Product Manager, generando reuniones en donde los Product manager informen sobre lo comprado y las tendencias para así generar nuevos instructivos para la organización en los puntos de venta.
Coordinar la ejecución y distribución de los instructivos estándares para las sucursales, enviando un instructivo diario para cada tienda vía email o impreso para así alinear los estándares en todas las sucursales.
Fiscalizar y capacitar a las sucursales en la implementación de instructivos en tiendas, coordinando estas cuando las tiendas estén con ventas bajas,  entren nuevos visual o se harban nuevas tiendas para así generar un estándar en todas las tiendas.
Colaborar en aquellas tareas que determine su jefatura, asociada a su área de desempeño, garantizando el cumplimiento de los objetivos del área frente a nuevas demandas y/o exigencias del trabajo.
Requisitos:
-Formación técnico profesional o superior en Diseño Gráfico, Publicidad, Diseño Industrial o carrera afín.
-Experiencia previa en retail de vestuario.
-Conocimiento en Excel (tablas y funciones simples)
-Conocimiento en correo electrónico y Power Point (para presentaciones)
-Disponibilidad para viajar dentro del país.
Condiciones laborales
-Modalidad presencial inicialmente, posterior al indefinido tienes oportunidad de pasar a modalidad hibrida.
-Lugar de trabajo a pasos del metro Plaza Egaña
-Contrato directo con la empresa.
""Esta oferta laboral se rige bajo la Ley Nº 21.015 que incentiva la inclusión de personas con discapacidad al mundo laboral""
Postula con nosotros",1,"-Formación técnico profesional o superior en Diseño Gráfico, Publicidad, Diseño Industrial o carrera afín.
-Experiencia previa en retail de vestuario.
-Conocimiento en Excel (tablas y funciones simples)
-Conocimiento en correo electrónico y Power Point (para presentaciones)
-Disponibilidad para viajar dentro del país."
Analista Comercial (poca experiencia o recién titulado),Otra Área,"La Reina, Metropolitana de Santiago",La Reina,Metropolitana de Santiago,2026-07-07,6098970,tricot,2026-07-17,2026-07-24,0.4155,Analista,Mixta (Teletrabajo + Presencial),Tricot S.A.,Universitaria,Chile,1 años,2026-06-08,https://tricot.trabajando.cl/trabajo-empleo/analista-comercial-poca-experiencia-o-recien-titulado/trabajo/6098970,En Tricot nos encontramos en búsqueda...,"En Tricot nos encontramos en búsqueda de un Analista Comercial que pueda apoyar con la optimización del stock de mercadería en las sucursales, cumpliendo márgenes establecidos y asegurando un abastecimiento oportuno de productos en la tienda. Nuestra búsqueda está orientada a profesionales recién titulados de las carreras de ingeniería comercial, ingeniería civil, civil industrial o carrera afín.
Funciones:
-Gestionar de forma eficiente el stock de la compañía en las distintas sucursales, a través de diferentes procesos automatizados y manuales. 2. Tener una fluida comunicación con la oficina de China para la correcta llegada de los productos al país.
-Gestionar el proceso de despacho de los productos a tienda y la llegada de los contenedores al centro de distribución, de acuerdo a las necesidades de la empresa.
-Generar reportes que ayuden a la gestión diaria del stock de los productos a nivel compañía.
-Crear y desarrollar proyectos de corto a largo plazo para mejorar y automatizar nuestros procesos, teniendo estrecha relación con el área de TI de la empresa.
-Participar de reuniones con diferentes áreas de la empresa como TI y Logística, con el fin de mejorar procesos que involucre a todas las partes.
Requisitos:
-Disponibilidad para trabajar inicialmente en modalidad presencial y posterior híbrido.
-Titulado de las carreras de ingeniería comercial, civil, civil industrial o afín.
-Disponibilidad para trabajar en Plaza Egaña.
-Manejo avanzado de Excel.
-Manejo de power BI (no excluyente)
Condiciones laborales:
-Jornada de lunes a jueves de 9:00 a 18:00 y viernes de 9:00  a 17:00
-Modalidad presencial al comienzo y posterior híbrido.
-Renta acorde al mercado.
-Oportunidades de crecimiento.
""Esta oferta laboral se rige bajo la Ley Nº 21.015 que incentiva la inclusión de personas con discapacidad al mundo laboral""
Postula con nosotros!!",1,"-Disponibilidad para trabajar inicialmente en modalidad presencial y posterior híbrido.
-Titulado de las carreras de ingeniería comercial, civil, civil industrial o afín.
-Disponibilidad para trabajar en Plaza Egaña.
-Manejo avanzado de Excel.
-Manejo de power BI (no excluyente)"
Peoneta,Otra Área,"Santiago, Metropolitana de Santiago",Santiago,Metropolitana de Santiago,2026-07-07,6099163,tricot,2026-07-17,2026-07-24,0.3407,Operario,Jornada Completa,Tricot S.A.,Media,Chile,1 años,2026-06-08,https://tricot.trabajando.cl/trabajo-empleo/peoneta/trabajo/6099163,En Tricot nos encontramos en búsqueda de un ...,"En Tricot nos encontramos en búsqueda de un Peoneta, nuestra búsqueda se encuentra orientada a trabajadores que cuenten con la disponibilidad para trabajar en CD ubicado en Santiago Centro cercano al metro Rondizzoni y Pdte. Pedro Aguirre Cerda.
Funciones del cargo:
Carga y descarga de camión
Traslado de cajas de manera manual y con transpaleta manual.
Armado de pallets
Mantener el área de trabajo y los equipos en buenas condiciones de orden, limpieza y seguridad.
Apoyar al chofer en la distribución de productos, siguiendo las rutas y tiempos establecidos.
Otras indicaciones por si jefatura.
Requisitos:
Enseñanza media completa.
Ganas de trabajar y disposición para el esfuerzo físico.
Experiencia mínima de 1 año en labores de peoneta o funciones similares (ejemplos: carga y descarga de camiones, apoyo en distribución, traslado de productos, armado y desarme de pallets, orden y mantención de bodega).
Condiciones laborales:
Jornada de Lunes a Viernes de 8:00 a 16:40 hrs.
Casino corporativo.
Estacionamiento.
Contrato directo empresa.
Estabilidad laboral.
Renta líquida: 553.000",10,"Enseñanza media completa.
Ganas de trabajar.
Ideal experiencia previa en la carga y descarga de camiones (no excluyente)."
Asistente Visual Vallenar,Otra Área,"Vallenar, Atacama",Vallenar,Atacama,2026-07-01,6097159,tricot,2026-07-17,2026-07-24,0.3776,Asistente,Jornada Completa,Tricot S.A.,Técnico medio/ colegio técnico,Chile,2 años,2026-07-31,https://tricot.trabajando.cl/trabajo-empleo/asistente-visual-vallenar/trabajo/6097159,En Tricot nos encontramos en búsqueda...,"En Tricot nos encontramos en búsqueda de Asistente de Visual para sucursal ubicada en el Vallenar
Nuestra búsqueda está orientada a personas creativas, dispuestas a proponer como valor agregado, que puedan innovar constantemente en la presentación creativa de los productos, así como también con visión estratégica para dar seguimiento a esta innovación y verificar la eficacia de su impacto en las ventas.
Requisitos:
Contar con al menos 2 años de experiencia en el área de visual vestuario
Formación académica relacionada con diseño de vestuario, interiores, o afín
Ser proactivo y creativo
Disponibilidad para trabajar de lunes a viernes
Funciones:
Realizar montaje de productos en sala de ventas en base a instructivo recibido desde casa matriz (vitrinas, muros, muebles y/o traseras) preocupándose del correcto tallaje y colorimetría de los productos.
Ejecutar montaje de eventos (toda venta especial que se implemente en la cadena) revisión y modificación de precios en base a instructivo enviado desde la Subgerencia de Visual, para mantener el mismo lineamiento dentro de la cadena.
Dirigir a asistentes de venta que lo apoyen en el montaje de eventos o movimiento de productos, para cumplir con los plazos solicitados por parte de la subgerencia de visual.
Realizar registro fotográfico del montaje de eventos (vitrinas, muros, muebles, etc) solicitado desde la subgerencia de visual, para mostrar el cumplimiento de las instrucciones entregadas.
Trabajar en el cambio de gráficas, precios y vitrinas según instructivo para mantener actualizada la tienda.
Revisar la falta de productos en sala para solicitar a bodega y de esta manera mantener abastecida la tienda según corresponda.
Comprobar la venta en 0 enviada por el área comercial y crear estrategias para potenciar productos en sala de ventas y que estos tengan una mayor visibilidad hacia el cliente.
Colaborar en aquellas tareas que determine su jefatura, asociadas a su área de desempeño, garantizando el cumplimiento de los objetivos del área frente a nuevas demandas y/o exigencias del trabajo.
Condiciones laborales:
Estabilidad laboral.
Contrato directo con la empresa.
""Esta oferta laboral se rige bajo la Ley Nº 21.015 que incentiva la inclusión de personas con discapacidad al mundo laboral""
¡¡Postula con nosotros!!",1,"Contar con al menos 2 años de experiencia en el área de visual vestuario
Formación académica relacionada con diseño de vestuario, interiores, o afín
Ser proactivo y creativo
Disponibilidad para trabajar de lunes a viernes"
Asistente Visual Chillan,Otra Área,"Chillán, Ñuble",Chillán,Ñuble,2026-07-01,6097158,tricot,2026-07-17,2026-07-24,0.3632,Asistente,Jornada Completa,Tricot S.A.,Técnico medio/ colegio técnico,Chile,2 años,2026-07-31,https://tricot.trabajando.cl/trabajo-empleo/asistente-visual-chillan/trabajo/6097158,En Tricot nos encontramos en búsqueda...,"En Tricot nos encontramos en búsqueda de Asistente de Visual para sucursal ubicada en el Chillan
Nuestra búsqueda está orientada a personas creativas, dispuestas a proponer como valor agregado, que puedan innovar constantemente en la presentación creativa de los productos, así como también con visión estratégica para dar seguimiento a esta innovación y verificar la eficacia de su impacto en las ventas.
Requisitos:
Contar con al menos 2 años de experiencia en el área de visual vestuario
Formación académica relacionada con diseño de vestuario, interiores, o afín
Ser proactivo y creativo
Disponibilidad para trabajar de lunes a viernes
Funciones:
Realizar montaje de productos en sala de ventas en base a instructivo recibido desde casa matriz (vitrinas, muros, muebles y/o traseras) preocupándose del correcto tallaje y colorimetría de los productos.
Ejecutar montaje de eventos (toda venta especial que se implemente en la cadena) revisión y modificación de precios en base a instructivo enviado desde la Subgerencia de Visual, para mantener el mismo lineamiento dentro de la cadena.
Dirigir a asistentes de venta que lo apoyen en el montaje de eventos o movimiento de productos, para cumplir con los plazos solicitados por parte de la subgerencia de visual.
Realizar registro fotográfico del montaje de eventos (vitrinas, muros, muebles, etc) solicitado desde la subgerencia de visual, para mostrar el cumplimiento de las instrucciones entregadas.
Trabajar en el cambio de gráficas, precios y vitrinas según instructivo para mantener actualizada la tienda.
Revisar la falta de productos en sala para solicitar a bodega y de esta manera mantener abastecida la tienda según corresponda.
Comprobar la venta en 0 enviada por el área comercial y crear estrategias para potenciar productos en sala de ventas y que estos tengan una mayor visibilidad hacia el cliente.
Colaborar en aquellas tareas que determine su jefatura, asociadas a su área de desempeño, garantizando el cumplimiento de los objetivos del área frente a nuevas demandas y/o exigencias del trabajo.
Condiciones laborales:
Estabilidad laboral.
Contrato directo con la empresa.
""Esta oferta laboral se rige bajo la Ley Nº 21.015 que incentiva la inclusión de personas con discapacidad al mundo laboral""
¡¡Postula con nosotros!!",1,"Contar con al menos 2 años de experiencia en el área de visual vestuario
Formación académica relacionada con diseño de vestuario, interiores, o afín
Ser proactivo y creativo
Disponibilidad para trabajar de lunes a viernes"
Visual Marchandising Maipu,Otra Área,"Maipú, Metropolitana de Santiago",Maipú,Metropolitana de Santiago,2026-07-01,6097152,tricot,2026-07-17,2026-07-24,0.2973,Vendedor,Jornada Completa,Tricot S.A.,Media,Chile,1 años,2026-07-31,https://tricot.trabajando.cl/trabajo-empleo/visual-marchandising-maipu/trabajo/6097152,"¡Únete a Tricot! En  Tricot , estamos en búsqueda de un/a ...","¡Únete a Tricot!
En Tricot, estamos en búsqueda de un/a Visual Merchandising para nuestra nueva tienda ubicada en Maipu
Principales funciones:
Ejecutar el montaje de productos en sala de ventas (vitrinas, muros, muebles, traseras) según lineamientos de casa matriz, cuidando tallas y colorimetría.
Implementar montajes de eventos y ventas especiales, asegurando coherencia visual en toda la tienda.
Supervisar y coordinar al equipo de apoyo en montajes y reposición de productos.
Realizar registros fotográficos de las implementaciones.
Mantener actualizadas vitrinas, gráficas y precios según instructivos.
Revisar quiebres de stock en sala y gestionar reposición con bodega.
Analizar productos con baja rotación (venta en 0) y proponer estrategias para aumentar su visibilidad.
Apoyar en tareas adicionales del área según requerimientos de jefatura.
Requisitos:
Al menos 1 año de experiencia en visual merchandising en retail de vestuario.
Formación en Diseño de Vestuario, Diseño de Interiores o carrera afín.
Perfil proactivo, creativo y con iniciativa.
Disponibilidad para trabajar de lunes a viernes en horario retail.
¿Qué ofrecemos?
Estabilidad laboral.
Contrato directo con la empresa.
postula con nosotros . ¡Te esperamos!",1,"Requisitos:
Al menos 1 año de experiencia en visual merchandising en retail de vestuario.
Formación en Diseño de Vestuario, Diseño de Interiores o carrera afín.
Perfil proactivo, creativo y con iniciativa.
Disponibilidad para trabajar de lunes a viernes en horario retail."
Visual Marchandising Los Andes,Otra Área,"Los Andes, Valparaíso",Los Andes,Valparaíso,2026-07-01,6097148,tricot,2026-07-17,2026-07-24,0.296,Vendedor,Jornada Completa,Tricot S.A.,Media,Chile,1 años,2026-07-31,https://tricot.trabajando.cl/trabajo-empleo/visual-marchandising-los-andes/trabajo/6097148,"¡Únete a Tricot! En  Tricot , estamos en búsqueda de un/a ...","¡Únete a Tricot!
En Tricot, estamos en búsqueda de un/a Visual Merchandising para nuestra nueva tienda ubicada en Los Andes
Principales funciones:
Ejecutar el montaje de productos en sala de ventas (vitrinas, muros, muebles, traseras) según lineamientos de casa matriz, cuidando tallas y colorimetría.
Implementar montajes de eventos y ventas especiales, asegurando coherencia visual en toda la tienda.
Supervisar y coordinar al equipo de apoyo en montajes y reposición de productos.
Realizar registros fotográficos de las implementaciones.
Mantener actualizadas vitrinas, gráficas y precios según instructivos.
Revisar quiebres de stock en sala y gestionar reposición con bodega.
Analizar productos con baja rotación (venta en 0) y proponer estrategias para aumentar su visibilidad.
Apoyar en tareas adicionales del área según requerimientos de jefatura.
Requisitos:
Al menos 1 año de experiencia en visual merchandising en retail de vestuario.
Formación en Diseño de Vestuario, Diseño de Interiores o carrera afín.
Perfil proactivo, creativo y con iniciativa.
Disponibilidad para trabajar de lunes a viernes en horario retail.
¿Qué ofrecemos?
Estabilidad laboral.
Contrato directo con la empresa.
postula con nosotros . ¡Te esperamos!",1,"Requisitos:
Al menos 1 año de experiencia en visual merchandising en retail de vestuario.
Formación en Diseño de Vestuario, Diseño de Interiores o carrera afín.
Perfil proactivo, creativo y con iniciativa.
Disponibilidad para trabajar de lunes a viernes en horario retail."
Visual Marchandising Concepción,Otra Área,"Concepción, Biobío",Concepción,Biobío,2026-07-01,6097145,tricot,2026-07-17,2026-07-24,0.2442,Vendedor,Jornada Completa,Tricot S.A.,Media,Chile,1 años,2026-07-31,https://tricot.trabajando.cl/trabajo-empleo/visual-marchandising-concepcion/trabajo/6097145,"¡Únete a Tricot! En  Tricot , estamos en búsqueda de un/a ...","¡Únete a Tricot!
En Tricot, estamos en búsqueda de un/a Visual Merchandising para nuestra nueva tienda ubicada en Concepción
Principales funciones:
Ejecutar el montaje de productos en sala de ventas (vitrinas, muros, muebles, traseras) según lineamientos de casa matriz, cuidando tallas y colorimetría.
Implementar montajes de eventos y ventas especiales, asegurando coherencia visual en toda la tienda.
Supervisar y coordinar al equipo de apoyo en montajes y reposición de productos.
Realizar registros fotográficos de las implementaciones.
Mantener actualizadas vitrinas, gráficas y precios según instructivos.
Revisar quiebres de stock en sala y gestionar reposición con bodega.
Analizar productos con baja rotación (venta en 0) y proponer estrategias para aumentar su visibilidad.
Apoyar en tareas adicionales del área según requerimientos de jefatura.
Requisitos:
Al menos 1 año de experiencia en visual merchandising en retail de vestuario.
Formación en Diseño de Vestuario, Diseño de Interiores o carrera afín.
Perfil proactivo, creativo y con iniciativa.
Disponibilidad para trabajar de lunes a viernes en horario retail.
¿Qué ofrecemos?
Estabilidad laboral.
Contrato directo con la empresa.
postula con nosotros . ¡Te esperamos!",1,"Requisitos:
Al menos 1 año de experiencia en visual merchandising en retail de vestuario.
Formación en Diseño de Vestuario, Diseño de Interiores o carrera afín.
Perfil proactivo, creativo y con iniciativa.
Disponibilidad para trabajar de lunes a viernes en horario retail."
Visual Marchandising Castro,Otra Área,"Castro, Los Lagos",Castro,Los Lagos,2026-07-01,6097142,tricot,2026-07-17,2026-07-24,0.2987,Vendedor,Jornada Completa,Tricot S.A.,Media,Chile,1 años,2026-07-31,https://tricot.trabajando.cl/trabajo-empleo/visual-marchandising-castro/trabajo/6097142,"¡Únete a Tricot! En  Tricot , estamos en búsqueda de un/a ...","¡Únete a Tricot!
En Tricot, estamos en búsqueda de un/a Visual Merchandising para nuestra nueva tienda ubicada en Castro.
Principales funciones:
Ejecutar el montaje de productos en sala de ventas (vitrinas, muros, muebles, traseras) según lineamientos de casa matriz, cuidando tallas y colorimetría.
Implementar montajes de eventos y ventas especiales, asegurando coherencia visual en toda la tienda.
Supervisar y coordinar al equipo de apoyo en montajes y reposición de productos.
Realizar registros fotográficos de las implementaciones.
Mantener actualizadas vitrinas, gráficas y precios según instructivos.
Revisar quiebres de stock en sala y gestionar reposición con bodega.
Analizar productos con baja rotación (venta en 0) y proponer estrategias para aumentar su visibilidad.
Apoyar en tareas adicionales del área según requerimientos de jefatura.
Requisitos:
Al menos 1 año de experiencia en visual merchandising en retail de vestuario.
Formación en Diseño de Vestuario, Diseño de Interiores o carrera afín.
Perfil proactivo, creativo y con iniciativa.
Disponibilidad para trabajar de lunes a viernes en horario retail.
¿Qué ofrecemos?
Estabilidad laboral.
Contrato directo con la empresa.
postula con nosotros . ¡Te esperamos!",1,"Requisitos:
Al menos 1 año de experiencia en visual merchandising en retail de vestuario.
Formación en Diseño de Vestuario, Diseño de Interiores o carrera afín.
Perfil proactivo, creativo y con iniciativa.
Disponibilidad para trabajar de lunes a viernes en horario retail."
Asistente de bodega Quilicura,Otra Área,"Quilicura, Metropolitana de Santiago",Quilicura,Metropolitana de Santiago,2026-07-01,6097058,tricot,2026-07-17,2026-07-24,0.3486,Asistente,Jornada Completa,Tricot S.A.,Media,Chile,1 años,2026-07-31,https://tricot.trabajando.cl/trabajo-empleo/asistente-de-bodega-quilicura/trabajo/6097058,En Tricot nos encontramos en búsqueda...,"En Tricot nos encontramos en búsqueda de un Asistente de bodega, nuestra búsqueda se encuentra orientada a trabajadores que cuenten con la disponibilidad para trabajar en CD ubicado en Quilicura, cercano al metro plaza Quilicura .
Funciones del cargo:
Carga y descarga de productos.
Traslado de cajas de manera manual y con transpaleta manual.
Despacho de productos.
Armado de pallets.
Realización de picking.
Otras indicaciones por si jefatura.
Requisitos:
Enseñanza media completa.
Ganas de trabajar.
Ideal experiencia previa en la carga y descarga de camiones (no excluyente).
Condiciones laborales:
Jornada de Lunes a Viernes de 8:00 a 16:30 hrs/ 10:00 a 18:30 horas
Casino corporativo.
Contrato directo empresa.
Estabilidad laboral.
Renta líquida: 539.000",30,"Requisitos:
Enseñanza media completa.
Ganas de trabajar.
Ideal experiencia previa en la carga y descarga de camiones (no excluyente)"
