title,team,location,city,job_id,source,first_seen_date,last_seen_date,semantic_similarity,job_category,schedule_type,company_name,country,url,description_short,description,requirements,selection_process
Senior Strategy Manager,Gerencia Estrategia Corporativa y Desarrollo de Negocio,Quilicura,Quilicura,4397341,walmart,2026-07-14,2026-07-14,0.4539,Gerencia Estrategia Corporativa y Desarrollo de Negocio,Full Time,Walmart Chile,Chile,https://postulawalmartchile.cl/vacante/detalle/4397341/external,,"¿Tienes ganas de hacer la diferencia y alcanzar tu mejor versión? En Walmart Chile nos transformamos día a día con orgullo y pasión para brindar la mejor experiencia omnicanal y generar un impacto real en nuestros colaboradores, clientes y comunidades. Somos el Retail minorista más grande del mundo y el tercer empleador más grande de Chile. En Chile nos puedes encontrar a través de nuestras plataformas digitales Lider App y Lider Web, y nuestros formatos Lider, Express de Lider, Super Bodega aCuenta y Central Mayorista. ¡Pero eso no es todo! Para lograr la experiencia de compra de excelencia que buscamos, contamos también con nuestras plantas productivas y centros de distribución. El team de Estrategia está buscando a su próximo/a Senior Strategy Manager para hacer la diferencia en nuestros equipos. Valoramos lo que te hace único y promovemos una cultura donde puedes ser tu mejor versión y generar impacto positivo. Esta oferta laboral se rige bajo la Ley Nº 21.015 que incentiva la inclusión de personas con discapacidad al mundo laboral. ¿Cuáles serían tus principales desafíos? Definir y ejecutar estrategias corporativas alineadas con la visión y objetivos del negocio. Analizar entorno macroeconómico, industria y competencia para generar insights y recomendaciones accionables. Liderar iniciativas estratégicas cross-funcionales, asegurando alineación, ejecución y gestión de riesgos. Desarrollar business cases, planes financieros y modelos estratégicos para la toma de decisiones. Monitorear tendencias de mercado, clientes y competencia, anticipando oportunidades y riesgos. Actuar como asesor estratégico de líderes y stakeholders, influyendo en decisiones clave. Traducir la estrategia en objetivos financieros, planes tácticos y métricas de desempeño. Impulsar decisiones basadas en datos, análisis financiero y mejora continua. Liderar y desarrollar equipos de alto desempeño, promoviendo colaboración, diversidad e inclusión.","-Titulado/a de Ingeniería Civil Industrial o Comercial. -Desde 8 años de experiencia laboral. -Sería un plus si posees un MBA -Experiencia en consultoría, estrategia y/o retail. -Alta abstracción y pensamiento estratégico para traducir entornos complejos en decisiones claras. -Influir y generar confianza en C-level actuando como sparring y alineando decisiones de alto impacto -Sólido juicio financiero y de negocio para sustentar estrategias y evaluar riesgos y oportunidades.",Al postular serás notificado exclusivamente vía mail sobre el estado de tu postulación
Planner,Gerencia Comercial,Quilicura,Quilicura,4400333,walmart,2026-07-14,2026-07-19,0.4314,Gerencia Comercial,Full Time,Walmart Chile,Chile,https://postulawalmartchile.cl/vacante/detalle/4400333/external,,"El team de Planning está buscando a su próximo/a Planner para hacer la diferencia en nuestro equipo de la Gerencia Comercial, reportando a la Head Planner. Valoramos tu historia y eso que nos hace únicos. Es por eso impulsamos un ambiente de trabajo inclusivo, en donde puedes ser tu mejor versión y hacer la diferencia junto a nosotros. *Esta oferta laboral se rige bajo la Ley Nº 21.015 que incentiva la inclusión de personas con discapacidad al mundo laboral. Tus funciones: - Elaborar el plan anual financiero de ventas, margen y DOH consistentes con la estrategia comercial omnicanal en Tribus de Misión y Squad a cargo. -Elaborar planes financieros consistentes con la estrategia comercial de la tribu. Definición y construcción de presupuestos comerciales (venta, compra, margen inicial, markdown, margen mantenido) a nivel de categoría, fineline, item a cargo. Presentación a GMM y DMM para aprobación. -Controlar las compras nacionales e importadas de acuerdo a presupuestos de compra y plan de DOH definido. Aprobación de compras excepcionales fuera de presupuesto. Seguimiento de inventarios a nivel depto/fineline/item y generación de alertas de quiebre o exceso. -Analizar oportunidades, elaborar planes y controlar las apuestas comerciales, actividades promocionales y campañas. -Elaborar y analizar forecast de planes de venta, compra, margenes e ingresos financieros a corto y mediano plazo (mes en curso y YTG), guiando y controlando a los equipos comerciales en la gestión y seguimiento omnicanal del negocio. -Ejecutar las estrategias de salida de acuerdo a los tipos de producto en inventario mediante la definición de productos a liquidar, precios de los mismos y plazos de implementación; controlando eficientemente el presupuesto destino para liquidaciones de mercadería. -Elaborar/generar reportes diarios, semanales y mensuales para toda el área comercial de los diferentes KPIs del negocio. Analizar indicadores dando visibilidad y alerta a stakeholders.","-¿Qué esperamos de ti? -Que tengas entre 1 y 3 años de experiencia profesional. -Que te manejes en un Excel Avanzado (Tablas dinámicas, Cálculos Macro, Filtros avanzados) -Que te manejes en SQL intermedio -Que tengas conocimiento de Tableau/Power BI -Que tengas conocimiento de Data Blending: Tableu prep / Alteryx -Te manejas en un inglés intermedio -Eres Ingeniero/a Civil Industrial, Comercial , en información y control de gestión, o afín",Al postular serás notificado exclusivamente vía mail sobre el estado de tu postulación
Prevencionista De Riesgos Talca Plazo Fijo,Gerencia de Ética y Cumplimiento,Talca,Talca,4401600,walmart,2026-07-14,2026-07-20,0.339,Gerencia de Ética y Cumplimiento,Full Time,Walmart Chile,Chile,https://postulawalmartchile.cl/vacante/detalle/4401600/external,,"El team de Express de Líder está buscando a su próximo/a Prevencionista de Riesgos para hacer la diferencia en nuestra Gerencia de Ética y Cumplimiento. ¡Esta oportunidad es para todos! Valoramos tu historia y eso que nos hace únicos. Es por eso que pot un ambiente de trabajo inclusivo, en donde puedas ser tu mejor versión y hacer la diferencia junto a nosotros. * Esta oferta laboral se rige bajo la Ley Nº 21.015 que incentiva la inclusión de personas con discapacidad al mundo laboral. Tus funciones: - Asesorar y dirigir acciones preventivas que se enfoquen a disminuir la tasa de accidentabilidad y siniestralidad de la unidad de negocio a cargo, focalizando el trabajo colaborativo con la operación para lograr objetivos. - Aplicar y gestionar el cumplimiento de los protocolos MINSAL, Protocolos Internacionales y Programa de Higiene Ocupacional. - Comunicar de manera efectiva a las líneas de mando, respecto a los lineamientos de H&S. Hacer uso de medios comunicación efectivos, que permitan un alcance mayor a la operación. - Revisión, seguimiento y control a las actividades relacionadas a controlar emergencias que afecten la continuidad operacional de Walmart Chile. - Realizar seguimiento al programa de trabajo de terceras partes. Revisión y auditorias establecidas para el control documental y legal en plataforma SICOP. - Integrar y dar seguimiento a las plataformas digitales que almacenan data de gestión, tanto interna como externa (mutual de seguridad). - Gestionar procesos KPI y organizar funcionalmente proyectos propios y de sus reportes - Realizar gestión preventiva de multas. Identificar causas principales que afecten al negocio. Dando seguimiento mensual decada uno de los centros de trabajo identificando los incumplimientos regulatorios.",-Al menos un 1 año de experiencia aplicando el rol de Prevencionista de Riesgos. -Manejo de sistemas nivel usuario. -Manejo de Office nivel usuario. -Eres Ing. Ing. en Prevención de Riesgos y Medio Ambiente o Ing. en Prevención de Riesgos. -Cuentas con movilización propia (excluyente),Al postular serás notificado exclusivamente vía mail sobre el estado de tu postulación
Project Manager Digital,Gerencia Walmart Digital,Quilicura,Quilicura,4435534,walmart,2026-07-14,2026-07-21,0.3979,Gerencia Walmart Digital,Full Time,Walmart Chile,Chile,https://postulawalmartchile.cl/vacante/detalle/4435534/external,,"El team de Digital está buscando a su próximo/a Project Manager Digital para hacer la diferencia en nuestra Gerencia Walmart Digital. ¡Esta oportunidad es para todos/as! Valoramos tu historia y eso que nos hace únicos. Es por eso que pot un ambiente de trabajo inclusivo, en donde puedas ser tu mejor versión y hacer la diferencia junto a nosotros/as. *Esta oferta laboral se rige bajo la Ley Nº 21.015 que incentiva la inclusión de personas con discapacidad al mundo laboral. Tus principales desafíos serán: - Lidera la planificación estratégica y ejecución de nuevos lanzamientos de productos digitales, estableciendo hojas de rutas claras, riesgos potenciales, hitos medibles y coordinando recursos necesarios entre los distintos departamentos - Estima y mide las iniciativas y nuevos productos digitales para el negocio, a través de un roadmap a mediano y largo plazo. Prioriza en función del impacto comercial, ejecuta pruebas de lanzamiento y mide resultados asociados. - Gestiona la comunicación transversal entre equipos multidisciplinarios, actuando como puente para alinear objetivos, resolver conflictos y asegurar que todas las áreas trabajen sincronizadas hacia las metas del proyecto. Uso de metodología ágil y KPIs de éxito y seguimiento. - Construye y mantiene relaciones solidas con stakeholders claves, asegurando su compromiso y participación del proyecto mediante reportes ejecutivos periódicos, sesiones de retroalimentación y gestionando efectivamente las expectativas en cada fase.","-3 años de experiencia manejando proyectos de productos digitales, preferencia publicidad o marketing -Tienes dominio práctico en metodologías agiles -Comprensión sólida de productos publicitarios digitales -Dominio de herramientas de gestión de proyectos -Te manejas en un inglés intermedio -Eres Ingeniero/a Civil Industrial, o Comercial, o carrera afín",Al postular serás notificado exclusivamente vía mail sobre el estado de tu postulación
Project Manager Instore,Gerencia Walmart Digital,Huechuraba,Huechuraba,4435540,walmart,2026-07-14,2026-07-21,0.356,Gerencia Walmart Digital,Full Time,Walmart Chile,Chile,https://postulawalmartchile.cl/vacante/detalle/4435540/external,,"El team de Instore está buscando a su próximo/a Project Manager Instore para hacer la diferencia en nuestro equipo de Walmart Digital. ¡Esta oportunidad es para todos/as! Valoramos tu historia y eso que nos hace únicos. Es por eso que por un ambiente de trabajo inclusivo, en donde puedas ser tu mejor versión y hacer la diferencia junto a nosotros/as. *Esta oferta laboral se rige bajo la Ley Nº 21.015 que incentiva la inclusión de personas con discapacidad al mundo laboral. Tus principales desafíos serán: - Desarrolla la monetización del canal físico, a través de la apertura de nuevos formatos (superbodega acuenta y central mayorista). - Impulsa el crecimiento del negocio instore a través de lanzamientos de nuevos elementos de publicidad para todos los formatos. Foco en el benchmark de otros mercados y potenciar la experiencia de cliente - Gestiona la comunicación transversal entre equipos multidisciplinarios, actuando como puente para alinear objetivos, resolver conflictos y asegurar que todas las áreas trabajen sincronizadas hacia las metas del proyecto. Uso de metodología ágil y KPIs de éxito y seguimiento. - Construye y mantiene relaciones solidas con stakeholders claves, asegurando su compromiso y participación del proyecto mediante reportes ejecutivos periódicos, sesiones de retroalimentación y gestionando efectivamente las expectativas en cada fase. - Define KPIs de éxito, workflow de seguimiento y vsibilidad. Responsable de la medición de los lanzamientos lleve a cabo para entregar a cliente e impulsar la mejora continua.","-3 años de experiencia manejando proyectos, lanzamiento go to market en publicidad o marketing -Dominio práctico en metodologías agiles -Comprensión sólida de productos publicitarios, preferencia publicidad tradicional física -Dominio de herramientas de gestión de proyectos -Capacidad analítica para medición de impacto en tienda -Experiencia práctica con herramientas de manejo de datos -Tienes inglés intermedio -Eres Ingeniero/a Civil, Comercial, o carrera afín",Al postular serás notificado exclusivamente vía mail sobre el estado de tu postulación
Analista Senior Pricing,Gerencia Comercial,Quilicura,Quilicura,4410645,walmart,2026-07-14,2026-07-22,0.3868,Gerencia Comercial,Full Time,Walmart Chile,Chile,https://postulawalmartchile.cl/vacante/detalle/4410645/external,,"El equipo de Princing y Promociones está buscando a su próximo/a Analista Pricing para hacer la diferencia en su equipo. Valoramos tu historia y eso que nos hace únicos. Impulsamos un ambiente de trabajo inclusivo, en donde puedes ser tu mejor versión y hacer la diferencia junto a nosotrxs. Esta oferta laboral se rige bajo la Ley Nº 21.015 que incentiva la inclusión de personas con discapacidad al mundo laboral. Tus principales funciones: Asegurar la disponibilidad, consistencia, validez y calidad de la data de precios interna y externa. Definición y ejecución de estrategia de precios a nivel de competencia, formato y tipo de producto para dar cumplimiento al plan de posicionamiento de forma rentable. Liderar el desarrollo de herramientas tecnológicas que generen mejoras en el WOW del equipo y en las interacciones con stakeholders (Automizer, CyD Liquidaciones). Desarrollo y mantención de BI interactivos para visibilidad y alertas de posicionamiento a stakeholders (Comercial, Operaciones, Finanzas, Marketing). Visitar semanalmente tiendas propias y de la competencia. Desarrollo y ejecución de estrategias para productos especiales (No comparables, OPP, MMPP). Evaluación de listas promocionales con información de mercado y parámetros internos. Ejecución y control de listas promocionales (sistemas). Evaluación y ejecución de procesos de liquidación particulares y programados.","-Título profesional de Ingeniería Civil Industrial, Comercial o carrera afín. -Mínimo 3 años de experiencia en equipos comerciales o de desarrollo. -Conocimientos de metodologías y conceptos ágiles. -Manejo avanzado de Excel (excluyente). -Conocimientos de SQL, Power BI y Python (deseable). -Inglés intermedio oral y escrito. (excluyente)",Al postular serás notificado exclusivamente vía mail sobre el estado de tu postulación
Auditor Senior,Gerencia Auditoría Interna,Quilicura,Quilicura,4407460,walmart,2026-07-14,2026-07-22,0.2972,Gerencia Auditoría Interna,Full Time,Walmart Chile,Chile,https://postulawalmartchile.cl/vacante/detalle/4407460/external,,"•	Coordinar y ejecutar las pruebas de auditoría y su documentación, basados en la metodología de Auditoría Interna, considerando entre otros, la siguiente estructura de documentación: propósito y objetivo de los procedimientos de prueba, decisiones de muestreo claras y precisas, conclusiones de los procedimientos de prueba realizados, descripción de las notas de auditoría, fuente de información, etc •	Ejecutar el seguimiento oportuno de los planes de acción, gestionando con los responsables de negocios correspondientes. Probar la efectividad los controles u otras acciones de mitigación implementadas. Dar visibilidad de potenciales retrasos. •	Utilizar análsis de datos en el desarrollo de las pruebas de auditoría con el fin de ganar eficiencias dentro de la ejecución de los procedimientos de auditoría, así como para agregar valor al negocio. •	Participar activamente en la preparación y presentación de los resultados de la auditoría, tanto a las unidades de negocio como al Equipo Global de Auditoría Walmart, apoyando al lider de Proyecto. •	Compartir e interactuar con otros miembros del equipo de manera oportuna para compartir las mejores prácticas y experiencias basadas en proyectos de auditoría anteriores, capacitaciones y otras instancias de aprendizaje.","-Experiencia mínima en auditoría interna o externa de 4-5 años o áreas relacionadas como Finanzas -Contador Público y Auditor, Ingeniero/a Civil Industrial, en informática, comercial o afín -Nivel Avanzado de Ingles -Manejo en análisis de datos como Tableau, Alteryx, Power BI, SQL, Phyt. -Conocimiento de marcos ágiles (Scrum) -Certificaciones (deseables): SAP, CIA/CISA",Al postular serás notificado exclusivamente vía mail sobre el estado de tu postulación
Comprador Omnicanal,Gerencia Comercial,Quilicura,Quilicura,4408017,walmart,2026-07-14,2026-07-22,0.3269,Gerencia Comercial,Full Time,Walmart Chile,Chile,https://postulawalmartchile.cl/vacante/detalle/4408017/external,,"El team de Super Bodega aCuenta; está buscando a su próximo/a Comprador Omnicanal para las categorías de; Proteínas y Frutas y Verduras hacer la diferencia en nuestra gerencia Comercial, reportando al Divisional Merchandising Manager. ¡Esta oportunidad es para todos/as! Valoramos tu historia y eso que nos hace únicos. Es por eso que, por un ambiente de trabajo inclusivo, en donde puedas ser tu mejor versión y hacer la diferencia junto a nosotros/as. *Esta oferta laboral se rige bajo la Ley Nº 21.015 que incentiva la inclusión de personas con discapacidad al mundo laboral. Tus funciones: •	Negociar aspectos comerciales con proveedores y mantener actualizadas las condiciones comerciales. •	Planificar y ejecutar la compra, a nivel nacional o internacional, de productos correspondientes a su categoría, de acuerdo a criterios definidos (tipo de productos, calidad, precios, temporada, etc.) •	Coordinar y controlar el abastecimiento de locales, con productos de su categoría, velando por un grupo de categorías mas amplia. •	Analizar los indicadores de gestión de ventas y mercado (oferta y mix de la competencia, etc) •	Coordinación de Campañas con los diversos equipos internos de la compañía •	Revisar oportunidades en terreno el surtido y distribución de la mercadería en las tiendas •	Determinar los precios, publicidad y promociones de los productos de su categoría. Definir el Rol Categoría de los productos a comprar, de acuerdo a formato, marcas, diseño, comprar muestras, etc. •	Participa procesos transversales compañía •	Confeccionar el presupuesto anual de compra para la categoría de su competencia. (Global - GM). Participación en confección del Bottom up del año (PPS/ACP) •	Ejecutar las labores de registro de información en los sistemas (herramientas).","-Tienes 2 años trabajando como Comprador en retail, o cargos similares. -Tienes 1 temporada vendida / Compra y administración 1 temporada completa -Tienes experiencia en procesos de negociación finalizado. -Tienes inglés intermedio – avanzado. -Eres Ingeniero/a Comercial o carrera a fin.",Al postular serás notificado exclusivamente vía mail sobre el estado de tu postulación
Comprador Omnicanal,Gerencia Comercial,Quilicura,Quilicura,4455206,walmart,2026-07-18,2026-07-22,0.3413,Gerencia Comercial,Full Time,Walmart Chile,Chile,https://postulawalmartchile.cl/vacante/detalle/4455206/external,,"El team de Líder; está buscando a su próximo/a Comprador Omnicanal para las categorías de Hogar; hacer la diferencia en nuestra gerencia Comercial, reportando al Divisional Merchandising Manager. Valoramos tu historia y eso que nos hace únicos. Es por eso impulsamos un ambiente de trabajo inclusivo, en donde puedes ser tu mejor versión y hacer la diferencia junto a nosotros/as. *Esta oferta laboral se rige bajo la Ley Nº 21.015 que incentiva la inclusión de personas con discapacidad al mundo laboral. - Negociar aspectos comerciales con proveedores y mantener actualizadas las condiciones comerciales. - Planificar y ejecutar la compra, a nivel nacional o internacional, de productos correspondientes a su categoría, de acuerdo a criterios definidos (tipo de productos, calidad, precios, temporada, etc.) - Coordinar y controlar el abastecimiento de locales, con productos de su categoría, velando por un grupo de categorías mas amplia. - Analizar los indicadores de gestión de ventas y mercado (oferta y mix de la competencia, etc) - Coordinación de Campañas con los diversos equipos internos de la compañía - Revisar oportunidades en terreno el surtido y distribución de la mercadería en las tiendas - Determinar los precios, publicidad y promociones de los productos de su categoría. Definir el Rol Categoría de los productos a comprar, de acuerdo a formato, marcas, diseño, comprar muestras, etc. - Participa procesos transversales compañía - Confeccionar el presupuesto anual de compra para la categoría de su competencia. - Ejecutar las labores de registro de información en los sistemas (herramientas).","-Desde 2 años de experiencia trabajando como comprador en retail, o cargos similares -Experiencia en tener 1 temporada vendida -Experiencia en compra y administración de 1 temporada completa -Tienes un proceso de negociación finalizado -Eres Ingeniero Comercial o carrera a fin.",Al postular serás notificado exclusivamente vía mail sobre el estado de tu postulación
Comprador Omnicanal Senior,Gerencia Comercial,Quilicura,Quilicura,4411712,walmart,2026-07-14,2026-07-22,0.427,Gerencia Comercial,Full Time,Walmart Chile,Chile,https://postulawalmartchile.cl/vacante/detalle/4411712/external,,"Tienes ganas de hacer la diferencia y alcanzar tu mejor versión? En Walmart Chile nos transformamos día a día para brindar la mejor experiencia omnicanal a nuestros clientes y generar impacto real en colaboradores y comunidades. Somos el retail minorista más grande del mundo y el tercer empleador más grande de Chile, presentes a través de Lider App, Lider Web y nuestros formatos Lider, Express de Lider, Super Bodega aCuenta y Central Mayorista. Contamos además con plantas productivas y centros de distribución que hacen posible nuestra operación. La interculturalidad, innovación y diversidad son parte de nuestro ADN. Somos personas trabajando para personas, impulsando un ambiente inclusivo donde cada quien puede ser su mejor versión. * Esta oferta se rige bajo la Ley N°21.015 de inclusión laboral. El team de Compras Comerciales busca a su próximo/a Comprador Omnicanal Senior Menaje, reportando al Divisional Merchandising Manager de la Gerencia Comercial. Principales funciones: • Negociar condiciones comerciales con proveedores, asegurando competitividad sostenida y definición de roles de categoría multiformato. • Gestionar compra, surtido y abastecimiento en coordinación con equipos de Replenishment. • Analizar indicadores de ventas, mercado y competencia para la toma de decisiones. • Liderar proyectos transversales de alto impacto (mejoras de procesos, layout, tienda del futuro). • Coordinar y ejecutar campañas comerciales con Marketing, Supply, Operaciones y Ecommerce. • Evaluar surtido y distribución en tiendas y canales digitales. • Negociar promociones, descuentos y condiciones comerciales. • Mantener sistemas actualizados con condiciones comerciales, line reviews y definiciones de surtido. • Gestionar facturación de acuerdos comerciales (allowances) con proveedores.","-Eres Ingeniero/a Comercial, Civil Industrial o carrera a fin. -Tienes al menos 4 años trabajando como comprador en retail o cargos similares. -Experiencia liderando al menos un proyecto transversal y al menos 2 campañas transversales compañía -Tienes experiencia negociando con proveedores",Al postular serás notificado exclusivamente vía mail sobre el estado de tu postulación
