title,team,location,city,state,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,worker_type,schedule_type,company_name,education,country,experience_level,application_deadline,url,description_short,description,vacancies,requirements
Técnico de mantención preventiva,Otra Área,"San Bernardo, Metropolitana de Santiago",San Bernardo,Metropolitana de Santiago,2026-07-29,6107487,watts,2026-07-30,2026-08-03,0.3472,Técnico,Jornada Completa,Watts S.A.,Técnico medio/ colegio técnico,Chile,2 años,2026-08-28,https://watts.trabajando.cl/trabajo-empleo/tecnico-de-mantencion-preventiva/trabajo/6107487,En Watt s buscamos nuevos talentos!...,"En Watt s buscamos nuevos talentos!
En tu despensa, refrigerador o congelador hay, al menos, un producto elaborado por Watt's. Es por esto que queremos invitarte a ser parte de una de las principales empresas de alimentos del país y ayudarnos a seguir creciendo, diversificándonos e innovando.
Estamos en búsqueda de nuestro próximo Técnico de mantención preventiva, para nuestra gerencia de Producción, planta San Bernardo.
Objetivo del cargo:
Encargado de ejecutar actividades de mantención preventiva y correctiva en las áreas de servicios de planta.
Tus desafíos serán:
Ejecución de actividades de mantenimiento correctivo, preventivo y predictivo en equipos periféricos de planta (bombas, válvulas, entre otros).
Apoyo en la ejecución de actividades de soldadura.
Lectura y análisis de planos o despieces de equipos.
Control y monitoreo de parámetros de funcionamiento de sistemas periféricos de planta.
Seguimiento y análisis de diversos indicadores.
Selección y levantamiento de repuestos críticos del área.
Seguimiento y soporte en actividades relacionadas con el sistema de gestión energética de planta.
Ofrecemos:
Casino en las plantas de acuerdo a tu jornada de trabajo.
Aguinaldo de fiestas patrias y navidad.
Días administrativos.
Seguro complementario de Salud y Dental.
Ropa de trabajo para los cargos que así lo requieran.
Sala cuna o bono para trabajadoras con hijos menores de hasta 2 años.
Venta de productos con descuentos exclusivos Watt s.
Y más...",1,"¿Qué esperamos de ti?
Título técnico en Electricidad, Electromecánica, Mecánica, Refrigeración o carrera afín.
Al menos 2 años de experiencia en plantas de producción, idealmente en el área de mantenimiento.
Conocimientos en electromecánica (excluyente) y en refrigeración con amoníaco (deseable).
Manejo de Excel intermedio (excluyente).
Manejo de SAP PM (deseable).
Conocimientos o certificaciones como operador de calderas (deseable).
Disponibilidad para trabajar de manera presencial en San Bernardo."
Operador Inhibidor Enzimático,Otra Área,"San Bernardo, Metropolitana de Santiago",San Bernardo,Metropolitana de Santiago,2026-07-29,6107273,watts,2026-07-29,2026-08-03,0.341,Operario,Por Turnos,Watts S.A.,Media,Chile,2 años,2026-08-28,https://watts.trabajando.cl/trabajo-empleo/operador-inhibidor-enzimatico/trabajo/6107273,¡En Watt s buscamos nuevos talentos!...,"¡En Watt s buscamos nuevos talentos!
En tu despensa, refrigerador o congelador hay, al menos, un producto elaborado por Watt's. Es por esto que queremos invitarte a ser parte de una de las principales empresas de alimentos del país y ayudarnos a seguir creciendo, diversificándonos e innovando.
Estamos en búsqueda de nuestro próximo Operador Inhibidor Enzimático, para nuestra planta Lonquén, ubicada en Av. Lonquén 12.021, San Bernardo, RM.
Tus desafíos serían:
·       Mantener el stock de productos requeridos para cumplir el plan de producción del turno, cumpliendo los parámetros de seguridad, calidad y BPM requeridos por la planta.
·       Operar el equipo inhibidor enzimático.
·       Coordinar el proceso de volcado de frutas e inspección de la misma
·       Coordinación con el operador líder, enviado reportes de avances.
¿Qué esperamos de ti?
·       Educación media completa, deseable técnico nivel medio en mecánica o eléctrica.
·       2 años de experiencia operando máquinas de producción.
·       Conocimientos de Excel, SAP y HACCP
Ofrecemos:
Casino en las plantas de acuerdo a tu jornada de trabajo.
Aguinaldo de fiestas patrias y navidad.
Días administrativos.
Seguro complementario de Salud y Dental.
Ropa de trabajo para los cargos que así lo requieran.
Sala cuna o bono para trabajadoras con hijos menores de hasta 2 años.
Venta de productos Watt s con descuentos exclusivos",1,"·       Educación media completa, deseable técnico nivel medio en mecánica o eléctrica.
·       2 años de experiencia operando máquinas de producción.
·       Conocimientos de Excel, SAP y HACCP"
Técnico en mantención preventiva - Lonquén ,Otra Área,"San Bernardo, Metropolitana de Santiago",San Bernardo,Metropolitana de Santiago,2026-07-28,6106835,watts,2026-07-28,2026-08-03,0.3409,Mantenedor,Por Turnos,Watts S.A.,Técnico medio/ colegio técnico,Chile,2 años,2026-08-27,https://watts.trabajando.cl/trabajo-empleo/tecnico-en-mantencion-preventiva-lonquen/trabajo/6106835,¡En Watt s buscamos nuevos talentos!...,"¡En Watt s buscamos nuevos talentos!
En tu despensa, refrigerador o congelador hay, al menos, un producto elaborado por Watt's. Es por esto que queremos invitarte a ser parte de una de las principales empresas de alimentos del país y ayudarnos a seguir creciendo, diversificándonos e innovando.
Estamos en búsqueda de un Operador de Técnico en Mantención Preventiva, para nuestra Planta Lonquén, ubicada en Camino a Lonquén 12021, San Bernardo, Región Metropolitana.
Tu objetivo principal sería la revisión, supervisión y análisis del funcionamiento de los equipos del departamento, detectando a tiempo posibles fallas, coordinando mantenciones y ejecuciones de mantención preventiva, evitando se presenten fallas durante los procesos productivos.
Tus desafíos serían:
Realizar análisis de los procesos de los equipos, identificando la existencia de posibles fallas dentro de la producción, revisar los levantamientos de fallas en los equipos.
Apoyar a las reparaciones y/o correcciones de las fallas presentes dentro de las líneas operativas del área.
Generar, coordinar y trabajar planificación de fechas establecidas para la generación y ejecución de las mantenciones de equipos para evitar que estos presenten fallas en los tiempos de producción.
Generar e ingresar solicitud de los materiales adecuados para las reparaciones a realizar.
Documentar las mantenciones realizadas, especificando los cambios y/o modificaciones que se realizaron, detallando procedimientos, el tiempo requerido y materiales utilizados en las correcciones.
Mantener estrecha relación con proveedores y maestranzas para realizar las solicitudes de cotizaciones de los materiales y/o trabajos requeridos para la realización correcta de la mantención.
Realizar análisis en los equipos del departamento, generando propuestas de mejoras en las mantenciones preventivas con enfoque en la eficiencia productiva y funcionamiento de equipos
¿Qué esperamos de ti?
Deseable formación como Técnico en mecánica, Técnico en electricidad, Técnico en mantención hidráulica y neumática, o carreras afín.
Experiencia de 3 años en cargos similares.
Conocimientos en Mecánica, Electricidad, Neumática, Termodinámica, Mantención Industrial, entre otros.
Conocimientos en SAP y Office.
Disponibilidad para trabajar en Turnos Rotativos AM/PM/Noche
Disponibilidad para trabajar en San Bernardo
Ofrecemos:
Buses de acercamiento en diferentes comunas del país.
Casino en las plantas de acuerdo a tu jornada de trabajo.
Aguinaldo de fiestas patrias y navidad.
Días administrativos.
Seguro complementario de Salud y Dental.
Ropa de trabajo para los cargos que así lo requieran.
Sala cuna o bono para trabajadoras con hijos menores de hasta 2 años.
Venta de productos Watt s con descuentos exclusivos.",1,"Formación como Técnico en mecánica, Técnico en electricidad, Técnico en mantención hidráulica y neumática, o carreras afín.
Experiencia de 3 años en cargos similares.
Conocimientos en Mecánica, Electricidad, Neumática, Termodinámica, Mantención Industrial, entre otros.
Conocimientos en SAP y Office.
Disponibilidad para trabajar en Turnos Rotativos AM/PM/Noche
Disponibilidad para trabajar en San Bernardo"
Operador de Grúa Hoquilla - Lonquén,Otra Área,"San Bernardo, Metropolitana de Santiago",San Bernardo,Metropolitana de Santiago,2026-07-28,6106812,watts,2026-07-28,2026-08-03,0.2981,Operario,Por Turnos,Watts S.A.,Media,Chile,2 años,2026-08-27,https://watts.trabajando.cl/trabajo-empleo/operador-de-grua-hoquilla-lonquen/trabajo/6106812,¡En Watt s buscamos nuevos talentos! ...,"¡En Watt s buscamos nuevos talentos!
En tu despensa, refrigerador o congelador hay, al menos, un producto elaborado por Watt's. Es por esto que queremos invitarte a ser parte de una de las principales empresas de alimentos del país y ayudarnos a seguir creciendo, diversificándonos e innovando.
Estamos en búsqueda de un Operador de Grúa Horquilla para nuestra Planta Lonquén, ubicada en Av. Lonquén 12021, San Bernardo.
Tus desafíos serían:
Ser responsable de la grúa horquilla, debe cargar y descargar los camiones, y la producción que vaya saliendo.
Cumplir la producción en la carga y descarga de camiones para que éstos salgan a tiempo.
Velar por la seguridad personal, del área y de las instalaciones, la calidad de los insumos, materias primas y/o productos transportados,
Estar a cargo de la eficiencia del proceso, es decir, orden, limpieza, y la administración de información.
A cargo de la toma de inventario, para llevar control de insumos.
Reporta al Jefe de turno.
¿Qué esperamos de ti?
Licencia Clase D (Excluyente).
Experiencia de 1 año operando Grúa Horquilla.
Experiencia en plantas de producción.
Poseer conocimientos generales en programas y normativas de aseguramiento de calidad y mejoramiento operacional.
Deseables conocimientos en sistema operativo SAP y WMS.
Disponibilidad para trabajar en turnos rotativos AM/PM/Noche
Ofrecemos:
Buses de acercamiento en diferentes comunas del país.
Casino en las plantas de acuerdo a tu jornada de trabajo.
Aguinaldo de fiestas patrias y navidad.
Seguro complementario de Salud y Dental.
Ropa de trabajo para los cargos que así lo requieran.
Sala cuna o bono para trabajadoras con hijos menores de hasta 2 años.
Venta de productos Watt s con descuentos exclusivos.",1,"Licencia Clase D (Excluyente).
Experiencia de 1 año operando Grúa Horquilla.
Experiencia en plantas de producción.
Poseer conocimientos generales en programas y normativas de aseguramiento de calidad y mejoramiento operacional.
Deseables conocimientos en sistema operativo SAP y WMS.
Disponibilidad para trabajar en turnos rotativos AM/PM/Noche"
"OPERADOR DE BODEGA, BUIN",Otra Área,"Buin, Metropolitana de Santiago",Buin,Metropolitana de Santiago,2026-07-27,6106481,watts,2026-07-28,2026-08-03,0.3254,Operario,En terreno,Watts S.A.,Media,Chile,1 años,2026-03-08,https://watts.trabajando.cl/trabajo-empleo/operador-de-bodega-buin/trabajo/6106481,¡En Watt s buscamos nuevos talentos!...,"¡En Watt s buscamos nuevos talentos!
En tu despensa, refrigerador o congelador hay, al menos, un producto elaborado por Watt's. Es por esto que queremos invitarte a ser parte de una de las principales empresas de alimentos del país y ayudarnos a seguir creciendo, diversificándonos e innovando.
Estamos en búsqueda de nuestros próximos Operadores de bodega, para nuestra gerencia de Planificación y Cadena de Suministro, Bodega Buin.
Ubicada en: Linderos Hermanos Carrera 0475, Linderos
Tus desafíos serán:
Ejecutar el almacenamiento de mercadería, realizando la movilización y estiba en la bodega y racks correspondientes de todos los productos recepcionados, provenientes tanto de clientes internos como externos al Centro de Distribución (plantas, otros CD y compañías externas), siguiendo las instrucciones definidas por el sistema WMS.
Inspeccionar la mercadería recepcionada, resguardando la integridad de los productos movilizados y del recurso pallet, asegurando que ambos se encuentren en condiciones óptimas para la operación.
Ejecutar labores de despacho de mercadería (carga y descarga), movilizando los productos de manera cuidadosa y eficiente para abastecimientos entre centros de distribución, otras instalaciones de la compañía y rutas de distribución a puntos de venta.
Mantener la bodega en condiciones de orden y limpieza, asegurando la correcta disposición de pallets, retiro de residuos de embalaje (film, mallas u otros materiales de estiba) y facilitando los procesos de control e inventario. Asimismo, realizar repaletizado de productos cuando corresponda.
Participar en los procesos de inventario mensual, ejecutando conteos de posiciones y verificaciones de stock.
Mantener en buenas condiciones de limpieza y funcionamiento los equipos móviles utilizados en la operación, tales como transpaletas manuales y eléctricas, grúas order picker, reach y horquilla.
Velar por el correcto uso y mantenimiento de las baterías de los equipos móviles, realizando carga y reposición de líquido cuando corresponda.
Cuidar y mantener operativos los equipos de radiofrecuencia asignados para la ejecución de las tareas.
Operar los distintos equipos móviles disponibles en el Centro de Distribución para el desarrollo de las funciones operativas, incluyendo transpaletas manuales y eléctricas, grúa order picker, grúa reach y grúa horquilla.
Ofrecemos:
Bono por traslado
Bono por colación
Seguro complementario de Salud y Dental.
Ropa de trabajo.
Sala cuna o bono para trabajadoras con hijos menores de hasta 2 años.
Venta de productos con descuentos exclusivos Watt's
Y más...",3,"¿Qué esperamos de ti?
Vivir en Buin o alrededores.
Contar con licencia de conducir clase D vigente (excluyente).
Experiencia previa en cargos similares en operaciones de bodega o centros de distribución.
Disponibilidad para trabajar en turnos rotativos (Mañana y Tarde).
Enseñanza media completa.
Conocimientos en sistema WMS y manejo de documentos mercantiles (deseable).
Contar con movilización propia."
"Operador Equipos de Empaque/Envasado, Planta Lonquén",Otra Área,"San Bernardo, Metropolitana de Santiago",San Bernardo,Metropolitana de Santiago,2026-07-24,6105541,watts,2026-07-24,2026-08-03,0.3206,Operario,Por Turnos,Watts S.A.,Técnico medio/ colegio técnico,Chile,1 años,2026-08-23,https://watts.trabajando.cl/trabajo-empleo/operador-equipos-de-empaque-envasado-planta-lonquen/trabajo/6105541,¡En Watt's buscamos nuevos talentos!...,"¡En Watt's buscamos nuevos talentos!
En tu despensa, refrigerador o congelador hay, al menos, un producto elaborado por Watt's. Es por esto que queremos invitarte a ser parte de una de las principales empresas de alimentos del país y ayudarnos a seguir creciendo, diversificándonos e innovando.
Estamos en búsqueda de un Operador Equipos de Empaque para nuestra Planta Lonquén, ubicada en Av. Lonquén 12021, San Bernardo, Región Metropolitana.
Tus desafíos serían:
Operar de manera adecuada y eficiente los equipos de empaque, de acuerdo a los manuales de operación y a los instructivos de trabajo.
Garantizar el cumplimiento del programa de producción bajo los estándares de seguridad, calidad y eficiencia productiva, y de acuerdo a los programas de Mejoramiento Operacional y Aseguramiento de Calidad.
¿Qué esperamos de ti?
Deseable enseñanza media industrial.
Experiencia en procesos productivos operando equipos esterilizadores y/o pasteurizadores.
Manejo de PC nivel usurario.
Conocimientos de programas y normativas de aseguramiento de calidad.
Disponibilidad para trabajar en Turnos Rotativos AM/PM/Noche.
Disponibilidad para trabajar de manera presencial en San Bernardo.
Ofrecemos:
Buses de acercamiento para diferentes comunas del país.
Casino en las plantas de acuerdo a tu jornada de trabajo.
Aguinaldo de fiestas patrias y navidad.
Seguro complementario de Salud y Dental.
Ropa de trabajo para los cargos que así lo requieran.
Sala cuna o bono para trabajadoras con hijos menores de hasta 2 años.
Venta de productos Watt s con descuentos exclusivos.",1,"Deseable enseñanza media industrial.
Experiencia en procesos productivos operando equipos esterilizadores y/o pasteurizadores.
Manejo de PC nivel usurario.
Conocimientos de programas y normativas de aseguramiento de calidad.
Disponibilidad para trabajar en Turnos Rotativos AM/PM/Noche.
Disponibilidad para trabajar de manera presencial en San Bernardo."
Administrativo de Caja,Otra Área,"San Bernardo, Metropolitana de Santiago",San Bernardo,Metropolitana de Santiago,2026-07-24,6105854,watts,2026-07-25,2026-08-01,0.3719,Administrativo,Jornada Completa,Watts S.A.,Técnico profesional superior,Chile,1 años,2026-07-31,https://watts.trabajando.cl/trabajo-empleo/administrativo-de-caja/trabajo/6105854,En Watt s buscamos nuevos talentos!...,"En Watt s buscamos nuevos talentos!
En tu despensa, refrigerador o congelador hay, al menos, un producto elaborado por Watt's. Es por esto que queremos invitarte a ser parte de una de las principales empresas de alimentos del país y ayudarnos a seguir creciendo, diversificándonos e innovando.
Estamos en búsqueda de nuestro próximo Administrativo de Caja, para nuestra gerencia de Administración y finanzas, planta San Bernardo.
Objetivo General:
Recaudar y controlar los valores recaudados por caja correspondientes a las ventas que realiza la empresa post Reparto diario, en cada turno, ya sea Administrativo, mañana o tarde
Gestionar la Rendición de Facturas
Elaborar información contable.
Gestionar y Controlar el Fondo Fijo asignado al CD Santiago
Funciones Específicas:
Recepcionar directamente de parte de los transportistas, los valores por las ventas que realiza la Cía. con formas de pago cheques y efectivos
Gestionar el depósito oportuno al banco de los valores recaudados.
Generar en Sistema la rendición de facturas, generación de notas de crédito y cuadratura de rendición.
Generar cuadratura de caja y reportar al área de Tesorería.
Gestionar el fondo fijo asignado al CD Santiago. implicando pagar gastos y conseguir el reembolso posterior oportuno.
Ofrecemos:
Casino en las plantas de acuerdo a tu jornada de trabajo.
Aguinaldo de fiestas patrias y navidad.
Días administrativos.
Seguro complementario de Salud y Dental.
Ropa de trabajo para los cargos que así lo requieran.
Sala cuna o bono para trabajadoras con hijos menores de hasta 2 años.
Venta de productos con descuentos exclusivos Watt s.
Y más...",1,"¿Qué esperamos de ti?
Técnico en Administración de Empresas / Contabilidad / Auditoria (Instituto o CFT)
Manejo de computación a nivel usuario, ideal SAP
Organizado y metódico
Experiencia en labores administrativas
Capacidad analítica y percepción de detalles
Disposición a trabajo por turnos, administrativo, mañana, tarde, sábados."
"Mecánico, San Bernardo",Otra Área,"San Bernardo, Metropolitana de Santiago",San Bernardo,Metropolitana de Santiago,2026-07-21,6103824,watts,2026-07-21,2026-07-29,0.3435,Técnico,Jornada Completa,Watts S.A.,Técnico profesional superior,Chile,2 años,2026-07-28,https://watts.trabajando.cl/trabajo-empleo/mecanico-san-bernardo/trabajo/6103824,¡En Watt s buscamos nuevos talentos!...,"¡En Watt s buscamos nuevos talentos!
En tu despensa, refrigerador o congelador hay, al menos, un producto elaborado por Watt's. Es por esto que queremos invitarte a ser parte de una de las principales empresas de alimentos del país y ayudarnos a seguir creciendo, diversificándonos e innovando.
Estamos en búsqueda de nuestro próximo Mecánico, para nuestra gerencia de Producción, planta San Bernardo.
Objetivo del Cargo:
Asegurar el correcto funcionamiento de máquinas/equipos productivos para el área de refinería, aplicable dentro de la ejecución de planes de mantenimiento preventivo y actividades de mantenimiento correctivo. Con el propósito de brindar una atención eficiente y eficaz para dar solución y/o mejorar las actividades productivas de la planta.
Tus desafíos serían:
MAQUINARIA:
Ejecutar actividades de mantención mecánica planeada o correctiva, recuperando repuestos, instalándolos, desarmando y montando según los requerimientos, para asegurar un correcto funcionamiento de la planta, cumpliendo con la planificación establecida.
Responsable de equipos propios de la planta, tales como: motores, bombas, piping, empaquetadura e infraestructura general.
REPORTES:
Documentar en SAP las órdenes de trabajo.
Generación de permisos de trabajo en el área de prevención.
Identificar la causa raíz de fallas.
Ofrecemos:
Casino en las plantas de acuerdo a tu jornada de trabajo.
Buses de acercamiento a distintas comunas.
Aguinaldo de fiestas patrias y navidad.
Días administrativos.
Seguro complementario de Salud y Dental.
Ropa de trabajo para los cargos que así lo requieran.
Sala cuna o bono para trabajadoras con hijos menores de hasta 2 años.
Venta de productos con descuentos exclusivos Watt s.
Y más...",1,"¿Qué esperamos de ti?
2-3 años de experiencia en cargos similares.
Técnico en mantenimiento industrial, automatización, eléctrico o afín.
Manejo de SAP.
Manejo de Excel básico.
Conocimiento en: maquinarias de producción, montaje, análisis de fallas (deseable).
Capacidad para gestionar repuestos según inspección técnica de equipos."
Analista Logístico,Otra Área,"San Bernardo, Metropolitana de Santiago",San Bernardo,Metropolitana de Santiago,2026-07-15,6102464,watts,2026-07-17,2026-07-23,0.4027,Analista,Jornada Completa,Watts S.A.,Técnico profesional superior,Chile,1 años,2026-07-22,https://watts.trabajando.cl/trabajo-empleo/analista-logistico/trabajo/6102464,En Watt s buscamos nuevos talentos!...,"En Watt s buscamos nuevos talentos!
En tu despensa, refrigerador o congelador hay, al menos, un producto elaborado por Watt's. Es por esto que queremos invitarte a ser parte de una de las principales empresas de alimentos del país y ayudarnos a seguir creciendo, diversificándonos e innovando.
Estamos en búsqueda de nuestro próximo Analista logístico, para nuestra gerencia de Planificación y Cadena de Suministro, planta San Bernardo.
Objetivo del cargo
Brindar apoyo administrativo y operativo al Centro de Distribución en materias relacionadas con la gestión de personas, contribuyendo al correcto funcionamiento de los procesos internos, el cumplimiento documental y el seguimiento de indicadores asociados a asistencia, productividad y clima laboral.
Principales funciones:
Apoyar la gestión administrativa de personas del Centro de Distribución.
Realizar seguimiento y control de asistencia del personal.
Apoyar en el control y monitoreo de indicadores de productividad.
Colaborar en la ejecución de iniciativas de clima laboral y bienestar.
Mantener actualizada la documentación del personal, verificando la vigencia de documentos requeridos (por ejemplo, licencias de conducir de operadores de maquinaria, certificaciones u otros).
Gestionar y mantener registros administrativos del área.
Coordinar y dar seguimiento a solicitudes administrativas relacionadas con el personal.
Apoyar en la elaboración de reportes e indicadores del área.
Colaborar con otras áreas para asegurar el cumplimiento de los procesos internos y normativas vigentes.
Ofrecemos:
Casino en las plantas de acuerdo a tu jornada de trabajo.
Aguinaldo de fiestas patrias y navidad.
Días administrativos.
Seguro complementario de Salud y Dental.
Ropa de trabajo para los cargos que así lo requieran.
Sala cuna o bono para trabajadoras con hijos menores de hasta 2 años.
Venta de productos con descuentos exclusivos Watt s.
Requisitos del cargo
Título de nivel técnico en Administración de Empresas, Recursos Humanos o carrera afín.
Deseable experiencia de al menos 1 año en funciones administrativas, logística o apoyo a gestión de personas.
Manejo de Microsoft Excel nivel intermedio.
Deseable conocimiento en control de asistencia y documentación laboral.",1,"Requisitos del cargo
Título de nivel técnico en Administración de Empresas, Recursos Humanos o carrera afín.
Deseable experiencia de al menos 1 año en funciones administrativas, logística o apoyo a gestión de personas.
Manejo de Microsoft Excel nivel intermedio.
Deseable conocimiento en control de asistencia y documentación laboral."
Analista de Inventarios Bodega,Otra Área,"San Bernardo, Metropolitana de Santiago",San Bernardo,Metropolitana de Santiago,2026-07-10,6100624,watts,2026-07-17,2026-07-17,0.3504,Operario,En terreno,Watts S.A.,Técnico medio/ colegio técnico,Chile,1 años,2026-07-17,https://watts.trabajando.cl/trabajo-empleo/analista-de-inventarios-bodega/trabajo/6100624,¡En Watt s buscamos nuevos talentos!...,"¡En Watt s buscamos nuevos talentos!
En tu despensa, refrigerador o congelador hay, al menos, un producto elaborado por Watt's. Es por esto que queremos invitarte a ser parte de una de las principales empresas de alimentos del país y ayudarnos a seguir creciendo, diversificándonos e innovando.
Estamos en búsqueda de nuestro próximo Analista de Inventarios Bodega, para nuestra gerencia de Planificación y Cadena de Suministro, planta San Bernardo
Tus desafíos serían:
Controlar la exactitud y consistencia entre el inventario físico y el sistema SAP.
Ejecutar y supervisar conteos cíclicos, investigando y corrigiendo diferencias detectadas.
Revisar y validar diariamente movimientos de inventario, asegurando su correcta imputación y respaldo documental.
Verificar ingresos, recepciones, traslados y regularizaciones, garantizando la concordancia entre documentación física y sistema.
Monitorear stocks críticos, materiales bloqueados, vencidos o con riesgo de quiebre y sobrestock.
Investigar desviaciones operativas relacionadas con consumos, picking, ajustes y movimientos de inventario.
Controlar y analizar mermas, asegurando su correcta autorización y trazabilidad.
Revisar materiales sin movimiento y proponer acciones para optimizar el inventario y evitar obsolescencia.
Participar activamente en la preparación y ejecución de cierres mensuales de inventario.
Generar reportes e indicadores de gestión, elaborando informes ejecutivos sobre resultados y desviaciones.
Asegurar la trazabilidad, documentación y cumplimiento de los procedimientos internos de inventario.
Proponer mejoras continuas en los procesos de control y gestión de inventarios.
Ofrecemos:
Casino en las plantas de acuerdo a tu jornada de trabajo.
Aguinaldo de fiestas patrias y navidad.
Días administrativos.
Seguro complementario de Salud y Dental.
Ropa de trabajo para los cargos que así lo requieran.
Sala cuna o bono para trabajadoras con hijos menores de hasta 2 años.
Venta de productos con descuentos exclusivos Watt s.
Y más...",1,"¿Qué esperamos de ti?
Formación Técnica en Logística, Administración o carrera afín.
1-2 años de experiencia en control y gestión de inventarios en centros de distribución o entornos productivos.
Experiencia en conteos cíclicos, análisis de diferencias de inventario y participación en cierres mensuales.
Manejo de SAP MM y control de movimientos de inventario.
Conocimientos sólidos en control de inventarios físicos y sistémicos.
Excel nivel intermedio (tablas dinámicas, fórmulas, análisis y reportes).
Deseable conocimiento de WMS, metodologías Lean/Kaizen, FIFO/FEFO y trazabilidad por lotes.
Disponibilidad para participar en cierres mensuales y cumplimiento de normas de seguridad."
