title,company,location,semantic_similarity,first_seen_date,url
Líder Proyectos Digitales,Empresas SB,"Santiago, Metropolitana de Santiago",0.4383,2026-08-07,https://salcobrand.trabajando.cl/trabajo-empleo/lider-proyectos-digitales/trabajo/6110006
Analista de Abastecimiento Perecederos  TOTTUS CHILE,Tottus,"Santiago, Metropolitana, Chile",0.4276,2026-08-07,https://falabella.airavirtual.com/postula/bRC61QsRxWrdtspKFdfg?logged_action=apply&register=true
"Asistente de Bodega Food, 25hrs 5x2, IKEA Parque Arauco",IKEA,"Santiago, Metropolitana, Chile",0.4239,2026-08-07,https://falabella.airavirtual.com/postula/QjT1znEwbso2gvt7rmZp?logged_action=apply&register=true
Auxiliar de Farmacia Integral - Sector Oriente RM,Salcobrand,"Las Condes, Metropolitana de Santiago",0.4071,2026-08-07,https://salcobrand.trabajando.cl/trabajo-empleo/auxiliar-de-farmacia-integral-sector-oriente-rm/trabajo/6110106
"Carpintero Fulltime, IKEA Plaza Oeste",IKEA,"Cerrillos, Metropolitana, Chile",0.407,2026-08-07,https://falabella.airavirtual.com/postula/1AnN9o5khIIvLMDwBJuB?logged_action=apply&register=true
"Jefe de Prevención de Riesgos, FT, Huechuraba, Mallplaza.",Mallplaza,"Huechuraba, Metropolitana, Chile",0.4042,2026-08-07,https://falabella.airavirtual.com/postula/86LgtGQD9Igo4nQan79l?logged_action=apply&register=true
Químico(a) Farmacéutico(a) Part Time  - Puerto Montt,Salcobrand,"Puerto Montt, Los Lagos",0.3983,2026-08-07,https://salcobrand.trabajando.cl/trabajo-empleo/quimico-a-farmaceutico-a-part-time-puerto-montt/trabajo/6110334
Recepcionista Logística Supermercado - Alvi Recoleta,Alvi,"Recoleta, Metropolitana de Santiago",0.3972,2026-08-07,https://smu.trabajando.cl/trabajo-empleo/recepcionista-logistica-supermercado-alvi-recoleta/trabajo/6110307
Prevencionista de Riesgo Temporada Febrero a Mayo 2027- Monte Patria IV Región,CCU,"Monte Patria, Coquimbo, Chile",0.3964,2026-08-07,https://www.trabajaenccu.cl/trabajo/6110425-prevencionista-de-riesgo-temporada-febrero-a-mayo-2027-monte-patria-iv-region
Operador de Informática,Ripley,Tda Puerto Montt - Informatica,0.393,2026-08-07,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/23329?c=ripley
